country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,1,8.323,0.514,0.88
Albania,1,18.069,0.347,1.2
Algeria,1,3.557,0.205,1.3
Andorra,0,0,0,0.35
Angola,1,0.091,0,1.12
Antigua and Barbuda,7,0,0,0
Argentina,4,50.27,0.774,1.29
Armenia,8,141.062,4.05,1.07
Australia,5,1.137,0.039,1.68
Austria,2,3.109,0.333,1.19
Azerbaijan,4,50.103,0.592,1.25
Bahamas,7,0,0,0.07
Bahrain,8,384.936,1.175,1.08
Bangladesh,1,20.718,0.261,1.07
Barbados,1,0,0,0
Belarus,3,49.104,0.635,0.77
Belgium,2,22.434,1.467,0.98
Belize,1,0,0,0
Benin,0,3.547,0,0.97
Bhutan,1,2.592,0,0
Bolivia,4,76.758,2.227,1.2
Bosnia and Herzegovina,0,19.203,0.305,1.18
Botswana,0,0,0,0
Brazil,8,185.529,6.464,1.14
Brunei,0,0,0,0
Bulgaria,0,18.709,0.144,1.31
Burkina Faso,0,0.191,0,0.97
Burundi,7,0,0,0.64
Cambodia,0,0,0,0.14
Cameroon,0,8.627,0.188,1.06
Canada,2,9.247,0.477,0.83
Cape Verde,4,68.347,0,1.1
Central African Republic,1,18.22,1.449,0.9
Chad,1,0.122,0,0.75
Chile,8,198.993,0.157,0.91
China,1,0.02,0.001,1.17
Colombia,4,46.951,1.847,1.27
Comoros,7,20.699,2.3,0.72
Congo,1,0,0,0.72
Costa Rica,1,17.864,0,1.48
Cote d'Ivoire,0,8.606,0.076,1.12
Croatia,0,7.308,0,3.04
Cuba,9,0.265,0,0.55
Cyprus,6,2.283,0,0.92
Czechia,3,11.859,0.28,1.44
Democratic Republic of Congo,1,1.15,0,1.09
Denmark,9,5.87,0.173,1
Djibouti,0,18.219,1.012,0.59
Dominica,1,0,0,0
Dominican Republic,4,52.176,0.553,1.2
Ecuador,4,56.85,2.891,1.17
Egypt,1,13.016,0.85,1.01
El Salvador,1,25.439,0.925,1.15
Equatorial Guinea,7,0,0,0.26
Eritrea,1,0,0,0.42
Estonia,6,0.754,0,0.55
Eswatini,1,26.72,0.862,1.23
Ethiopia,1,1.609,0,1.01
Fiji,0,0,0,0
Finland,9,1.985,0,0.78
France,2,7.921,0.873,1.07
Gabon,4,49.422,0,1.08
Gambia,1,0.414,0,0
Georgia,0,0.752,0,0.66
Germany,0,8.498,0.179,1.11
Ghana,0,13.323,0.322,1.18
Greece,2,1.439,0,1.14
Grenada,7,0,0,0
Guatemala,4,43.035,1.954,1.23
Guinea,1,3.96,0.076,1.1
Guinea-Bissau,7,0,0,0.78
Guyana,1,1.271,0,0.8
Haiti,1,9.91,0.088,1.01
Honduras,4,59.265,1.01,1.22
Hungary,6,0.518,0.104,0.84
Iceland,2,0,0,1.15
India,1,11.571,0.337,1.23
Indonesia,0,3.842,0.128,1.11
International,7,0,0,0
Iran,0,29.11,1.441,1.01
Iraq,4,45.397,2.088,1.31
Ireland,9,1.62,0.608,0.72
Israel,4,52.105,0.231,1.56
Italy,9,1.869,0.298,0.99
Jamaica,2,1.689,0,1.13
