country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,9,0.899,0.103,1.42
Albania,3,9.382,0.347,1.17
Algeria,3,4.219,0.433,1.78
Andorra,8,142.367,12.942,0.88
Angola,3,0,0,0
Antigua and Barbuda,0,61.27,0,0
Argentina,3,2.921,0.066,1.47
Armenia,0,24.635,0,1.27
Australia,2,8.392,0.157,0.93
Austria,7,43.858,1.11,0.83
Azerbaijan,3,4.241,0,1.61
Bahamas,0,0,0,0
Bahrain,2,17.043,0,1.34
Bangladesh,5,0.03,0,0
Barbados,3,17.399,0,0
Belarus,0,4.974,0,2.35
Belgium,4,122.696,11.39,1.5
Belize,3,2.515,0,0
Benin,9,0.247,0,0
Bhutan,3,0,0,0
Bolivia,3,0.771,0.086,1.28
Bosnia and Herzegovina,3,14.021,0.305,1.17
Botswana,3,0,0,0
Brazil,3,4.761,0.165,1.9
Brunei,9,2.286,0,0.19
Bulgaria,9,4.03,0.576,1.11
Burkina Faso,3,0.67,0,0.96
Burundi,0,0,0,0
Cambodia,9,0.239,0,0.13
Cameroon,9,7.647,0.038,1.3
Canada,6,30.549,1.06,1.74
Cape Verde,3,0,0,0
Central African Republic,9,1.035,0,0
Chad,9,0,0,0
Chile,6,17.42,0.209,1.67
China,9,0.055,0.003,0.85
Colombia,3,2.083,0.118,1.58
Comoros,0,0,0,0
Congo,3,0,0,0
Costa Rica,3,3.926,0,0.97
Cote d'Ivoire,3,0.91,0,1.3
Croatia,3,16.564,0.244,1.08
Cuba,2,3.178,0,1.37
Cyprus,6,45.667,1.142,1.2
Czechia,6,21.757,0.84,1.21
Democratic Republic of Congo,3,0,0,1.12
Denmark,7,64.397,2.762,1.27
Djibouti,3,9.109,0,0
Dominica,3,0,0,0
Dominican Republic,3,9.956,0.737,1.62
Ecuador,3,11.619,1.417,1.71
Egypt,3,1.173,0.078,1.58
El Salvador,3,0.771,0,0
Equatorial Guinea,0,0.713,0,0
Eritrea,3,0,0,0
Estonia,7,77.646,0.754,1.2
Eswatini,3,0,0,0
Ethiopia,2,0.052,0,0
Fiji,5,0,0,0
Finland,2,17.507,0.18,1.32
France,4,80.783,17.189,1.59
Gabon,9,0,0,0
Gambia,3,0,0,0
Georgia,3,5.264,0,0.99
Germany,8,75.969,2.005,1.24
Ghana,5,0.032,0,1.39
Greece,2,6.62,0.959,1.07
Grenada,0,17.775,0,0
Guatemala,3,0.167,0,0
Guinea,3,1.599,0,0
Guinea-Bissau,0,3.049,0,0
Guyana,3,5.085,0,0
Haiti,3,0.175,0,0
Honduras,3,0.303,0.101,1.26
Hungary,2,3.934,0.518,1.39
Iceland,7,131.868,0,0.98
India,2,0.017,0,2.05
Indonesia,9,0.717,0.04,1.5
International,0,0,0,0
Iran,6,32.324,1.595,1.1
Iraq,3,1.193,0,1.3
Ireland,7,85.868,4.455,1.62
Israel,8,68.973,0.578,1.28
Italy,4,75.833,12.669,0.95
Jamaica,2,0,0,0
Japan,9,2.657,0.047,1.89
Jordan,3,1.078,0,0.81
Kazakhstan,5,1.544,0.16,1.54
Kenya,2,0.223,0.019,0.81
Kosovo,3,0.517,0,1.08
Kuwait,3,17.562,0,2.45
Kyrgyzstan,3,2.146,0.153,1.22
Laos,3,0,0,0
Latvia,2,18.556,0.53,1
Lebanon,3,2.051,0.147,1.01
Lesotho,3,0,0,0
Liberia,3,0.198,0,0
Libya,3,0,0,0
Liechtenstein,0,26.221,0,0
Lithuania,2,17.265,0,1.15
Luxembourg,4,199.688,1.598,1.1
Madagascar,3,0.397,0,0
Malawi,9,0,0,0
Malaysia,2,6.705,0.093,1.17
Maldives,1,0,0,0
Mali,9,0.148,0,0
Malta,0,13.589,0,1.1
Marshall Islands,0,0,0,0
Mauritania,3,0,0,0
Mauritius,3,13.367,0,0.69
Mexico,3,1.381,0.078,1.74
Moldova,6,21.319,0.496,1.71
Monaco,8,101.926,0,0
Mongolia,9,0,0,0
Montenegro,0,47.766,0,1.15
Morocco,3,2.249,0.108,1.55
Mozambique,9,0,0,0
Myanmar,9,0,0,0
Namibia,9,0,0,0
Nepal,1,0,0,0
Netherlands,6,60.286,8.696,1.29
New Zealand,2,14.723,0,1.32
Nicaragua,0,0,0,0
Niger,9,0.909,0,0
