Nation,Similarity Score
Afghanistan,98
Albania,94
Algeria,95
Andorra,92
Angola,95
Antigua and Barbuda,34
Armenia,36
Australia,27
Austria,133
Azerbaijan,85
Bahamas,34
Belarus,58
Belgium,104
Belize,98
Benin,135
Bosnia and Herzegovina,95
Brazil,67
Burkina Faso,112
Burundi,43
Cambodia,113
Cameroon,104
Canada,74
Cape Verde,83
Central African Republic,99
Chad,84
Chile,46
Comoros,34
Congo,79
Costa Rica,94
Cote d'Ivoire,108
Croatia,140
Cuba,78
Cyprus,32
Czechia,128
Democratic Republic of Congo,100
Denmark,46
Djibouti,76
Dominica,101
Dominican Republic,62
Ecuador,74
Egypt,89
Equatorial Guinea,35
Eritrea,81
Estonia,44
Eswatini,94
Ethiopia,68
Finland,75
France,119
Gambia,110
Georgia,106
Germany,109
Ghana,94
Greece,76
Grenada,34
Guatemala,75
Guinea,99
Guinea-Bissau,34
Guyana,88
Haiti,89
Honduras,69
Hungary,130
India,84
International,34
Iran,115
Iraq,68
Ireland,88
Israel,49
Italy,97
Jamaica,103
Japan,101
Jordan,111
Kazakhstan,75
Kenya,96
Kosovo,68
Kyrgyzstan,79
Laos,85
Latvia,39
Lebanon,97
Lesotho,99
Liberia,95
Libya,80
Liechtenstein,47
Lithuania,71
Luxembourg,69
Madagascar,91
Malawi,119
Maldives,36
Mali,121
Malta,46
Marshall Islands,34
Mauritania,92
Mauritius,85
Mexico,68
Moldova,53
Monaco,75
Montenegro,42
Morocco,79
Mozambique,107
Myanmar,53
Namibia,83
Netherlands,100
Nicaragua,41
Niger,71
North Macedonia,41
Norway,53
Pakistan,112
Palestine,74
Papua New Guinea,124
Peru,45
Philippines,86
Portugal,148
Qatar,37
Romania,126
Russia,84
Saint Kitts and Nevis,34
Saint Lucia,34
Saint Vincent and the Grenadines,34
Samoa,34
San Marino,90
Sao Tome and Principe,31
Saudi Arabia,56
Senegal,116
Serbia,117
Seychelles,90
Sierra Leone,100
Slovakia,97
Slovenia,122
Solomon Islands,103
Somalia,97
South Africa,51
South Korea,24
South Sudan,97
Spain,104
Sri Lanka,70
Sudan,98
Suriname,73
Sweden,66
Switzerland,97
Syria,103
Tanzania,84
Thailand,18
Timor,100
Togo,104
Trinidad and Tobago,100
Tunisia,85
Turkey,114
Uganda,77
Ukraine,104
United Arab Emirates,34
United States,86
Uruguay,55
Vanuatu,102
Vatican,34
Venezuela,95
Vietnam,54
Yemen,88
Zambia,102
Zimbabwe,84
Colombia,66
Gabon,84
Kuwait,44
Panama,47
Paraguay,78
Poland,195
Argentina,63
Bahrain,21
Bangladesh,80
Barbados,104
Bhutan,90
Botswana,93
Brunei,110
El Salvador,74
Fiji,65
Iceland,53
Malaysia,54
Nepal,67
New Zealand,18
Nigeria,87
Oman,48
Rwanda,47
Tajikistan,87
United Kingdom,70
Uzbekistan,97
Indonesia,97
Singapore,50
Mongolia,92
Bolivia,37
China,87
Taiwan,9
Hong Kong,10
