country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,1.978
Albania,5,0,0,58.03
Algeria,0,0,0,3.329
Andorra,8,0,0,1656.636
Angola,0,0,0,2.221
Antigua and Barbuda,7,0,0,0
Argentina,2,0,0,334.08
Armenia,2,0,0,207.206
Australia,7,0,0,0.706
Austria,4,44.968,11.436,125.577
Azerbaijan,1,0,0,21.205
Bahamas,7,0,0,0
Bahrain,2,0,0,257.407
Bangladesh,9,0,0,7.76
Barbados,0,0,0,3.48
Belarus,5,0,0,51.75
Belgium,2,102.592,18.292,464.64
Belize,3,0,0,135.808
Benin,7,0,0,0
Bhutan,0,0,0,2.592
Bolivia,1,0,0,22.017
Bosnia and Herzegovina,3,0,0,118.568
Botswana,7,0,0,0
Brazil,3,0,0,129.112
Brunei,7,0,0,0
Bulgaria,4,162.77,8.347,88.077
Burkina Faso,7,0,0,0.622
Burundi,7,0,0,0
Cambodia,7,0,0,0.12
Cameroon,7,0,0,0
Canada,4,0,0,76.705
Cape Verde,3,0,0,165.471
Central African Republic,7,0,0,0
Chad,7,0,0,0.731
Chile,4,0,0,91.702
China,7,0,0,0.016
Colombia,3,0,0,159.602
Comoros,7,0,0,0
Congo,9,0,0,5.255
Costa Rica,2,0,0,240.474
Cote d'Ivoire,0,0,0,2.047
Croatia,4,93.782,0,111.32
Cuba,0,0,0,2.295
Cyprus,5,0,0,37.676
Czechia,8,194.696,38.099,804.652
Democratic Republic of Congo,7,0,0,0.145
Denmark,4,18.3,3.108,83.388
Djibouti,7,0,0,0
Dominica,6,0,0,13.891
Dominican Republic,5,0,0,53.927
Ecuador,5,0,0,45.514
Egypt,7,0,0,1.036
El Salvador,6,0,0,16.805
Equatorial Guinea,7,0,0,0.713
Eritrea,7,0,0,0
Estonia,5,22.615,3.769,36.938
Eswatini,6,0,0,10.343
Ethiopia,9,0,0,7.524
Fiji,7,0,0,0
Finland,5,6.678,0.902,42.413
France,2,120.156,22.046,317.587
Gabon,9,0,0,8.986
Gambia,0,0,0,1.655
Georgia,3,0,0,132.108
Germany,5,0,0,54.354
Ghana,0,0,0,1.287
Greece,5,0,0,37.513
Grenada,7,0,0,0
Guatemala,1,0,0,25.397
Guinea,0,0,0,4.036
Guinea-Bissau,7,0,0,0
Guyana,5,0,0,36.869
Haiti,7,0,0,0
Honduras,4,0,0,88.848
Hong Kong,7,0,0,0
Hungary,4,102.791,0,121.735
Iceland,2,0,0,310.623
India,5,0,0,53.095
Indonesia,6,0,0,14.968
International,7,0,0,0
Iran,5,0,0,49.314
Iraq,4,0,0,79.906
Ireland,3,36.251,6.278,124.955
Israel,2,0,0,342.324
Italy,4,73.981,6.401,88.849
Jamaica,1,0,0,30.393
Japan,9,0,0,4.649
Jordan,3,0,0,122.119
Kazakhstan,1,0,0,18.534
Kenya,9,0,0,8.22
Kosovo,5,0,0,40.874
Kuwait,3,0,0,148.692
Kyrgyzstan,5,0,0,42.151
Laos,7,0,0,0
Latvia,4,24.918,0,72.633
Lebanon,2,0,0,208.924
Lesotho,9,0,0,6.535
Liberia,7,0,0,0
Libya,3,0,0,156.594
Liechtenstein,4,0,0,104.885
Lithuania,5,0,0,48.856
Luxembourg,2,54.315,1.598,225.248
Madagascar,7,0,0,0.794
Malawi,7,0,0,0.209
Malaysia,6,0,0,10.937
Maldives,3,0,0,122.1
Mali,7,0,0,0.642
Malta,3,0,0,169.86
Marshall Islands,7,0,0,0
Mauritania,0,0,0,1.721
Mauritius,7,0,0,0
Mexico,5,0,0,42.906
Moldova,2,0,0,227.568
Monaco,4,0,0,101.926
Mongolia,7,0,0,0
Montenegro,8,0,0,547.717
Morocco,4,0,0,93.334
Mozambique,0,0,0,3.295
