country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,9,0,0,19.472
Albania,6,0,0,6.95
Algeria,5,0,0,2.44
Andorra,1,0,0,90.597
Angola,4,0,0,0
Antigua and Barbuda,4,0,0,0
Argentina,9,0,0,20.998
Armenia,3,0,0,173.797
Australia,4,0,0,0.431
Austria,2,7.328,2.332,1.332
Azerbaijan,9,0,0,32.054
Bahamas,4,0,0,0
Bahrain,7,0,0,296.195
Bangladesh,6,0,0,16.364
Barbados,4,0,0,0
Belarus,1,0,0,91.118
Belgium,0,63.764,12.511,6.04
Belize,4,0,0,0
Benin,4,0,0,0
Bhutan,4,0,0,0
Bolivia,1,0,0,55.427
Bosnia and Herzegovina,5,0,0,4.877
Botswana,4,0,0,0
Brazil,3,0,0,134.706
Brunei,4,0,0,0
Bulgaria,0,18.997,1.295,3.166
Burkina Faso,4,0,0,0.144
Burundi,4,0,0,0
Cambodia,4,0,0,0
Cameroon,4,0,0,0
Canada,6,0,0,18.043
Cape Verde,9,0,0,19.785
Central African Republic,9,0,0,21.533
Chad,2,0,0,1.035
Chile,7,0,0,258.524
China,4,0,0,-0.001
Colombia,9,0,0,29.892
Comoros,4,0,0,0
Congo,4,0,0,0
Costa Rica,6,0,0,10.208
Cote d'Ivoire,5,0,0,3.26
Croatia,2,4.141,0,0
Cuba,2,0,0,1.324
Cyprus,6,0,0,6.85
Czechia,6,5.976,0.934,6.91
Democratic Republic of Congo,5,0,0,1.887
Denmark,0,17.265,3.453,6.388
Djibouti,3,0,0,157.894
Dominica,4,0,0,0
Dominican Republic,9,0,0,26.549
Ecuador,9,0,0,31.287
Egypt,6,0,0,10.544
El Salvador,6,0,0,8.017
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0
Estonia,6,15.831,0.754,7.538
Eswatini,2,0,0,0.862
Ethiopia,2,0,0,1.235
Fiji,4,0,0,0
Finland,5,9.205,1.263,4.332
France,8,206.286,18.062,5.393
Gabon,1,0,0,44.48
Gambia,4,0,0,0.414
Georgia,2,0,0,1.003
Germany,5,0,0,2.888
Ghana,6,0,0,8.078
Greece,4,0,0,0
Grenada,4,0,0,0
Guatemala,6,0,0,9.712
Guinea,5,0,0,3.579
Guinea-Bissau,4,0,0,0
Guyana,4,0,0,0
Haiti,9,0,0,24.644
Honduras,6,0,0,16.457
Hungary,0,42.856,0,1.035
Iceland,4,0,0,0
India,6,0,0,6.98
Indonesia,5,0,0,2.501
International,4,0,0,0
Iran,9,0,0,37.313
Iraq,9,0,0,19.417
Ireland,0,33.618,7.493,9.113
Israel,6,0,0,11.207
Italy,8,100.807,5.838,5.309
Jamaica,4,0,0,0.338
Japan,4,0,0,0.237
Jordan,4,0,0,0.196
Kazakhstan,9,0,0,26.416
Kenya,5,0,0,2.287
Kosovo,6,0,0,6.726
Kuwait,3,0,0,166.254
Kyrgyzstan,5,0,0,3.985
Laos,4,0,0,0
Latvia,5,5.832,0,4.241
Lebanon,5,0,0,2.051
Lesotho,2,0,0,0.934
Liberia,2,0,0,0.989
Libya,5,0,0,2.037
Liechtenstein,4,0,0,0
Lithuania,2,0,0,0.735
Luxembourg,0,33.548,4.793,6.39
Madagascar,5,0,0,2.275
Malawi,4,0,0,0.575
Malaysia,5,0,0,2.873
Maldives,6,0,0,16.65
Mali,2,0,0,1.728
Malta,5,0,0,4.53
Marshall Islands,4,0,0,0
Mauritania,6,0,0,16.56
Mauritius,4,0,0,0
Mexico,9,0,0,30.341
Moldova,1,0,0,61.23
Monaco,4,0,0,0
Mongolia,4,0,0,0
Montenegro,4,0,0,0
Morocco,2,0,0,1.517
Mozambique,4,0,0,0.288
Myanmar,4,0,0,0.018
Namibia,4,0,0,0
Nepal,6,0,0,6.898
Netherlands,5,0,7.762,5.077
New Zealand,4,0,0,0
Nicaragua,4,0,0,0
Niger,4,0,0,0.041
Nigeria,2,0,0,1.683
