country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,4,0,0,0.642
Albania,3,0,0,46.563
Algeria,4,0,0,4.082
Andorra,4,0,0,0
Angola,4,0,0,3.408
Antigua and Barbuda,4,0,0,0
Argentina,6,0,0,297.97
Armenia,9,0,0,126.213
Australia,4,0,0,0.784
Austria,2,38.195,8.661,92.379
Azerbaijan,7,0,0,15.978
Bahamas,6,0,0,205.977
Bahrain,5,0,0,403.742
Bangladesh,7,0,0,9.351
Barbados,4,0,0,0
Belarus,3,0,0,31.113
Belgium,2,51.943,8.974,162.3
Belize,4,0,0,0
Benin,4,0,0,0
Bhutan,4,0,0,2.592
Bolivia,1,0,0,53.799
Bosnia and Herzegovina,1,0,0,71.629
Botswana,9,0,0,150.534
Brazil,6,0,0,312.092
Brunei,4,0,0,2.286
Bulgaria,0,107.074,4.318,41.736
Burkina Faso,4,0,0,1.005
Burundi,4,0,0,0.084
Cambodia,4,0,0,0
Cameroon,4,0,0,0.829
Canada,3,0,0,30.417
Cape Verde,9,0,0,120.506
Central African Republic,4,0,0,0.414
Chad,4,0,0,0.426
Chile,1,0,0,90.551
China,4,0,0,0.01
Colombia,9,0,0,128.825
Comoros,4,0,0,4.6
Congo,4,0,0,0
Costa Rica,6,0,0,274.827
Cote d'Ivoire,4,0,0,2.692
Croatia,0,64.795,0,56.513
Cuba,4,0,0,3.532
Cyprus,7,0,0,10.275
Czechia,6,69.101,14.1,271.735
Democratic Republic of Congo,4,0,0,0.201
Denmark,2,16.401,2.417,97.2
Djibouti,4,0,0,0
Dominica,4,0,0,0
Dominican Republic,3,0,0,35.491
Ecuador,1,0,0,71.076
Egypt,4,0,0,1.349
El Salvador,3,0,0,38.081
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,1.41
Estonia,3,22.615,1.508,32.415
Eswatini,3,0,0,27.582
Ethiopia,4,0,0,5.254
Fiji,4,0,0,0
Finland,7,0,0,16.424
France,5,92.105,15.948,426.406
Gabon,4,0,0,0
Gambia,4,0,0,4.138
Georgia,1,0,0,64.926
Germany,3,0,0,27.702
Ghana,4,0,0,2.221
Greece,3,0,0,32.716
Grenada,4,0,0,0
Guatemala,3,0,0,27.406
Guinea,4,0,0,0
Guinea-Bissau,4,0,0,0
Guyana,1,0,0,55.94
Haiti,4,0,0,1.929
Honduras,1,0,0,52.299
Hong Kong,4,0,0,0
Hungary,0,56.83,0,77.637
Iceland,9,5.861,0,105.495
India,1,0,0,62.356
Indonesia,7,0,0,16.942
International,4,0,0,0
Iran,3,0,0,41.92
Iraq,9,0,0,111.157
Ireland,1,19.037,3.24,64.604
Israel,5,0,0,951.298
Italy,0,49.238,4.069,29.539
Jamaica,1,0,0,65.177
Japan,4,0,0,3.803
Jordan,1,0,0,53.807
Kazakhstan,7,0,0,16.35
Kenya,4,0,0,2.622
Kosovo,3,0,0,32.596
Kuwait,9,0,0,129.257
Kyrgyzstan,7,0,0,19.466
Laos,4,0,0,0
Latvia,7,3.711,0,11.664
Lebanon,9,0,0,150.466
Lesotho,7,0,0,21.94
