country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,0,0,0.128,7.218
Albania,0,0,0,1.39
Algeria,0,0,0.182,4.014
Andorra,0,0,0,38.827
Angola,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,0,0.068,0.111,6.306
Armenia,2,0,0.337,49.27
Australia,0,0.894,0.039,0.392
Austria,0,1.091,0.333,8.772
Azerbaijan,0,0,0.099,10.257
Bahamas,0,0,0,0
Bahrain,2,4.183,0.588,173.368
Bangladesh,0,0.041,0.067,5.884
Barbados,0,0,0,3.48
Belarus,2,1.099,0.741,102.335
Belgium,0,1.77,4.659,28.474
Belize,0,0,0,0
Benin,0,0,0,0.66
Bhutan,0,0,0,2.592
Bolivia,0,0.045,0.514,11.394
Bosnia and Herzegovina,0,0,1.219,5.182
Botswana,0,0,0,0
Brazil,0,0,3.801,40.553
Brunei,0,0,0,0
Bulgaria,0,0.155,0.288,4.749
Burkina Faso,0,0,0.048,0.287
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0,0.634,4.902,30.602
Cape Verde,0,0.158,0,12.59
Central African Republic,0,0,0,0
Chad,0,0,0.548,2.131
Chile,2,0.486,0.628,86.733
China,0,0,0,0.005
Colombia,0,0.134,0.275,12.951
Comoros,0,0,0,0
Congo,0,0,0,0
Costa Rica,0,0.014,0,0.589
Cote d'Ivoire,0,0.019,0,4.815
Croatia,0,0.343,0,2.679
Cuba,0,0.174,0.088,1.854
Cyprus,0,1.316,0,2.283
Czechia,0,0.818,0.093,4.202
Democratic Republic of Congo,0,0.002,0.033,0.871
Denmark,0,2.552,-1.036,13.466
Djibouti,0,0,0,29.352
Dominica,0,0,0,0
Dominican Republic,0,0.165,0.83,24.521
Ecuador,2,0.128,10.316,51.578
Egypt,0,0,0.107,3.391
El Salvador,0,0.294,0.308,6.167
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,0,1.018,0,3.769
Eswatini,0,0,0,7.758
Ethiopia,0,0.021,0,0.096
Fiji,0,0,0,0
Finland,0,0.732,0.722,3.429
France,0,0,5.331,12.287
Gabon,0,0,0,27.407
Gambia,0,0,0,0
Georgia,0,0,0,1.003
Germany,0,0,0.919,7.102
Ghana,0,0.105,0,13.742
Greece,0,0.642,0.096,1.727
Grenada,0,0,0,0
Guatemala,0,0.022,0.056,4.744
Guinea,0,0,0,11.574
Guinea-Bissau,0,0,0,29.98
Guyana,0,0,0,5.085
Haiti,0,0,0,0
Honduras,0,0,0.505,-2.019
Hungary,0,0.264,0.414,3.002
Iceland,0,0.832,0,0
India,0,0.062,0.088,2.554
Indonesia,0,0.012,0.058,1.769
International,0,0,0,0
Iran,0,0,0.571,17.632
Iraq,0,0.069,0.05,2.362
Ireland,0,1.243,4.253,21.67
Israel,0,0.871,0.347,2.657
Italy,0,1.108,2.845,23.188
Jamaica,0,0,0,0.675
Japan,0,0.002,0.174,0.688
Jordan,0,0,0,1.372
Kazakhstan,0,0.708,0,3.835
Kenya,0,0.018,0.056,0.279
Kosovo,0,0,0,5.691
Kuwait,1,0,2.342,232.054
Kyrgyzstan,0,0,0,3.219
Laos,0,0,0,0
Latvia,0,1.007,0,2.121
Lebanon,0,0,0,1.612
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0.015,0,0
Liechtenstein,0,0,0,0
Lithuania,0,2.573,0,2.204
Luxembourg,0,2.222,1.598,9.585
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,0,0,0,0.494
Maldives,0,0.287,0,12.95
Mali,0,0,0.049,0.889
Malta,0,2.564,0,6.794
Marshall Islands,0,0,0,0
Mauritania,0,0.003,0,0.215
