country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,2,0,0.257,1.772
Albania,2,0,1.39,31.969
Algeria,2,0,0.319,13.728
Andorra,1,0,0,51.77
Angola,2,0,0.091,0.943
Antigua and Barbuda,2,0,0,0
Argentina,0,0.337,3.385,141.097
Armenia,1,0,1.687,87.405
Australia,2,2.596,0.275,23.726
Austria,2,1.158,0.222,11.658
Azerbaijan,2,0,0.296,33.435
Bahamas,1,0,7.629,61.03
Bahrain,0,5.327,1.175,260.933
Bangladesh,2,0.079,0.291,16.364
Barbados,2,0,0,0
Belarus,2,1.059,0.529,15.557
Belgium,1,2.255,0.345,57.897
Belize,2,0,0,0
Benin,2,0,0,0
Bhutan,2,0,0,2.592
Bolivia,0,0.283,7.367,145.635
Bosnia and Herzegovina,1,0,3.658,96.622
Botswana,2,0,0,0
Brazil,0,0,5.311,272.098
Brunei,2,0,0,0
Bulgaria,1,0.955,0.864,38.138
Burkina Faso,2,0,0,0.048
Burundi,2,0,0,0
Cambodia,2,0,0,0.478
Cameroon,2,0,0,0
Canada,2,1.326,0.318,8.479
Cape Verde,1,0.477,0,80.937
Central African Republic,2,0,0,0
Chad,2,0,0,0.548
Chile,1,1.062,5.179,102.583
China,2,0,0.001,0.192
Colombia,0,0.685,6.996,195.842
Comoros,2,0,0,0
Congo,2,0,0,0
Costa Rica,1,0.361,1.374,96.189
Cote d'Ivoire,2,0.065,0.038,6.255
Croatia,2,0.353,0.731,19
Cuba,2,0.326,0,0.795
Cyprus,2,2.362,0,11.417
Czechia,2,0.712,0.467,25.96
Democratic Republic of Congo,2,0.004,0.056,0.882
Denmark,2,3.547,0.173,16.574
Djibouti,2,0,0,0
Dominica,2,0,0,0
Dominican Republic,0,0,2.12,159.754
Ecuador,1,0.164,1.927,66.712
Egypt,2,0,0.45,3.919
El Salvador,1,0.372,1.388,59.973
Equatorial Guinea,2,0,0,0
Eritrea,2,0,0,3.948
Estonia,2,0.648,0,6.785
Eswatini,2,0,0,22.411
Ethiopia,2,0.085,0.087,7.002
Fiji,2,0.044,0,0
Finland,2,1.017,0,1.624
France,2,1.62,0.23,21.326
Gabon,2,0,0,0
Gambia,2,0,0,31.862
Georgia,2,0,0,1.253
Germany,2,0,0.107,11.804
Ghana,2,0,0,0
Greece,2,0.811,0,6.236
Grenada,2,0,0,8.887
Guatemala,1,0.231,1.786,68.153
Guinea,2,0,0,4.493
Guinea-Bissau,2,0,0,13.72
Guyana,2,0,0,3.814
Haiti,2,0,0.175,2.982
Honduras,1,0,5.351,48.664
Hungary,2,0.312,0,1.967
Iceland,2,3.335,0,32.234
India,1,0.324,0.553,38.248
Indonesia,2,0.055,0.303,6.961
International,2,0,0,0
Iran,2,0,2.691,31.205
Iraq,1,0.448,1.691,73.665
Ireland,2,0.888,-0.203,17.214
Israel,0,2.537,1.733,206.457
Italy,2,1.023,0.05,6.318
Jamaica,2,0.196,0,2.702
Japan,2,0.156,0.047,13.931
Jordan,2,0,0,0.392
Kazakhstan,1,1.188,0,75.306
Kenya,2,0.103,0.26,14.655
Kosovo,0,0,8.278,133.487
Kuwait,0,0.892,0.234,146.585
Kyrgyzstan,1,0,2.606,96.717
Laos,2,0,0,0
Latvia,2,0.903,0,2.121
Lebanon,2,0,0.293,18.9
Lesotho,2,0,0,13.07
Liberia,2,0,0.198,0.395
Libya,2,0.136,-0.437,31.435
Liechtenstein,2,0,0,0
Lithuania,2,1.857,0,6.979
Luxembourg,0,15.497,0,132.593
Madagascar,2,0.033,0.217,15.565
Malawi,2,0.048,0.209,6.273
Malaysia,2,0.246,0,0.247
Maldives,0,2.041,1.85,281.199
Mali,2,0,0,0.049
Malta,0,2.976,0,212.892
Marshall Islands,2,0,0,0
Mauritania,2,0,0.215,4.732
Mauritius,2,0,0,0
Mexico,1,0.118,4.956,59.954
Moldova,1,0,2.975,98.166
Monaco,2,0,0,0
Mongolia,2,0,0,0
Montenegro,2,0,0,0
Morocco,2,0.573,0.325,28.339
Mozambique,2,0.03,0,1.92
Myanmar,2,0.015,0,0.037
Namibia,2,0.304,0.394,25.975
Nepal,2,0.216,0.103,9.404
Netherlands,2,0,0,20.66
New Zealand,2,0.497,0,0
Nicaragua,2,0,0,0
Niger,2,0,0,0.083
Nigeria,2,0.018,0.024,2.333
North Macedonia,1,0.636,1.92,54.719
Norway,2,1.026,0,6.641
Oman,1,0.38,1.762,115.536
Pakistan,2,0.093,0.145,5.043
Palestine,1,0,0.196,51.75
Panama,0,0.746,5.331,213.685
Papua New Guinea,2,0,0.112,0
Paraguay,1,0.355,0.14,47.809
Peru,2,0.196,0,0
Philippines,2,0.328,0.192,35.481
Poland,2,0.584,0.396,16.25
Portugal,2,1.445,0.196,25.008
Qatar,1,1.782,0.694,106.558
Romania,1,1.298,1.819,70.487
Russia,1,2.08,0.877,37.579
Rwanda,2,0.314,0,2.393
Saint Kitts and Nevis,2,0,0,0
