country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,2,0,0.154,3.108
Albania,2,0,2.432,146.292
Algeria,2,0,0.274,14.64
Andorra,0,0,0,1164.822
Angola,2,0,0.091,8.793
Antigua and Barbuda,2,0,0,0
Argentina,1,0.659,5.443,245.598
Armenia,0,0,9.449,814.313
Australia,2,1.709,0,0.549
Austria,0,3.124,4.552,823.414
Azerbaijan,2,0,1.381,134.528
Bahamas,2,0,0,99.174
Bahrain,2,6.789,0.588,95.205
Bangladesh,2,0.092,0.103,11.185
Barbados,2,0,0,0
Belarus,2,0,0.317,103.923
Belgium,0,3.945,16.308,960.17
Belize,2,0,5.03,181.077
Benin,2,0,0,0
Bhutan,2,0,0,0
Bolivia,2,0.107,0.857,11.908
Bosnia and Herzegovina,1,0,13.411,581.563
Botswana,1,0,1.276,507.309
Brazil,2,0,0,0
Brunei,2,0,0,0
Bulgaria,1,1.9,7.484,540.265
Burkina Faso,2,0,0,0.526
Burundi,2,0,0,0
Cambodia,2,0,0,0
Cameroon,2,0,0,0
Canada,2,1.678,1.245,73.764
Cape Verde,2,1.308,3.597,172.666
Central African Republic,2,0,0,0
Chad,2,0,0,0.731
Chile,2,1.791,3.348,80.56
China,2,0,0.001,0.03
Colombia,2,0.496,3.852,194.388
Comoros,2,0,0,3.45
Congo,2,0,0,0
Costa Rica,1,0,2.552,217.113
Cote d'Ivoire,2,0.036,0,0.417
Croatia,0,2.169,7.064,693.743
Cuba,2,0.722,0,3.532
Cyprus,1,4.288,0,266.012
Czechia,0,4.037,18.396,1235.318
Democratic Republic of Congo,2,0.002,0,0
Denmark,2,12.275,0.691,211.146
Djibouti,2,0,0,19.231
Dominica,2,0,0,97.234
Dominican Republic,2,0,0.277,50.332
Ecuador,2,0.152,1.474,19.838
Egypt,2,0,0.107,1.964
El Salvador,2,0,0.771,118.251
Equatorial Guinea,2,0,1.426,2.138
Eritrea,2,0,0,1.128
Estonia,2,3.027,0,98.753
Eswatini,2,0,0,10.343
Ethiopia,2,0.051,0.043,4.436
Fiji,2,0.091,0,0
Finland,2,2.764,0,34.111
France,0,5.634,5.515,886.072
Gabon,2,0,0,0
Gambia,2,0,0,0.414
Georgia,1,0,5.014,601.879
Germany,1,0,1.922,269.276
Ghana,2,0.129,0,4.666
Greece,1,2.224,2.782,279.668
Grenada,2,0,0,0
Guatemala,2,0.239,0.781,39.184
Guinea,2,0,0,2.437
Guinea-Bissau,2,0,0,0
Guyana,2,0,0,87.724
Haiti,2,0,0,0.789
Honduras,2,0,0.606,22.515
Hungary,1,1.86,8.695,406.611
Iceland,2,3.798,2.93,82.051
India,2,0.876,0.486,34.52
Indonesia,2,0.114,0.325,14.862
International,2,0,0,0
Iran,2,0.449,4.834,104.437
Iraq,2,0.486,1.169,92.013
Ireland,2,2.399,0.608,114.018
Israel,2,4.086,1.502,65.854
Italy,1,3.637,7.079,570.641
Jamaica,2,0.215,0.675,15.872
Japan,2,0.234,0.055,8.191
Jordan,1,2.476,3.92,453.782
Kazakhstan,2,1.867,0.053,37.44
Kenya,2,0,0.391,18.746
Kosovo,1,0,3.104,341.995
Kuwait,2,1.733,1.171,186.158
Kyrgyzstan,2,0,0,0
Laos,2,0,0,0
Latvia,2,4.01,1.59,194.571
Lebanon,1,0,1.026,306.061
Lesotho,2,0,0,0
Liberia,2,0,0,0.395
Libya,2,0.636,1.019,124.14
Liechtenstein,0,0,0,865.301
Lithuania,1,4.524,1.469,366.97
Luxembourg,0,20.335,9.585,1282.797
Madagascar,2,0,0,0
Malawi,2,0.055,0,0.314
Malaysia,2,0.542,0.185,31.175
Maldives,2,3.252,0,131.35
Mali,2,0,0,1.185
Malta,1,7.977,11.324,394.076
Marshall Islands,2,0,0,-16.894
Mauritania,2,0,0.215,7.097
Mauritius,2,0,0,0.786
Mexico,2,0.13,4.219,43.178
Moldova,1,0,3.718,262.521
Monaco,1,0,0,458.669
Mongolia,2,0,0,0.915
Montenegro,0,0,3.184,1085.88
Morocco,2,0.564,2.086,152.829
Mozambique,2,0.048,0.064,3.455
Myanmar,2,0,0.404,18.287
Namibia,2,0.287,0,17.317
Nepal,2,0.449,0.618,104.713
Netherlands,1,0,5.136,408.057
New Zealand,2,0,0,0.207
Nicaragua,2,0,0.151,11.623
Niger,2,0,0,0.041
Nigeria,2,0.022,0,0.873
North Macedonia,1,1.479,6.24,611.986
Norway,2,5.139,0.369,120.083
Oman,2,0,2.154,62.664
Pakistan,2,0.147,0.136,6.229
Palestine,2,1.068,0.784,114.086
Panama,2,1.003,2.781,125.847
Papua New Guinea,2,0,0,0
Paraguay,2,0.396,1.122,72.905
Peru,2,0.267,1.789,89.015
Philippines,2,0.327,0.383,14.492
