country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,16.67
Albania,0,0,0,54.63
Algeria,0,0,0,75
Andorra,0,0,0,62.96
Angola,0,0,0,65.74
Antigua and Barbuda,0,0,0,0
Argentina,0,0.303,2,80.09
Armenia,0,0,0,0
Australia,2,0,2061.9,65.28
Austria,0,0,9.4,60.19
Azerbaijan,0,0,0,64.35
Bahamas,0,0,0,0
Bahrain,0,4.958,30.2,63.89
Bangladesh,0,0.067,9.2,80.09
Barbados,0,0,0,29.63
Belarus,0,0,29.8,16.67
Belgium,0,3.405,4.7,54.63
Belize,0,0,0,66.67
Benin,0,0,0,43.52
Bhutan,0,0,0,77.78
Bolivia,0,0.03,6,84.26
Bosnia and Herzegovina,0,0,0,40.74
Botswana,0,0,0,63.89
Brazil,0,0,0,57.87
Brunei,0,0,0,35.19
Bulgaria,0,1.021,6.2,39.35
Burkina Faso,0,0,0,22.22
Burundi,0,0,0,14.81
Cambodia,0,0,0,34.26
Cameroon,0,0,0,45.37
Canada,0,1.351,24.7,60.65
Cape Verde,0,0.522,6.1,71.3
Central African Republic,0,0,0,31.48
Chad,0,0,0,74.07
Chile,0,2.013,21.8,81.94
China,0,0,0,81.94
Colombia,0,0.461,0,65.74
Comoros,0,0,0,0
Congo,0,0,0,47.22
Costa Rica,0,0,0,58.33
Cote d'Ivoire,0,0.061,54.3,30.56
Croatia,0,2.075,4.5,28.7
Cuba,1,0.704,145.3,64.81
Cyprus,0,3.175,28.8,63.89
Czechia,0,2.016,3.2,67.59
Democratic Republic of Congo,0,0.002,0,49.07
Denmark,0,8.966,68,37.04
Djibouti,0,0,0,43.52
Dominica,0,0,0,31.48
Dominican Republic,0,0,7.9,67.59
Ecuador,0,0.574,0,52.78
Egypt,0,0,0,75.93
El Salvador,0,0.38,18.7,52.78
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,77.78
Estonia,0,0.912,47.9,25.93
Eswatini,0,0,0,48.15
Ethiopia,0,0.061,11.2,58.33
Fiji,1,0,426.6,49.07
Finland,0,1.3,68.7,36.57
France,0,0.706,6.9,49.54
Gabon,0,0,0,72.22
Gambia,0,0,0,60.19
Georgia,0,0,0,59.26
Germany,0,0,18.2,60.65
Ghana,0,0,29,44.44
Greece,0,1.592,22.9,59.72
Grenada,0,0,0,0
Guatemala,0,0.049,6.2,49.54
Guinea,0,0,0,35.65
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,72.22
Haiti,0,0,0,47.22
Honduras,0,0,0,87.04
