country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,2,0,0,27.78
Albania,2,0,0,36.11
Algeria,0,0,0,5.56
Andorra,0,0,0,0
Angola,0,0,0,8.33
Antigua and Barbuda,0,0,0,0
Argentina,0,0,6.4,11.11
Armenia,0,0,0,0
Australia,0,0,0,19.44
Austria,0,0.025,21.2,19.44
Azerbaijan,2,0,0,30.56
Bahamas,0,0,0,0
Bahrain,2,0,0,30.56
Bangladesh,0,0,0,13.89
Barbados,0,0,0,16.67
Belarus,0,0,0,0
Belgium,0,0.053,20.3,13.89
Belize,0,0,0,11.11
Benin,0,0,0,13.89
Bhutan,2,0,0,31.48
Bolivia,2,0,0,62.04
Bosnia and Herzegovina,0,0,0,11.11
Botswana,0,0,0,13.89
Brazil,0,0,0,11.11
Brunei,0,0,0,19.44
Bulgaria,0,0,0,21.3
Burkina Faso,0,0,0,0
Burundi,0,0,0,11.11
Cambodia,0,0,0,19.44
Cameroon,0,0,0,0
Canada,0,0,0,2.78
Cape Verde,0,0,0,19.44
Central African Republic,0,0,0,0
Chad,0,0,0,16.67
Chile,0,0,0,0
China,2,0,0,81.02
Colombia,0,0.001,0,14.81
Comoros,0,0,0,0
Congo,0,0,0,5.56
Costa Rica,0,0,0,11.11
Cote d'Ivoire,0,0,0,0
Croatia,0,0.004,0,13.89
Cuba,0,0,0,13.89
Cyprus,0,0,0,11.11
Czechia,0,0.025,33.2,19.44
Democratic Republic of Congo,0,0,0,5.56
Denmark,0,0.1,14.8,25.93
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,0,0,0,11.11
Ecuador,0,0,0,8.33
Egypt,0,0,0,0
El Salvador,0,0,0,19.44
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,0,0.049,31.9,0
Eswatini,0,0,0,13.89
Ethiopia,0,0,0,2.78
Fiji,0,0,0,19.44
Finland,0,0.022,19.8,19.44
France,2,0,0,43.98
Gabon,0,0,0,13.89
Gambia,0,0,0,11.11
Georgia,2,0,0,45.37
Germany,2,0,0,28.7
Ghana,0,0,0,2.78
Greece,2,0,0,31.48
Grenada,0,0,0,0
Guatemala,2,0,0,30.56
Guinea,0,0,0,13.89
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,13.89
Haiti,0,0,0,8.33
Honduras,0,0,0,11.11
Hungary,0,0,0,19.44
Iceland,0,0.287,8.5,16.67
India,2,0,0,26.85
Indonesia,2,0,0,37.04
International,0,0,0,0
Iran,2,0,0,42.59
Iraq,2,0,0,52.78
Ireland,0,0,0,11.11
Israel,0,0.06,43.5,33.33
Italy,2,0.064,4.3,74.54
Jamaica,0,0,0,19.44
Japan,2,0.01,27.8,40.74
Jordan,0,0,0,11.11
Kazakhstan,0,0,0,8.33
Kenya,0,0,0,13.89
Kosovo,0,0,0,5.56
Kuwait,2,0,0,36.11
Kyrgyzstan,0,0,0,22.22
Laos,0,0,0,0
Latvia,0,0.025,46.2,8.33
Lebanon,2,0,0,37.96
Lesotho,0,0,0,11.11
Liberia,0,0,0,5.56
Libya,0,0,0,5.56
Liechtenstein,0,0,0,0
Lithuania,0,0,0,11.11
Luxembourg,0,0,17.5,22.22
Madagascar,0,0,0,0
Malawi,0,0,0,11.11
Malaysia,0,0,10.7,22.22
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0.188,151.5,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,5.56
Mauritius,0,0,0,0
Mexico,1,0.002,653.8,2.78
Moldova,0,0,0,11.11
Monaco,2,0,0,27.78
Mongolia,2,0,0,57.41
Montenegro,0,0,0,0
Morocco,0,0,35,5.56
Mozambique,0,0,0,8.33
Myanmar,0,0,0,13.89
Namibia,0,0,0,2.78
Nepal,0,0,0,22.22
Netherlands,0,0,0,10.19
New Zealand,0,0.016,73.6,19.44
Nicaragua,0,0,0,8.33
Niger,0,0,0,0
Nigeria,0,0,0,11.11
North Macedonia,0,0,0,0
Norway,0,0.274,20.4,11.11
Oman,0,0,0,19.44
Pakistan,2,0,0,28.7
Palestine,2,0,0,74.07
Panama,0,0,0,8.33
Papua New Guinea,0,0,0,13.89
Paraguay,0,0,0,5.56
Peru,0,0.007,0,13.89
Philippines,0,0,0,25
Poland,0,0,0,13.89
