country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,84.26
Albania,0,0,0,83.33
Algeria,0,0,0,76.85
Andorra,0,0,0,50
Angola,0,0,0,81.48
Antigua and Barbuda,0,0,0,0
Argentina,0,0.107,9.1,90.74
Armenia,0,0,0,0
Australia,2,1.294,2919.7,67.13
Austria,0,0,119.7,59.26
Azerbaijan,0,0,0,77.78
Bahamas,0,0,0,0
Bahrain,0,0,25.5,75
Bangladesh,0,0.059,6.3,93.52
Barbados,0,0,0,81.48
Belarus,0,0,14.7,16.67
Belgium,0,1.146,50.3,75
Belize,0,0,0,85.19
Benin,0,0,0,57.41
Bhutan,0,0,0,83.33
Bolivia,0,0.069,2.6,84.26
Bosnia and Herzegovina,0,0,0,71.3
Botswana,0,0,0,61.11
Brazil,0,0,0,81.02
Brunei,0,0,0,52.78
Bulgaria,0,0,35.4,56.48
Burkina Faso,0,0,0,60.19
Burundi,0,0,0,13.89
Cambodia,0,0,0,57.41
Cameroon,0,0,0,63.89
Canada,0,0.677,21.1,70.83
Cape Verde,0,0.153,0,79.17
Central African Republic,0,0,0,75.93
Chad,0,0,0,74.07
Chile,0,0.842,3.9,78.24
China,0,0,0,81.94
Colombia,0,0.241,0,87.04
Comoros,0,0,0,0
Congo,0,0,0,82.41
Costa Rica,0,0.095,0,72.22
Cote d'Ivoire,0,0.044,17.2,64.81
Croatia,1,0,397.3,70.37
Cuba,0,0.152,168.4,100
Cyprus,1,2.249,798.7,76.85
Czechia,0,0.724,113.3,57.41
Democratic Republic of Congo,0,0,0,80.56
Denmark,0,2.124,182.8,60.19
Djibouti,0,0,0,59.26
Dominica,0,0,0,72.22
Dominican Republic,0,0.169,5.8,87.04
Ecuador,0,0.137,0,86.11
Egypt,0,0,0,84.26
El Salvador,0,0.395,32.6,100
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,93.52
Estonia,0,0.635,191.4,50
Eswatini,0,0,0,84.26
Ethiopia,0,0.032,165.6,80.56
Fiji,0,0.074,0,78.7
Finland,0,0.4,71,53.7
France,0,0.779,52.6,76.85
Gabon,0,0,0,80.56
Gambia,0,0,0,77.78
Georgia,0,0,0,96.3
Germany,0,0,0,59.72
Ghana,0,0.034,24.4,62.04
Greece,1,0.372,436.6,68.52
Grenada,0,0,0,0
Guatemala,0,0.058,4.8,96.3
Guinea,0,0,0,78.7
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,87.04
Haiti,0,0,0,89.81
Honduras,0,0,0,100
Hungary,0,0.858,109.5,66.67
Iceland,2,1.439,2042,50
India,0,0.075,17.4,79.17
Indonesia,0,0,8.6,71.76
International,0,0,0,0
Iran,0,0.213,7,45.37
Iraq,0,0,41.2,82.41
Ireland,0,1.088,64.4,83.33
Israel,1,0.577,317.4,75
Italy,0,1.247,92.8,63.89
Jamaica,0,0.126,48.2,87.04
Japan,0,0.028,127.7,40.74
Jordan,0,0,0,77.78
Kazakhstan,0,1.145,58.2,83.8
Kenya,0,0.048,42.3,88.89
Kosovo,0,0,0,87.04
Kuwait,0,0.91,4.3,100
Kyrgyzstan,0,0,0,84.72
Laos,0,0,0,56.48
Latvia,0,0.925,182.2,61.11
Lebanon,0,0,0,77.78
Lesotho,0,0,0,62.04
Liberia,0,0,0,87.96
Libya,0,0.035,160.1,100
Liechtenstein,0,0,0,0
Lithuania,1,1.882,486.6,71.3
Luxembourg,0,1.92,116,56.48
Madagascar,0,0,8.8,70.37
Malawi,0,0.01,44.2,60.19
Malaysia,0,0.319,239.1,69.44
Maldives,0,0.607,14.3,0
Mali,0,0,0,56.48
Malta,0,3.889,150.6,0
Marshall Islands,0,0,0,0
Mauritania,0,0,12,77.78
Mauritius,0,0,0,78.7
Mexico,0,0.067,2.8,82.41
Moldova,0,0,0,80.56
Monaco,0,0,0,68.52
Mongolia,0,0,0,71.3
Montenegro,0,0,0,0
Morocco,0,0.282,61.4,93.52
Mozambique,0,0.013,47.1,56.48
Myanmar,0,0.004,249.5,80.56
Namibia,0,0,209.8,66.67
Nepal,0,0.13,74.7,92.59
Netherlands,0,0,0,68.52
New Zealand,2,0.98,5176.2,39.81
Nicaragua,0,0,0,18.52
