country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,1,0,0,84.26
Albania,1,0,0,83.33
Algeria,1,0,0,76.85
Andorra,1,0,0,50
Angola,1,0,0,81.48
Antigua and Barbuda,1,0,0,0
Argentina,1,0.073,7.6,90.74
Armenia,1,0,0,0
Australia,2,1.276,3044.7,67.13
Austria,1,0.61,150.8,59.26
Azerbaijan,1,0,0,77.78
Bahamas,1,0,0,0
Bahrain,1,2.734,20.3,75
Bangladesh,1,0.054,6,93.52
Barbados,1,0,0,81.48
Belarus,1,0,15,16.67
Belgium,1,0.606,47.2,75
Belize,1,0,0,85.19
Benin,1,0,0,57.41
Bhutan,1,0,0,83.33
Bolivia,1,0.068,2.6,84.26
Bosnia and Herzegovina,1,0,0,71.3
Botswana,1,0,0,61.11
Brazil,1,0,0,81.02
Brunei,1,0,0,52.78
Bulgaria,1,0.128,39.4,56.48
Burkina Faso,1,0,0,60.19
Burundi,1,0,0,13.89
Cambodia,1,0,0,57.41
Cameroon,1,0,0,63.89
Canada,1,0.723,20.4,70.83
Cape Verde,1,0.09,0,79.17
Central African Republic,1,0,0,75.93
Chad,1,0,0,74.07
Chile,1,0.755,3.4,78.24
China,1,0,0,81.94
Colombia,1,0.189,0,87.04
Comoros,1,0,0,0
Congo,1,0,0,82.41
Costa Rica,1,0.08,0,72.22
Cote d'Ivoire,1,0.018,19.2,64.81
Croatia,0,0.151,422.4,70.37
Cuba,1,0.128,168.7,100
Cyprus,0,2.23,744.3,76.85
Czechia,1,0.359,98.5,57.41
Democratic Republic of Congo,1,0.004,0,80.56
Denmark,1,1.496,191.1,60.19
Djibouti,1,0,0,59.26
Dominica,1,0,0,72.22
Dominican Republic,1,0.154,5.7,87.04
Ecuador,1,0.07,0,86.11
Egypt,1,0,0,84.26
El Salvador,1,0.39,29.9,100
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,93.52
Estonia,1,0.741,159.7,50
Eswatini,1,0,0,84.26
