country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,2,0,0,84.26
Albania,2,0,0,89.81
Algeria,2,0,0,76.85
Andorra,0,0,0,52.78
Angola,2,0,0,78.7
Antigua and Barbuda,0,0,0,0
Argentina,2,0.053,17.3,88.89
Armenia,0,0,0,0
Australia,1,0.671,1056.8,69.44
Austria,2,0.524,134.1,64.81
Azerbaijan,2,0,0,87.96
Bahamas,0,0,0,0
Bahrain,2,3.192,39.2,75
Bangladesh,2,0.035,9.1,89.81
Barbados,2,0,0,81.48
Belarus,0,0.755,9.3,16.67
Belgium,2,2.002,40.4,81.48
Belize,2,0,0,76.85
Benin,2,0,0,70.83
Bhutan,2,0,0,83.33
Bolivia,2,0.045,3.9,84.26
Bosnia and Herzegovina,2,0,0,90.74
Botswana,2,0,0,86.11
Brazil,2,0,0,77.31
Brunei,2,0,0,58.33
Bulgaria,2,0.076,31.6,73.15
Burkina Faso,2,0,0,89.81
Burundi,0,0,0,13.89
Cambodia,2,0,0,57.41
Cameroon,2,0,0,63.89
Canada,2,0.581,15,72.69
Cape Verde,2,0,0,87.96
Central African Republic,2,0,0,68.52
Chad,2,0,0,88.89
Chile,2,0.414,6.7,73.15
China,2,0,0,56.94
Colombia,2,0.083,0,90.74
Comoros,0,0,0,0
Congo,2,0,0,97.22
Costa Rica,2,0.021,0,72.22
Cote d'Ivoire,2,0.018,10.1,80.56
Croatia,2,0.233,100.4,89.81
Cuba,2,0.191,50.9,83.33
Cyprus,2,1.701,298.2,92.59
Czechia,2,0.724,116.2,57.41
Democratic Republic of Congo,2,0.001,0,80.56
Denmark,2,3.07,103.6,68.52
Djibouti,2,0,0,94.44
Dominica,2,0,0,79.63
Dominican Republic,2,0.088,5.3,100
Ecuador,2,0.144,0,86.11
Egypt,2,0,0,84.26
El Salvador,2,0.253,46,94.44
Equatorial Guinea,0,0,0,0
Eritrea,2,0,0,93.52
Estonia,2,1.414,165.5,75
Eswatini,2,0,0,84.26
Ethiopia,1,0.015,593.6,80.56
Fiji,2,0,0,88.89
Finland,2,0.319,32.7,60.19
France,2,0,0,87.96
Gabon,2,0,0,79.63
Gambia,2,0,0,78.7
Georgia,2,0,0,96.3
Germany,2,0,0,71.76
Ghana,2,0,25.5,62.04
Greece,2,0.155,151.6,81.48
Grenada,0,0,0,0
