country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,78.7
Albania,0,0,0,71.3
Algeria,0,0,0,65.74
Andorra,6,0,0,42.59
Angola,0,0,0,75.93
Antigua and Barbuda,6,0,0,0
Argentina,0,0.142,4.5,88.89
Armenia,6,0,0,0
Australia,3,0.792,2059.1,50.46
Austria,5,0.558,151.3,47.22
Azerbaijan,0,0,0,83.33
Bahamas,6,0,0,0
Bahrain,0,7.574,15.7,75
Bangladesh,0,0.105,4.9,74.54
Barbados,0,0,0,66.67
Belarus,6,1.125,21.8,16.67
Belgium,5,1.311,122.4,51.85
Belize,0,0,0,73.15
Benin,6,0,0,41.67
Bhutan,0,0,0,83.33
Bolivia,0,0.116,2,84.26
Bosnia and Herzegovina,0,0,0,51.85
Botswana,0,0,0,57.41
Brazil,0,0,0,77.31
Brunei,0,0,0,49.07
Bulgaria,6,0.552,29.4,38.89
Burkina Faso,0,0,0,45.37
Burundi,6,0,0,13.89
Cambodia,6,0,0,40.74
Cameroon,0,0,0,60.19
Canada,5,0.881,91.7,70.83
Cape Verde,0,0.371,8.2,79.17
Central African Republic,0,0,0,64.81
Chad,0,0,0,74.07
Chile,0,0.762,2.9,78.24
China,0,0,0,78.24
Colombia,0,0.244,0,87.04
Comoros,6,0,0,0
Congo,0,0,0,73.15
Costa Rica,0,0.055,0,72.22
Cote d'Ivoire,0,0.037,3.4,62.96
Croatia,5,0.066,176.7,54.63
Cuba,2,0.205,238.3,100
Cyprus,4,1.041,736.7,62.96
Czechia,5,0.376,61.1,41.67
Democratic Republic of Congo,0,0.006,0,80.56
Denmark,2,3.142,399.1,57.41
Djibouti,0,0,0,59.26
Dominica,0,0,0,72.22
Dominican Republic,0,0.178,4.4,87.04
Ecuador,0,0.106,0,83.33
Egypt,0,0,0,71.3
El Salvador,0,0.381,22.7,90.74
Equatorial Guinea,6,0,0,0
Eritrea,0,0,0,93.52
Estonia,2,1.331,288.8,41.67
Eswatini,0,0,0,84.26
Ethiopia,0,0.044,30.7,80.56
Fiji,0,0.044,0,78.7
Finland,5,0.54,180.4,35.19
