country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,6,0,0,84.26
Albania,6,0,0,89.81
Algeria,6,0,0,76.85
Andorra,1,0,0,52.78
Angola,6,0,0,78.7
Antigua and Barbuda,0,0,0,0
Argentina,6,0.039,13.3,88.89
Armenia,0,0,0,0
Australia,2,0.416,870.7,69.44
Austria,4,0.545,103.5,75
Azerbaijan,6,0,0,87.96
Bahamas,0,0,0,0
Bahrain,6,2.167,33.7,75
Bangladesh,6,0.026,8.5,93.52
Barbados,6,0,0,88.89
Belarus,0,0.664,10.2,16.67
Belgium,6,1.508,16.6,81.48
Belize,6,0,0,76.85
Benin,1,0,0,70.83
Bhutan,6,0,0,83.33
Bolivia,6,0.017,3.7,84.26
Bosnia and Herzegovina,6,0,0,90.74
Botswana,6,0,0,86.11
Brazil,6,0,0,77.31
Brunei,1,0,0,58.33
Bulgaria,6,0,30.9,73.15
Burkina Faso,6,0,0,84.26
Burundi,0,0,0,13.89
Cambodia,1,0,0,57.41
Cameroon,1,0,0,71.3
Canada,6,0.694,14.6,72.69
Cape Verde,6,0,0,79.63
Central African Republic,1,0,0,68.52
Chad,6,0,0,88.89
Chile,6,0.275,10.3,73.15
China,1,0,0,56.94
Colombia,6,0.075,0,90.74
Comoros,0,0,0,0
Congo,6,0,0,97.22
Costa Rica,6,0.011,0,81.48
Cote d'Ivoire,6,0.011,9,80.56
Croatia,6,0.291,39.3,89.81
Cuba,6,0.164,43.3,83.33
Cyprus,5,2.05,289.2,94.44
Czechia,4,0.724,87.6,57.41
Democratic Republic of Congo,6,0.001,0,80.56
Denmark,4,2.996,74.9,68.52
Djibouti,6,0,0,94.44
Dominica,6,0,0,79.63
Dominican Republic,6,0.046,5.3,96.3
Ecuador,6,0,0,93.52
Egypt,6,0,0,84.26
El Salvador,4,0.193,76.3,94.44
Equatorial Guinea,0,0,0,0
Eritrea,6,0,0,93.52
Estonia,4,0.964,74.8,75
Eswatini,6,0,0,84.26
Ethiopia,5,0.008,510.5,80.56
Fiji,6,0,0,88.89
Finland,1,0.44,28.8,60.19
France,6,0,0,87.96
Gabon,6,0,0,79.63
Gambia,6,0,0,78.7
Georgia,6,0,0,96.3
Germany,6,0,0,76.85
Ghana,4,0,61,62.04
Greece,6,0.143,40.7,84.26
Grenada,0,0,0,0
Guatemala,6,0.012,7.3,96.3
Guinea,6,0,0,78.7
Guinea-Bissau,0,0,0,0
Guyana,6,0,0,87.04
Haiti,6,0,0,89.81
Honduras,6,0,0,100
Hungary,6,0.219,29.3,76.85
Iceland,4,2.016,170.2,53.7
India,6,0.029,21.4,96.3
Indonesia,6,0.009,6.7,80.09
International,0,0,0,0
Iran,1,0.131,10,53.7
Iraq,4,0.057,53.9,85.19
Ireland,6,1.033,9.7,90.74
Israel,4,1.33,59.1,84.26
Italy,6,0.529,21.5,93.52
Jamaica,6,0,12,87.04
Japan,1,0.068,13.6,47.22
Jordan,6,0,0,89.81
Kazakhstan,4,0.493,89.1,92.13
Kenya,4,0,56.5,88.89
Kosovo,6,0,0,92.59
Kuwait,6,0,0,88.89
Kyrgyzstan,6,0,0,92.13
Laos,6,0,0,96.3
Latvia,4,0.829,158.4,69.44
Lebanon,6,0,0,81.48
Lesotho,6,0,0,90.74
Liberia,6,0,0,87.96
Libya,4,0.012,70.7,100
Liechtenstein,0,0,0,0
Lithuania,5,1.019,323.4,77.78
Luxembourg,6,1.214,32.2,70.37
Madagascar,1,0,0,67.59
Malawi,1,0.001,12.9,60.19
Malaysia,4,0.229,77.7,73.15
Maldives,0,0.603,14,0
Mali,1,0,0,72.22
Malta,5,2.419,262.7,0
Marshall Islands,0,0,0,0
Mauritania,6,0,0,77.78
Mauritius,6,0,0,82.41
Mexico,6,0.034,3.4,82.41
Moldova,6,0,0,84.26
Monaco,6,0,0,85.19
Mongolia,1,0,0,65.74
Montenegro,0,0,0,0
Morocco,6,0.05,12,93.52
Mozambique,1,0.001,15.7,56.48
Myanmar,4,0,85,86.11
Namibia,6,0,0,73.15
Nepal,4,0.019,98,96.3
Netherlands,6,0,0,79.63
New Zealand,2,0.422,1044.6,96.3
Nicaragua,0,0,0,24.07
Niger,1,0,0,61.11
Nigeria,6,0,4.5,85.65
North Macedonia,0,0.139,19,0
Norway,6,0.757,43.8,67.59
Oman,6,0,0,92.59
Pakistan,6,0.029,8.5,89.81
Palestine,6,0,0,96.3
Panama,6,0.254,4.2,93.52
Papua New Guinea,1,0,0,70.83
Paraguay,4,0.073,128.5,94.44
Peru,6,0.071,0,94.44
Philippines,6,0.04,20.6,100
Poland,6,0,0,83.33
Portugal,6,1.193,29.7,82.41
Qatar,6,1.187,4,83.33
Romania,6,0.38,18.9,87.04
Russia,6,0.821,24.9,85.19
Rwanda,4,0.094,139.9,90.74
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,6,0,0,92.59
Sao Tome and Principe,0,0,0,0
Saudi Arabia,6,0.268,7.9,94.44
Senegal,6,0.04,10.6,77.78
Serbia,6,0.531,15.9,93.52
Seychelles,6,0,0,93.52
Sierra Leone,6,0,0,77.78
Singapore,6,0,3.5,85.19
Slovakia,4,0.324,127.1,73.15
Slovenia,4,0.329,109.2,86.11
Solomon Islands,1,0,0,42.59
Somalia,1,0,0,60.19
South Africa,6,0.166,38.2,87.96
South Korea,5,0,534.8,43.52
South Sudan,6,0,0,86.11
Spain,6,0,22.9,85.19
Sri Lanka,6,0.087,25.4,79.63
Sudan,6,0,0,87.04
Suriname,6,0,0,82.41
Sweden,1,0,0,64.81
Switzerland,6,0.433,23.8,69.44
Syria,6,0,0,87.04
Taiwan,2,0.031,889,31.48
Tajikistan,1,0,0,40.74
Tanzania,1,0,0,50
Thailand,5,0.116,343.4,76.85
Timor,6,0,0,77.78
Togo,4,0.023,125.5,73.15
Trinidad and Tobago,6,0,0,90.74
Tunisia,6,0.049,38.5,90.74
Turkey,6,0.239,11.5,75.93
Uganda,6,0,0,93.52
Ukraine,6,0.095,9.9,88.89
United Arab Emirates,4,2.649,47.1,87.04
United Kingdom,6,0.463,6,79.63
United States,6,0.675,0,72.69
Uruguay,4,0.163,46.5,61.11
Uzbekistan,6,0,0,90.74
Vanuatu,6,0,0,77.78
Vatican,0,0,0,0
Venezuela,6,0,0,82.41
Vietnam,2,0.008,20821.7,76.85
Yemen,1,0,0,40.74
Zambia,4,0,114.1,65.28
Zimbabwe,6,0,0,87.96
