country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,2,0,0,48.15
Albania,4,0,0,57.41
Algeria,6,0,0,79.63
Andorra,2,0,0,45.37
Angola,6,0,0,79.17
Antigua and Barbuda,0,0,0,0
Argentina,6,0.411,2.6,87.96
Armenia,0,0,0,0
Australia,3,2.348,212.5,79.17
Austria,1,1.147,39.6,35.19
Azerbaijan,6,0,0,85.19
Bahamas,0,0,0,0
Bahrain,4,11.506,25,69.44
Bangladesh,6,0.089,4.9,80.09
Barbados,2,0,0,48.15
Belarus,1,0,81.6,16.67
Belgium,1,1.992,34.1,58.33
Belize,4,0,0,72.69
Benin,2,0,0,41.67
Bhutan,6,0,0,97.22
Bolivia,6,0.327,2.2,84.26
Bosnia and Herzegovina,4,0,0,59.26
Botswana,2,0,0,47.22
Brazil,4,0,0,69.91
Brunei,2,0,0,40.74
Bulgaria,1,0.528,31.7,38.89
Burkina Faso,2,0,0,48.15
Burundi,0,0,0,11.11
Cambodia,2,0,0,47.22
Cameroon,4,0,0,60.19
Canada,1,1.2,127.3,64.35
Cape Verde,4,0.712,6.9,65.28
Central African Republic,4,0,0,54.63
Chad,4,0,0,64.81
Chile,6,1.008,15,81.94
China,6,0,0,78.24
Colombia,6,0.608,0,87.04
Comoros,0,0,0,0
Congo,4,0,0,67.59
Costa Rica,4,0.301,0,72.22
Cote d'Ivoire,2,0.055,16,31.94
Croatia,2,0.403,8.2,35.19
Cuba,1,0.452,90.2,82.41
Cyprus,3,3.85,254.4,47.22
Czechia,2,0.715,26.7,36.11
Democratic Republic of Congo,2,0.004,12.2,40.74
Denmark,3,6.744,251.6,50.93
Djibouti,2,0,0,50.93
Dominica,2,0,0,36.11
Dominican Republic,6,0.398,4.6,78.7
Ecuador,6,0.218,0,76.39
Egypt,4,0,0,62.96
El Salvador,6,0.372,8.3,89.81
Equatorial Guinea,0,0,0,0
Eritrea,6,0,0,89.81
Estonia,3,0.825,266.7,23.15
Eswatini,4,0,0,64.81
Ethiopia,6,0.186,15.3,80.56
Fiji,3,0.199,328.7,54.63
Finland,3,3.094,515.2,32.41
France,1,2.225,32.3,48.15
Gabon,4,0,0,66.67
Gambia,6,0,0,77.78
Georgia,4,0,0,57.41
Germany,4,0,0,56.94
Ghana,4,0.035,6.2,52.78
Greece,1,6.084,82.6,56.02
Grenada,0,0,0,0
Guatemala,6,0.246,3.8,87.04
Guinea,4,0,0,70.83
Guinea-Bissau,0,0,0,0
Guyana,4,0,0,73.15
Haiti,2,0,0,21.3
Honduras,6,0,0,87.96
Hungary,1,0.383,88.7,49.07
Iceland,1,1.333,43.4,46.3
India,6,0.581,13,79.63
Indonesia,4,0.055,5.9,59.72
International,0,0,0,0
