country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,0,0,0.231,2.004
Albania,7,0,0.347,46.911
Algeria,1,0,0.205,12.064
Andorra,5,0,0,142.367
Angola,0,0,0.091,1.673
Antigua and Barbuda,4,0,0,0
Argentina,5,0.408,3.54,165.546
Armenia,3,0,1.687,56.02
Australia,6,3.605,0.471,16.706
Austria,6,1.114,0.111,15.656
Azerbaijan,6,0,0.395,12.723
Bahamas,5,0,0,175.462
Bahrain,2,5.387,1.763,245.654
Bangladesh,6,0.077,0.164,17.311
Barbados,6,0,0,17.399
Belarus,1,0,0.317,11.747
Belgium,3,1.97,0.431,66.266
Belize,4,0,0,0
Benin,4,0,0,0
Bhutan,4,0,0,0
Bolivia,8,0.269,5.054,125.76
Bosnia and Herzegovina,8,0,3.048,88.697
Botswana,4,0,0,0
Brazil,2,0,5.076,236.31
Brunei,0,0,0,2.286
Bulgaria,7,0.926,1.007,28.064
Burkina Faso,4,0,0,0
Burundi,4,0,0,0
Cambodia,4,0,0,0.179
Cameroon,4,0,0,0
Canada,6,1.273,0.106,13.672
Cape Verde,3,0.933,3.597,82.736
Central African Republic,0,0,0,4.348
Chad,4,0,0,0
Chile,8,1.321,3.61,112.679
China,4,0,0.001,0.083
Colombia,5,0.795,6.112,186.585
Comoros,4,0,0,0
Congo,6,0,0,16.491
Costa Rica,5,0.349,3.533,198.464
Cote d'Ivoire,0,0.035,0.038,2.919
Croatia,6,0.266,0,15.103
Cuba,0,0.323,0,4.768
Cyprus,6,4.04,0,15.984
Czechia,7,0.86,-0.093,30.722
Democratic Republic of Congo,4,0.005,0.033,0.514
Denmark,7,4.674,0,27.796
Djibouti,1,0,0,8.097
Dominica,4,0,0,0
Dominican Republic,8,0.382,1.198,108.131
Ecuador,3,0.199,1.134,81.165
Egypt,4,0,0.195,1.378
El Salvador,3,0.381,1.079,64.445
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0.846
Estonia,1,1.254,0,6.785
Eswatini,3,0,0.862,58.612
Ethiopia,0,0.08,0.13,4.802
Fiji,4,0.013,0,0
Finland,0,1.591,0,3.971
France,3,1.717,0.291,59.703
Gabon,3,0,0,61.104
Gambia,3,0,1.241,64.138
Georgia,0,0,0,1.755
Germany,6,0,0.167,13.809
Ghana,6,0.059,0.225,14.643
Greece,6,1.112,0,14.103
Grenada,4,0,0,0
