country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,8,0,0.051,1.593
Albania,6,0,1.39,56.293
Algeria,0,0,0.068,2.759
Andorra,7,0,0,2562.609
Angola,8,0,0,0
Antigua and Barbuda,5,0,0,10.212
Argentina,2,0.662,8.828,363.906
Armenia,2,0,1.687,226.779
Australia,8,1.285,0,0.98
Austria,3,2.064,0.888,114.252
Azerbaijan,4,0,0.197,17.95
Bahamas,7,0,5.086,391.61
Bahrain,2,11.97,0,267.986
Bangladesh,5,0.079,0.213,9.229
Barbados,5,0,0,10.439
Belarus,6,0,0.635,43.918
Belgium,2,4.699,1.381,308.638
Belize,1,0,0,168.502
Benin,0,0,0,4.454
Bhutan,0,0,0,5.184
Bolivia,4,0.122,3.084,20.389
Bosnia and Herzegovina,3,0,1.524,111.253
Botswana,8,0,0,0
Brazil,1,0,3.453,148.443
Brunei,8,0,0,0
Bulgaria,6,0.782,1.583,62.892
Burkina Faso,8,0,0,1.196
Burundi,8,0,0,0.084
Cambodia,8,0,0,0.06
Cameroon,8,0,0,0
Canada,6,1.961,0.291,43.029
Cape Verde,1,0.887,3.597,190.652
Central African Republic,8,0,0,0
Chad,8,0,0.061,0.791
Chile,6,1.031,1.046,59.321
China,8,0,0,0.014
Colombia,1,0.498,3.203,154.787
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,2,0.306,3.926,265.993
Cote d'Ivoire,8,0.046,0,1.213
Croatia,3,1.304,1.218,88.423
Cuba,8,0.63,0,1.324
Cyprus,4,4.034,1.142,23.975
Czechia,7,2.243,3.268,498.46
Democratic Republic of Congo,8,0.002,0.022,0.167
Denmark,6,8.641,0,57.491
Djibouti,8,0,0,0
Dominica,8,0,0,0
Dominican Republic,6,0.345,0.922,71.627
Ecuador,3,0.296,2.324,83.602
Egypt,8,0,0.088,1.3
El Salvador,4,0.37,0.617,15.88
Equatorial Guinea,8,0,0,0
Eritrea,8,0,0,0
Estonia,6,3.149,0,42.215
Eswatini,4,0,0.862,16.377
Ethiopia,5,0.072,0.148,7.759
Fiji,8,0,0,0
Finland,4,3.177,0,21.658
France,2,3.215,1.226,273.725
Gabon,0,0,0,3.145
Gambia,8,0,0,0
Georgia,3,0,1.253,127.345
Germany,6,0,0.191,47.861
Ghana,8,0.044,0,0
Greece,6,1.133,0.384,38.952
Grenada,8,0,0,0
Guatemala,6,0.328,1.395,46.552
Guinea,8,0,0,0
Guinea-Bissau,8,0,0,0
Guyana,3,0,3.814,132.221
Haiti,8,0,0,0
Honduras,6,0,1.918,35.741
Hong Kong,8,0,0,0
