country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,5,0,0.051,0
Albania,5,0,1.042,0
Algeria,5,0,0.57,0
Andorra,3,0,12.942,0
Angola,5,0,0,0
Antigua and Barbuda,5,0,0,0
Argentina,5,0,0.089,0
Armenia,5,0,0,0
Australia,5,0,0.078,0
Austria,2,91.713,1.999,27.203
Azerbaijan,5,0,0,0
Bahamas,5,0,7.629,0
Bahrain,5,0,0,0
Bangladesh,5,0,0.012,0
Barbados,5,0,0,0
Belarus,5,0,0.106,0
Belgium,1,477.238,12.08,108.804
Belize,5,0,0,0
Benin,5,0,0,0
Bhutan,5,0,0,0
Bolivia,5,0,0.086,0
Bosnia and Herzegovina,0,0,1.219,0
Botswana,5,0,0,0
Brazil,5,0,0.405,0
Brunei,5,0,0,0
Bulgaria,5,0,0.432,0
Burkina Faso,5,0,0,0
Burundi,5,0,0,0
Cambodia,5,0,0,0
Cameroon,5,0,0.038,0
Canada,0,0,1.033,0
Cape Verde,5,0,0,0
Central African Republic,5,0,0,0
Chad,5,0,0,0
Chile,0,0,0.262,0
China,5,0,0.003,0
Colombia,5,0,0.138,0
Comoros,5,0,0,0
Congo,5,0,0,0
Costa Rica,5,0,0,0
Cote d'Ivoire,5,0,0,0
Croatia,5,0,0.974,0
Cuba,5,0,0,0
Cyprus,0,0,0,0
Czechia,0,34.084,0.56,7.937
Democratic Republic of Congo,5,0,0.056,0
Denmark,2,86.841,3.798,23.825
Djibouti,5,0,0,0
Dominica,0,0,0,0
Dominican Republic,5,0,0,0
Ecuador,5,0,1.53,0
Egypt,5,0,0.049,0
El Salvador,5,0,0.154,0
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,2,101.015,0.754,12.815
Eswatini,5,0,0,0
Ethiopia,5,0,0,0
Fiji,5,0,0,0
Finland,4,33.75,0.902,13.175
France,1,429.01,16.147,102.997
Gabon,5,0,0,0
Gambia,5,0,0,0
Georgia,5,0,0.251,0
Germany,4,0,2.017,0
Ghana,5,0,0,0
Greece,5,0,0.48,0
Grenada,5,0,0,0
Guatemala,5,0,0.056,0
Guinea,5,0,0,0
Guinea-Bissau,5,0,0,0
Guyana,5,0,0,0
Haiti,5,0,0,0
Honduras,5,0,0,0
Hungary,5,60.867,0.621,0
Iceland,2,108.425,0,32.234
India,5,0,0.01,0
Indonesia,5,0,0.037,0
International,5,0,0,0
Iran,0,0,1.881,0
Iraq,5,0,0.05,0
Ireland,2,149.459,3.443,28.353
Israel,4,0,0.693,0
