country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,4,3.108,0.308,0
Albania,1,189.381,5.56,0
Algeria,4,23.808,0.479,0
Andorra,4,0,0,0
Angola,4,2.404,0.091,0
Antigua and Barbuda,4,0,0,0
Argentina,1,134.924,2.345,0
Armenia,3,421.161,10.462,0
Australia,5,0.235,0,0
Austria,0,518.409,14.656,0
Azerbaijan,3,415.418,3.156,0
Bahamas,4,0,0,0
Bahrain,4,76.399,0,0
Bangladesh,4,11.585,0.219,0
Barbados,4,0,0,0
Belarus,1,178.955,0.741,0
Belgium,0,312.262,10.527,0
Belize,1,150.897,7.545,0
Benin,4,0,0,0
Bhutan,4,1.296,0,0
Bolivia,4,8.395,0.514,0
Bosnia and Herzegovina,3,389.842,10.363,0
Botswana,4,0,0,0
Brazil,1,244.271,2.762,0
Brunei,4,0,0,0
Bulgaria,0,257.899,9.93,0
Burkina Faso,4,0,0,0
Burundi,4,0,0,0
Cambodia,4,0.419,0,0
Cameroon,4,0,0,0
Canada,1,150.362,2.04,0
Cape Verde,1,133.096,0,0
Central African Republic,4,0,0,0
Chad,4,0,0,0
Chile,4,88.825,2.302,0
China,4,0.066,0.001,0
Colombia,1,178.901,3.675,0
Comoros,4,1.15,0,0
Congo,4,0,0,0
Costa Rica,4,0,0,0
Cote d'Ivoire,4,1.099,0,0
Croatia,0,971.191,13.397,0
Cuba,4,5.562,0,0
Cyprus,1,283.138,0,0
Czechia,0,248.857,8.124,0
Democratic Republic of Congo,4,1.541,0,0
Denmark,1,282.794,1.209,0
Djibouti,4,0,0,0
Dominica,4,69.453,0,0
Dominican Republic,4,80.753,0.369,0
Ecuador,4,77.934,0.737,0
Egypt,4,3.43,0.127,0
El Salvador,4,0,0.771,0
Equatorial Guinea,4,4.989,0,0
Eritrea,4,3.102,0,0
Estonia,1,282.691,3.769,0
Eswatini,4,37.926,0.862,0
Ethiopia,4,4.28,0.078,0
Fiji,2,0,0,0
Finland,4,97.641,0,0
France,0,192.727,3.263,0
Gabon,4,0,0,0
Gambia,4,0,0,0
Georgia,3,1121.034,8.523,0
Germany,1,165.246,2.029,0
Ghana,4,4.956,0,0
Greece,1,167.609,11.609,0
Grenada,4,0,0,0
Guatemala,4,37.174,1.116,0
Guinea,4,0,0,0
Guinea-Bissau,4,0,0,0
Guyana,4,35.598,0,0
Haiti,4,0.702,0,0
Honduras,4,38.265,0.606,0
Hungary,0,648.838,15.734,0
Iceland,4,73.26,0,0
India,4,30.297,0.359,0
Indonesia,4,19.808,0.457,0
International,4,0,0,0
Iran,1,159.561,4.655,0
Iraq,4,39.928,0.82,0
Ireland,4,49.212,1.418,0
Israel,4,67.009,1.155,0
Italy,0,435.233,11.346,0
Jamaica,4,23.302,0.338,0
Japan,4,21.182,0.111,0
Jordan,1,304.612,5.489,0
Kazakhstan,4,53.79,0.053,0
Kenya,4,17.649,0.074,0
Kosovo,1,330.613,7.243,0
Kuwait,4,74.697,0.234,0
Kyrgyzstan,4,64.836,0.92,0
Laos,4,0,0,0
Latvia,3,399.215,1.59,0
Lebanon,1,248.482,1.612,0
Lesotho,4,0,0,0
Liberia,4,0,0,0
Libya,4,0,0,0
Liechtenstein,3,576.868,0,0
Lithuania,3,777.654,4.041,0
Luxembourg,4,0,0,0
Madagascar,4,0,0,0
Malawi,4,0.052,0,0
Malaysia,4,40.629,0.124,0
