country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,4,16.903,1.079,0.94
Albania,4,22.934,0.347,1.4
Algeria,4,2.668,0.274,1.05
Andorra,4,12.942,0,0.35
Angola,4,0.335,0.03,1.1
Antigua and Barbuda,2,0,0,0
Argentina,4,43.323,0.774,1.31
Armenia,3,224.417,2.362,1.09
Australia,5,0.706,0,1.53
Austria,0,2.221,0.111,1.1
Azerbaijan,4,33.336,0.592,1.18
Bahamas,2,0,0,0.18
Bahrain,3,275.626,3.526,1.1
Bangladesh,4,23.092,0.231,1.14
Barbados,4,0,0,0
Belarus,4,66.142,0.741,0.83
Belgium,0,8.974,0.69,0.85
Belize,4,0,0,0
Benin,2,2.062,0.165,0.97
Bhutan,4,0,0,0
Bolivia,4,69.733,1.542,1.22
Bosnia and Herzegovina,4,10.058,0,1.18
Botswana,4,0,0,0
Brazil,3,107.099,5.824,1.15
Brunei,4,0,0,0
Bulgaria,4,18.997,0.864,1.34
Burkina Faso,2,0,0,0.96
Burundi,2,0,0,0.64
Cambodia,2,0.06,0,0.11
Cameroon,4,0,0,1.09
Canada,4,10.227,1.298,0.79
Cape Verde,4,55.757,0,1.1
Central African Republic,4,8.489,0.207,0.94
Chad,4,0,0,0.74
Chile,3,234.095,11.822,0.96
China,4,0.025,0,1.56
Colombia,4,62.32,1.69,1.29
Comoros,2,14.949,2.3,0.72
Congo,4,0,0,0.72
Costa Rica,4,13.349,0,1.46
Cote d'Ivoire,4,14.444,0.038,1.18
Croatia,4,2.679,0,2.89
Cuba,0,1.324,0.088,0.75
Cyprus,5,0,1.142,0.73
Czechia,4,11.019,0.093,1.3
Democratic Republic of Congo,4,2.043,0.022,1.09
Denmark,0,8.632,0.345,0.97
Djibouti,4,12.146,0,0.52
Dominica,4,0,0,0
Dominican Republic,4,49.779,0.184,1.18
Ecuador,4,34.404,4.534,1.1
Egypt,4,11.902,0.86,1.06
El Salvador,4,20.659,0.463,1.16
Equatorial Guinea,2,0,0,0.28
Eritrea,4,3.102,0,0.42
Estonia,5,0,0,0.54
Eswatini,4,19.825,0,1.3
Ethiopia,4,1.696,0.017,1.11
Fiji,4,0,0,0
Finland,0,0.361,0,0.71
France,4,7.155,0.429,1.06
Gabon,4,49.871,0.899,1.09
Gambia,4,0.828,0,0
Georgia,4,1.253,0,0.84
Germany,4,14.478,0.286,1.22
Ghana,4,10.91,0,1.2
Greece,0,2.303,0.096,1.2
Grenada,2,0,0,0
Guatemala,4,34.439,0.949,1.24
Guinea,4,13.173,0,1.1
Guinea-Bissau,2,0,0,0.79
Guyana,4,15.256,0,0.71
Haiti,4,19.996,0.175,1.06
Honduras,4,44.424,0.707,1.25
Hungary,5,0.104,0.104,0.55
Iceland,4,5.861,0,1.09
India,4,9.845,0.243,1.22
Indonesia,4,4.866,0.23,1.15
International,2,0,0,0
