country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,1,3.391,0.154,1.2
Albania,0,111.544,3.127,1.19
Algeria,4,6.887,0.16,1.3
Andorra,2,815.376,0,1.12
Angola,4,5.872,0.091,1.07
Antigua and Barbuda,1,0,0,0.32
Argentina,0,212.365,10.687,0.92
Armenia,2,402.938,9.449,1.12
Australia,5,0.353,0,0.79
Austria,2,459.118,3.22,1.47
Azerbaijan,4,58.782,1.282,1.29
Bahamas,1,53.401,5.086,0.66
Bahrain,0,123.414,0.588,0.88
Bangladesh,4,10.541,0.152,1.06
Barbados,1,3.48,0,0.81
Belarus,4,99.584,0.423,1.17
Belgium,2,546.783,10.44,0.95
Belize,0,118.203,0,1.16
Benin,1,0,0,0.95
Bhutan,4,2.592,0,0.89
Bolivia,4,2.913,0.857,0.83
Bosnia and Herzegovina,0,232.869,9.754,1.16
Botswana,4,0,0,0.73
Brazil,4,39.994,0.842,1
Brunei,1,0,0,0
Bulgaria,2,349.287,7.34,1.41
Burkina Faso,1,0.813,0,1
Burundi,1,0,0,0.79
Cambodia,1,0,0,0.85
Cameroon,1,0,0,0.91
Canada,4,93.503,0.848,1.17
Cape Verde,4,61.152,0,1.06
Central African Republic,1,0,0,0.58
Chad,4,0.061,0,0.96
Chile,4,66.75,2.877,0.97
China,4,0.038,0,1.13
Colombia,0,195.252,2.712,1.03
Comoros,1,0,0,0.64
Congo,1,0,0,0.58
Costa Rica,0,252.448,3.73,1
Cote d'Ivoire,1,1.403,0,0.95
Croatia,2,283.782,7.795,1.17
Cuba,1,3.09,0.088,1.09
Cyprus,0,224.912,1.142,1.29
Czechia,3,863.948,21.01,1
Democratic Republic of Congo,1,0.246,0,1.11
Denmark,0,162.632,0.173,1.18
Djibouti,4,10.121,0,1.06
Dominica,1,0,0,0
Dominican Republic,4,23.876,0.092,1.02
Ecuador,4,20.858,0.453,0.93
Egypt,4,1.847,0.127,1.14
El Salvador,4,0,0.617,1.12
Equatorial Guinea,1,0.713,0,0.48
Eritrea,4,4.794,0,0.41
Estonia,1,45.984,0,1.47
Eswatini,4,3.448,0,0.98
Ethiopia,4,3.123,0.096,0.83
Fiji,5,0,0,0
Finland,1,19.673,0.18,1.1
France,3,820.271,6.557,1.16
Gabon,4,7.189,0,1.1
