country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,1,0.565,0,1.44
Albania,3,5.56,0,1.1
Algeria,3,2.987,0.319,2.09
Andorra,0,181.195,25.885,0.9
Angola,3,0.03,0,0
Antigua and Barbuda,2,0,0,0
Argentina,3,0,0.022,1.53
Armenia,2,13.161,0.337,1.34
Australia,0,11.882,0.078,1.11
Austria,0,58.958,1.999,0.99
Azerbaijan,3,6.016,0,1.69
Bahamas,2,17.8,2.543,0
Bahrain,0,1.175,0,1.33
Bangladesh,0,0.018,0.006,0
Barbados,1,0,0,0
Belarus,2,1.164,0.106,2.31
Belgium,4,102.592,10.613,1.61
Belize,1,0,0,0
Benin,1,0.33,0,0
Bhutan,3,0,0,0
Bolivia,3,0.685,0.086,1.27
Bosnia and Herzegovina,3,11.887,0,1.17
Botswana,1,0,0,0
Brazil,1,5.264,0.183,1.97
Brunei,1,4.572,0,0.21
Bulgaria,1,3.31,0.288,1.13
Burkina Faso,3,1.005,0.096,0.96
Burundi,2,0,0,0
Cambodia,1,0,0,0.13
Cameroon,1,1.507,0,1.3
Canada,0,27.37,0.212,1.86
Cape Verde,1,0,0,0
Central African Republic,1,0,0,0
Chad,2,0,0,0
Chile,1,15.327,0.209,1.76
China,1,0.057,0.005,0.87
Colombia,3,3.125,0.02,1.65
Comoros,2,0,0,0
Congo,3,0,0,0
Costa Rica,1,5.497,0,1
Cote d'Ivoire,1,0.417,0,1.29
Croatia,3,23.385,0,1.26
Cuba,1,2.295,0,1.33
Cyprus,0,66.218,1.142,1.28
Czechia,0,18.676,0.747,1.32
Democratic Republic of Congo,1,0.123,0.011,0
Denmark,0,43.334,2.417,1.31
Djibouti,3,3.036,0,0
Dominica,1,0,0,0
Dominican Republic,3,16.132,0.553,1.73
Ecuador,3,28.793,1.02,1.84
Egypt,3,0.674,0.059,1.55
El Salvador,3,0,0,0
Equatorial Guinea,2,2.138,0,0
Eritrea,3,0,0,0
Estonia,0,25.631,0.754,1.24
Eswatini,3,0,0,0
Ethiopia,1,0.026,0,0
Fiji,3,0,0,0
Finland,0,5.053,0,1.32
France,4,75.406,13.512,1.65
Gabon,1,0.899,0,0
Gambia,1,0,0,0
Georgia,3,1.755,0,0.86
Germany,0,72.377,1.731,1.36
Ghana,0,1.094,0,1.38
Greece,3,9.69,0.096,1.13
Grenada,2,0,0,0
Guatemala,3,0.056,0,0
Guinea,1,0.609,0,0
Guinea-Bissau,2,0.508,0,0
Guyana,1,8.9,0,0
Haiti,3,0.088,0,0
Honduras,3,3.13,0.303,1.26
Hungary,0,3.416,0.414,1.42
Iceland,0,249.084,0,1.09
India,3,0.436,0.017,2.13
Indonesia,1,0.545,0.077,1.51
International,2,0,0,0
Iran,1,35.574,1.643,1.29
Iraq,3,0.845,0.05,1.36
Ireland,0,42.934,2.835,1.67
Israel,0,80.411,0.924,1.49
Italy,4,79.091,12.024,0.98
Jamaica,3,2.702,0.675,0
Japan,2,2.214,0.04,1.97
Jordan,3,0.392,0,0.81
Kazakhstan,0,1.971,0.053,1.59
