country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,4,0.873,0.103,0.94
Albania,3,32.316,2.085,0.91
Algeria,3,7.731,0.182,0.86
Andorra,5,103.54,0,1.45
Angola,3,2.282,0.03,1.13
Antigua and Barbuda,4,0,0,0
Argentina,5,232.411,5.731,1.12
Armenia,4,32.735,0.675,0.97
Australia,0,4.078,0.235,0.62
Austria,3,22.651,0.111,1.14
Azerbaijan,3,14.104,0.197,0.99
Bahamas,5,150.033,0,0.97
Bahrain,5,275.038,0,1.04
Bangladesh,3,11.84,0.213,0.91
Barbados,4,6.96,0,0.77
Belarus,4,12.593,0.529,1.1
Belgium,3,21.657,0.173,1.05
Belize,5,108.143,0,1.16
Benin,4,0,0,0.94
Bhutan,3,2.592,0,0.77
Bolivia,3,57.312,6.339,0.86
Bosnia and Herzegovina,3,82.297,3.353,1.16
Botswana,3,38.697,0,0.78
Brazil,5,200.692,5.716,0.96
Brunei,4,0,0,0
Bulgaria,3,27.056,1.871,0.99
Burkina Faso,4,0.096,0,1
Burundi,4,0,0,0.72
Cambodia,4,0,0,0.26
Cameroon,3,10.058,0.113,1.01
Canada,2,13.354,0.159,1.18
Cape Verde,5,154.68,0,1.08
Central African Republic,4,0,0,0.62
Chad,3,0.244,0,1
Chile,3,74.23,1.674,0.98
China,3,0.013,0.001,0.65
Colombia,5,175.54,7.625,0.93
Comoros,4,4.6,0,0.66
Congo,3,0,0,0.57
Costa Rica,5,176.086,1.374,1.13
Cote d'Ivoire,4,1.365,0,0.95
Croatia,3,35.32,0.244,1.05
Cuba,2,2.913,0.088,1.08
Cyprus,1,2.283,1.142,0.73
Czechia,3,46.596,0.093,1.41
Democratic Republic of Congo,4,0.078,0.011,1.06
Denmark,0,17.092,0.173,1.24
Djibouti,4,0,0,0.51
Dominica,4,0,0,0
Dominican Republic,3,24.336,2.581,0.96
Ecuador,3,30.72,0.85,1.01
Egypt,3,1.72,0.186,1.01
El Salvador,3,14.03,1.079,1.02
Equatorial Guinea,4,17.106,0,0.46
Eritrea,3,0,0,0.25
Estonia,2,15.077,0,1.31
Eswatini,3,35.34,2.586,0.86
Ethiopia,3,10.203,0.165,0.87
Fiji,0,1.116,0,0
Finland,0,10.107,0,1.23
France,3,76.325,0.398,1.27
Gabon,3,0,0,1.03
Gambia,3,27.31,0,0.87
Georgia,3,5.766,0,1.69
Germany,3,14.478,0.048,1.05
Ghana,4,5.214,0,0.98
Greece,2,19.86,0.48,1.11
Grenada,4,0,0,0
Guatemala,3,45.714,1.005,0.98
Guinea,3,5.33,0,1.08
Guinea-Bissau,4,0,0,0.55
Guyana,3,85.181,2.543,1.2
Haiti,4,0.526,0.175,0.93
Honduras,3,76.227,1.514,1.04
Hong Kong,3,0,0,0
Hungary,3,12.215,0.104,2.11
Iceland,2,26.374,0,0.96
India,3,56.78,0.757,1.09
Indonesia,3,10.145,0.322,1.16
International,4,0,0,0
Iran,3,20.025,1.202,0.84
Iraq,3,84.629,2.014,1.04
Ireland,2,43.339,0,1.21
Israel,5,260.18,1.733,1.28
Italy,2,16.126,0.132,1.2
Jamaica,3,0,0,1.4
Japan,4,4.957,0.119,0.78
Jordan,3,6.175,0,1.45
Kazakhstan,3,49.157,1.811,0.56
Kenya,3,2.12,0,0.72
Kosovo,3,76.056,4.139,0.87
Kuwait,5,164.381,0.702,1.09
Kyrgyzstan,3,9.197,0.153,0.71
Laos,4,0,0,0
Latvia,2,4.241,0,1.14
Lebanon,3,68.713,0.586,1.16
Lesotho,3,0,0,0.98
Liberia,3,0.198,0,0.91
Libya,3,95.761,0.728,1.2
Liechtenstein,4,0,0,0.12
Lithuania,2,8.449,0,1.13
Luxembourg,4,0,0,1.12
Madagascar,3,3.395,0.108,0.82
Malawi,3,0.523,0,0.81
Malaysia,1,0.433,0.031,1.34
Maldives,5,368.149,1.85,0.99
Mali,4,0.049,0,1.09
Malta,2,58.885,0,0.87
Marshall Islands,4,0,0,0
Mauritania,4,5.807,0,0.9
Mauritius,4,0,0,0.27
Mexico,3,50.228,6.414,0.98
Moldova,3,71.394,3.223,1.04
Monaco,4,0,0,0.5
Mongolia,4,0.61,0,0.38
Montenegro,5,130.56,3.184,1.38
Morocco,3,32.267,1.165,1.1
Mozambique,3,3.935,0,1.11
Myanmar,3,0.68,0,1.9
Namibia,3,55.885,2.361,1.02
Nepal,3,36.689,0.378,1.21
Netherlands,3,33.265,0.467,1.13
New Zealand,1,1.037,0,0.89
Nicaragua,4,26.266,0.604,0.4
Niger,4,0,0,0.76
Nigeria,3,1.159,0.049,0.79
North Macedonia,4,54.719,0.48,0.97
Norway,2,16.417,0,1.36
Oman,3,40.34,0.783,1.08
Pakistan,2,1.358,0.018,0.93
Palestine,5,108.205,1.372,1.24
Panama,5,132.104,3.708,0.93
Papua New Guinea,4,0.112,0,0.75
Paraguay,3,94.777,3.084,1.21
Peru,5,147.732,4.731,0.99
Philippines,3,31.438,0.356,0.9
Poland,4,14.532,0.502,0.91
Portugal,3,22.654,0.196,1.22
Qatar,3,74.972,0.347,0.9
Romania,3,54.736,3.119,1
Russia,2,32.001,0.836,1.01
Rwanda,2,6.099,0,0.93
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,9.013,0,0
Samoa,4,0,0,0
San Marino,4,0,0,0.27
Sao Tome and Principe,4,0,0,0.55
Saudi Arabia,3,25.794,0.919,0.84
Senegal,4,2.628,0,0.79
Serbia,2,11.169,0.294,0.72
Seychelles,4,0,0,0.2
Sierra Leone,4,0.752,0.125,0.96
Singapore,0,6.837,0,0.61
Slovakia,4,13.188,0,1.31
Slovenia,3,19.722,0,1.27
Solomon Islands,4,0,0,0
Somalia,4,0,0,0.71
South Africa,3,20.537,1.922,0.72
South Korea,2,5.208,0.039,0.85
South Sudan,3,0,0,0.98
Spain,5,173.565,1.241,1.3
Sri Lanka,2,2.008,0,1.25
Sudan,3,0,0,1
Suriname,3,93.755,1.705,0.89
Sweden,2,14.06,0.495,1.17
Switzerland,3,24.958,0.578,1.15
Syria,4,3.714,0.229,0.98
Taiwan,1,0,0,0.97
Tajikistan,4,3.775,0,1.08
Tanzania,4,0,0,0
Thailand,1,0.115,0,1.1
Timor,4,0,0,0
Togo,2,1.933,0,1.04
Trinidad and Tobago,3,27.153,3.573,1.22
Tunisia,4,13.538,0.254,1.45
Turkey,2,18.639,0.557,1.11
Uganda,3,1.421,0,1.29
Ukraine,3,49.093,1.12,1.14
United Arab Emirates,2,58.036,0,1.28
United Kingdom,2,19.621,0.044,1.12
United States,5,125.911,3.217,0.94
Uruguay,2,4.606,0,1.1
Uzbekistan,4,6.992,0.09,0.89
Vanuatu,4,0,0,0
Vatican,4,0,0,0
Venezuela,3,36.151,0.176,1.06
Vietnam,1,0,0,0.44
Yemen,4,0.134,0.134,0.84
Zambia,3,15.448,0.109,0.9
Zimbabwe,3,4.171,0.067,1
