country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,0.899
Albania,0,0,0,9.382
Algeria,0,0,0,4.219
Andorra,1,0,0,142.367
Angola,0,0,0,0
Antigua and Barbuda,1,0,0,61.27
Argentina,0,0,0,2.921
Armenia,0,0,0,24.635
Australia,0,0,0,8.392
Austria,1,92.046,27.203,43.858
Azerbaijan,0,0,0,4.241
Bahamas,0,0,0,0
Bahrain,0,0,0,17.043
Bangladesh,0,0,0,0.03
Barbados,0,0,0,17.399
Belarus,0,0,0,4.974
Belgium,2,475.684,107.424,122.696
Belize,0,0,0,2.515
Benin,0,0,0,0.247
Bhutan,0,0,0,0
Bolivia,0,0,0,0.771
Bosnia and Herzegovina,0,0,0,14.021
Botswana,0,0,0,0
Brazil,0,0,0,4.761
Brunei,0,0,0,2.286
Bulgaria,0,0,0,4.03
Burkina Faso,0,0,0,0.67
Burundi,0,0,0,0
Cambodia,0,0,0,0.239
Cameroon,0,0,0,7.647
Canada,0,0,0,30.549
Cape Verde,0,0,0,0
Central African Republic,0,0,0,1.035
Chad,0,0,0,0
Chile,0,0,0,17.42
China,0,0,0,0.055
Colombia,0,0,0,2.083
Comoros,0,0,0,0
Congo,0,0,0,0
Costa Rica,0,0,0,3.926
Cote d'Ivoire,0,0,0,0.91
Croatia,0,0,0,16.564
Cuba,0,0,0,3.178
Cyprus,1,0,0,45.667
Czechia,0,35.111,8.217,21.757
Democratic Republic of Congo,0,0,0,0
Denmark,1,89.085,23.998,64.397
Djibouti,0,0,0,9.109
Dominica,0,0,0,0
Dominican Republic,0,0,0,9.956
Ecuador,0,0,0,11.619
Egypt,0,0,0,1.173
El Salvador,0,0,0,0.771
Equatorial Guinea,0,0,0,0.713
Eritrea,0,0,0,0
Estonia,1,88.953,15.077,77.646
Eswatini,0,0,0,0
Ethiopia,0,0,0,0.052
Fiji,0,0,0,0
Finland,0,32.487,12.995,17.507
France,2,418.271,100.439,80.783
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,0,0,5.264
Germany,1,0,0,75.969
Ghana,0,0,0,0.032
Greece,0,0,0,6.62
Grenada,0,0,0,17.775
Guatemala,0,0,0,0.167
Guinea,0,0,0,1.599
Guinea-Bissau,0,0,0,3.049
Guyana,0,0,0,5.085
Haiti,0,0,0,0.175
Honduras,0,0,0,0.303
Hungary,0,57.348,0,3.934
Iceland,1,120.147,32.234,131.868
India,0,0,0,0.017
Indonesia,0,0,0,0.717
International,0,0,0,0
Iran,0,0,0,32.324
Iraq,0,0,0,1.193
Ireland,1,142.574,27.745,85.868
Israel,1,0,0,68.973
Italy,2,542.64,67.282,75.833
Jamaica,0,0,0,0
Japan,0,0,0,2.657
Jordan,0,0,0,1.078
Kazakhstan,0,0,0,1.544
Kenya,0,0,0,0.223
Kosovo,0,0,0,0.517
Kuwait,0,0,0,17.562
Kyrgyzstan,0,0,0,2.146
Laos,0,0,0,0
Latvia,0,16.435,0,18.556
Lebanon,0,0,0,2.051
Lesotho,0,0,0,0
Liberia,0,0,0,0.198
Libya,0,0,0,0
Liechtenstein,0,0,0,26.221
Lithuania,0,0,0,17.265
Luxembourg,2,322.696,55.913,199.688
Madagascar,0,0,0,0.397
Malawi,0,0,0,0
Malaysia,0,0,0,6.705
Maldives,0,0,0,0
Mali,0,0,0,0.148
Malta,0,20.383,6.794,13.589
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,13.367
Mexico,0,0,0,1.381
Moldova,0,0,0,21.319
Monaco,1,0,0,101.926
Mongolia,0,0,0,0
Montenegro,1,0,0,47.766
Morocco,0,0,0,2.249
Mozambique,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,0,0,0
Nepal,0,0,0,0
Netherlands,1,0,74.76,60.286
New Zealand,0,0,0,14.723
Nicaragua,0,0,0,0
Niger,0,0,0,0.909
Nigeria,0,0,0,0.126
North Macedonia,0,0,0,22.08
Norway,1,58.658,0,41.134
Oman,0,0,0,4.112
Pakistan,0,0,0,0.598
Palestine,0,0,0,6.469
Panama,0,0,0,36.618
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,2.103
Peru,0,0,0,5.49
Philippines,0,0,0,3.513
Poland,0,0,0,11.547
Portugal,1,103.759,24.027,83.556
Qatar,1,0,0,43.734
Romania,0,0,4.314,23.132
Russia,0,0,0,4.118
Rwanda,0,0,0,0.386
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,9.013
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,0,0,0,4.424
Senegal,0,0,0,0.717
Serbia,1,0,0,44.823
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,0,0,0,11.11
Slovakia,0,0,0,4.396
Slovenia,0,54.836,14.43,17.798
Solomon Islands,0,0,0,0
Somalia,0,0,0,0.126
South Africa,0,0,0,0.725
South Korea,0,0,0,1.677
South Sudan,0,0,0,0
Spain,1,0,0,152.583
Sri Lanka,0,0,0,0.374
Sudan,0,0,0,0.046
Suriname,0,0,0,0
Sweden,1,0,0,59.509
Switzerland,1,0,0,90.01
Syria,0,0,0,0
Taiwan,0,0,0,0.378
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,0,0,0,1.476
Timor,0,0,0,0
Togo,0,0,0,0.121
Trinidad and Tobago,0,0,0,2.858
Tunisia,0,0,0,3.384
Turkey,0,0,0,33.033
Uganda,0,0,0,0.066
Ukraine,0,0,0,4.001
United Arab Emirates,0,0,0,24.266
United Kingdom,2,217.291,31.229,73.373
United States,1,77.876,14.888,96.585
Uruguay,0,0,0,4.894
Uzbekistan,0,0,0,0.657
Vanuatu,0,0,0,0
Vatican,0,0,0,0
Venezuela,0,0,0,0.246
Vietnam,0,0,0,0.041
