country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,5.395
Albania,0,0,0,23.629
Algeria,0,0,0,10.695
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,2,0,0,79.742
Armenia,1,0,0,180.546
Australia,0,0,0,6.667
Austria,0,7.328,1.221,10.215
Azerbaijan,2,0,0,53.456
Bahamas,0,0,0,5.086
Bahrain,1,0,0,358.49
Bangladesh,0,0,0,21.185
Barbados,0,0,0,0
Belarus,0,0,0,23.388
Belgium,0,14.237,2.761,5.608
Belize,0,0,0,0
Benin,0,0,0,0
Bhutan,0,0,0,0
Bolivia,2,0,0,123.276
Bosnia and Herzegovina,2,0,0,75.591
Botswana,0,0,0,0
Brazil,1,0,0,209.687
Brunei,0,0,0,0
Bulgaria,0,69.512,4.605,34.54
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0,0,0,8.24
Cape Verde,2,0,0,77.34
Central African Republic,0,0,0,7.868
Chad,0,0,0,0
Chile,2,0,0,107.971
China,0,0,0,0.023
Colombia,2,0,0,81.442
Comoros,0,0,0,2.3
Congo,2,0,0,47.843
Costa Rica,2,0,0,68.707
Cote d'Ivoire,0,0,0,11.752
Croatia,0,22.167,0,12.91
Cuba,0,0,0,0.353
Cyprus,0,0,0,3.425
Czechia,0,7.937,0.934,12.046
Democratic Republic of Congo,0,0,0,0
Denmark,0,3.108,0.863,2.072
Djibouti,0,0,0,11.134
Dominica,0,0,0,0
Dominican Republic,2,0,0,106.749
Ecuador,0,0,0,0
Egypt,0,0,0,10.016
El Salvador,0,0,0,39.931
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,0,2.262,0.754,6.031
Eswatini,2,0,0,70.68
Ethiopia,0,0,0,8.072
Fiji,0,0,0,0
Finland,0,3.429,0.361,0.541
France,0,111.132,7.706,0
Gabon,2,0,0,57.509
Gambia,0,0,0,0
Georgia,0,0,0,1.253
Germany,0,0,0,4.249
Ghana,0,0,0,27.484
Greece,0,0,0,3.166
Grenada,0,0,0,0
Guatemala,0,0,0,34.83
Guinea,0,0,0,4.645
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,4.736
Honduras,2,0,0,55.53
Hungary,0,13.664,0,0.518
Iceland,0,0,0,0
India,0,0,0,18.028
Indonesia,0,0,0,6.775
International,0,0,0,0
Iran,0,0,0,32.038
Iraq,2,0,0,68.146
Ireland,0,2.43,1.823,0.81
Israel,1,0,0,153.312
Italy,0,16.043,1.174,3.192
Jamaica,0,0,0,2.026
Japan,0,0,0,1.629
Jordan,0,0,0,0
Kazakhstan,0,0,0,0
Kenya,0,0,0,5.17
Kosovo,2,0,0,94.683
Kuwait,1,0,0,178.431
Kyrgyzstan,2,0,0,87.061
Laos,0,0,0,0
Latvia,0,2.651,0,3.711
Lebanon,0,0,0,5.714
Lesotho,0,0,0,0
Liberia,0,0,0,1.779
Libya,0,0,0,12.516
Liechtenstein,0,0,0,0
Lithuania,0,0,0,3.673
Luxembourg,2,41.535,3.195,75.083
Madagascar,0,0,0,3.647
Malawi,0,0,0,2.405
Malaysia,0,0,0,0.093
Maldives,0,0,0,29.6
Mali,0,0,0,0.494
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,13.549
Mauritius,0,0,0,0
Mexico,2,0,0,54.253
Moldova,2,0,0,81.805
Monaco,0,0,0,0
Mongolia,0,0,0,0
