country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,1,0,0,16.67
Albania,5,0,0,54.63
Algeria,0,0,0,75.93
Andorra,5,0,0,53.7
Angola,0,0,0,71.3
Antigua and Barbuda,1,0,0,0
Argentina,0,0.524,2,82.87
Armenia,1,0,0,0
Australia,3,0,1834.8,68.06
Austria,5,2.222,17.6,40.74
Azerbaijan,0,0,0,66.2
Bahamas,1,0,0,0
Bahrain,0,6.192,23.9,63.89
Bangladesh,0,0.066,8.6,80.09
Barbados,5,0,0,29.63
Belarus,2,0,50.2,16.67
Belgium,5,4.107,10.1,45.37
Belize,0,0,0,69.44
Benin,5,0,0,47.22
Bhutan,0,0,0,77.78
Bolivia,0,0.083,4.1,84.26
Bosnia and Herzegovina,5,0,0,40.74
Botswana,0,0,0,63.89
Brazil,0,0,0,63.43
Brunei,5,0,0,35.19
Bulgaria,5,0.87,10.4,35.19
Burkina Faso,5,0,0,36.11
Burundi,1,0,0,14.81
Cambodia,5,0,0,37.04
Cameroon,5,0,0,41.67
Canada,2,2.083,35.8,60.65
Cape Verde,0,1.165,5.5,67.13
Central African Republic,5,0,0,56.48
Chad,0,0,0,73.15
Chile,0,1.884,20.1,81.94
China,5,0,0,52.31
Colombia,0,0.574,0,71.3
Comoros,1,0,0,0
Congo,5,0,0,56.48
Costa Rica,0,0.499,0,58.33
Cote d'Ivoire,5,0.068,23.6,36.11
Croatia,5,1.115,12.6,28.7
Cuba,4,0.594,286,73.15
Cyprus,2,3.898,128.1,50
Czechia,5,1.692,4.3,48.15
Democratic Republic of Congo,5,0,0,48.15
Denmark,2,4.694,109.3,41.67
Djibouti,5,0,0,47.22
Dominica,5,0,0,28.7
Dominican Republic,0,0,6.4,67.59
Ecuador,5,0.337,0,51.39
Egypt,0,0,0,62.96
El Salvador,5,0.385,28.8,52.78
Equatorial Guinea,1,0,0,0
Eritrea,0,0,0,82.41
Estonia,2,1.205,65.7,25.93
Eswatini,0,0,0,59.26
