country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,1,0,0,78.7
Albania,1,0,0,62.96
Algeria,1,0,0,65.74
Andorra,5,0,0,45.37
Angola,1,0,0,75.93
Antigua and Barbuda,4,0,0,0
Argentina,1,0.239,3,92.59
Armenia,4,0,0,0
Australia,0,2.169,332.2,75.46
Austria,5,0.896,74,47.22
Azerbaijan,1,0,0,96.3
Bahamas,4,0,0,0
Bahrain,1,0,21.8,69.44
Bangladesh,1,0.095,4.6,74.54
Barbados,1,0,0,57.41
Belarus,5,0,42.5,16.67
Belgium,0,1.196,130.8,50
Belize,1,0,0,69.44
Benin,5,0,0,41.67
Bhutan,1,0,0,71.3
Bolivia,1,0.186,1.8,84.26
Bosnia and Herzegovina,1,0,0,56.48
Botswana,1,0,0,57.41
Brazil,1,0,0,81.02
Brunei,1,0,0,49.07
Bulgaria,5,0,15.4,36.11
Burkina Faso,5,0,0,45.37
Burundi,4,0,0,13.89
Cambodia,5,0,0,38.89
Cameroon,1,0,0,60.19
Canada,0,0.932,120.3,68.98
Cape Verde,1,0.309,0,79.17
Central African Republic,1,0,0,64.81
Chad,1,0,0,67.59
Chile,1,0.547,4.8,87.5
China,1,0,0,78.24
Colombia,1,0.421,0,87.04
Comoros,4,0,0,0
Congo,1,0,0,73.15
Costa Rica,1,0.221,0,73.61
Cote d'Ivoire,1,0.07,6.2,63.43
Croatia,5,0.335,15.7,54.63
Cuba,0,0.273,395.3,66.67
Cyprus,3,1.931,1093.3,50
Czechia,5,0.505,31.6,34.72
Democratic Republic of Congo,1,0.014,16.3,80.56
Denmark,3,2.746,928,54.63
Djibouti,1,0,0,59.26
Dominica,5,0,0,44.44
Dominican Republic,1,0.377,3.5,75
Ecuador,1,0.136,0,79.63
Egypt,1,0,0,60.19
El Salvador,1,0.381,9.4,89.81
Equatorial Guinea,4,0,0,0
Eritrea,1,0,0,89.81
Estonia,0,0.455,268,25.93
Eswatini,1,0,0,80.56
Ethiopia,1,0.036,18.5,80.56
Fiji,0,0.128,125.9,54.63
Finland,3,0.794,763.9,35.19
France,5,0.999,90.9,51.85
Gabon,1,0,0,66.67
Gambia,1,0,0,68.98
Georgia,1,0,0,58.33
Germany,1,0,0,55.09
Ghana,1,0.05,4.2,52.78
Greece,0,0.586,206.4,46.3
Grenada,4,0,0,0
Guatemala,1,0.189,3.2,96.3
