country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,0.873
Albania,3,0,0,55.946
Algeria,0,0,0,6.02
Andorra,2,0,0,556.526
Angola,0,0,0,1.886
Antigua and Barbuda,0,0,0,0
Argentina,2,0,0,254.603
Armenia,3,0,0,59.732
Australia,0,0,0,1.686
Austria,3,18.098,4.552,64.399
Azerbaijan,0,0,0,16.076
Bahamas,2,0,0,236.492
Bahrain,2,0,0,371.419
Bangladesh,0,0,0,10.881
Barbados,0,0,0,0
Belarus,0,0,0,20.425
Belgium,1,21.916,5.781,83.609
Belize,1,0,0,176.047
Benin,0,0,0,0
Bhutan,0,0,0,3.888
Bolivia,1,0,0,82.841
Bosnia and Herzegovina,1,0,0,88.393
Botswana,0,0,0,0
Brazil,2,0,0,205.674
Brunei,0,0,0,0
Bulgaria,3,105.779,8.059,28.927
Burkina Faso,0,0,0,0.622
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0,0,0,19.077
Cape Verde,1,0,0,169.068
Central African Republic,0,0,0,0.414
Chad,0,0,0,1.826
Chile,1,0,0,97.613
China,0,0,0,0.013
Colombia,1,0,0,145.904
Comoros,0,0,0,0
Congo,0,0,0,6.705
Costa Rica,2,0,0,278.753
Cote d'Ivoire,0,0,0,1.782
Croatia,3,79.654,0,46.282
Cuba,0,0,0,3.708
Cyprus,0,0,0,3.425
Czechia,1,27.734,6.443,135.12
Democratic Republic of Congo,0,0,0,0.201
Denmark,3,7.596,1.209,50.585
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,3,0,0,47.567
Ecuador,1,0,0,86.493
Egypt,0,0,0,1.476
El Salvador,0,0,0,13.105
Equatorial Guinea,0,0,0,4.277
Eritrea,0,0,0,0
Estonia,3,10.554,1.508,24.123
Eswatini,3,0,0,26.72
Ethiopia,0,0,0,6.863
Fiji,0,0,0,0
Finland,0,1.444,0.18,7.761
France,1,78.684,9.621,147.793
Gabon,0,0,0,9.884
Gambia,0,0,0,13.241
Georgia,0,0,0,21.809
Germany,0,0,0,18.93
Ghana,0,0,0,2.414
Greece,3,0,0,27.055
Grenada,0,0,0,0
Guatemala,3,0,0,39.24
Guinea,0,0,0,2.513
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,16.528
Haiti,0,0,0,2.456
Honduras,0,0,0,24.938
Hong Kong,0,0,0,0
Hungary,3,26.811,0,74.324
Iceland,0,2.93,0,11.722
India,3,0,0,70.703
Indonesia,0,0,0,13.662
International,0,0,0,0
Iran,3,0,0,27.538
