country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,2,0,0,0.694
Albania,2,0,0,3.127
Algeria,2,0,0,2.645
Andorra,3,0,0,103.54
Angola,2,0,0,0.152
Antigua and Barbuda,2,0,0,0
Argentina,2,0,0,1.969
Armenia,2,0,0,15.861
Australia,2,0,0,1.804
Austria,2,71.838,23.095,8.438
Azerbaijan,2,0,0,3.255
Bahamas,2,0,0,2.543
Bahrain,2,0,0,19.394
Bangladesh,2,0,0,1.858
Barbados,2,0,0,0
Belarus,2,0,0,54.819
Belgium,1,422.102,93.273,90.167
Belize,2,0,0,0
Benin,2,0,0,0
Bhutan,2,0,0,0
Bolivia,2,0,0,2.399
Bosnia and Herzegovina,2,0,0,16.459
Botswana,2,0,0,0
Brazil,2,0,0,14.001
Brunei,2,0,0,2.286
Bulgaria,2,35.404,6.332,4.605
Burkina Faso,2,0,0,0.383
Burundi,2,0,0,0
Cambodia,2,0,0,0
Cameroon,2,0,0,0.791
Canada,2,0,0,40.856
Cape Verde,2,0,0,3.597
Central African Republic,2,0,0,0
Chad,2,0,0,0.365
Chile,2,0,0,47.447
China,2,0,0,0.019
Colombia,2,0,0,3.577
Comoros,2,0,0,0
Congo,2,0,0,0
Costa Rica,2,0,0,1.178
Cote d'Ivoire,2,0,0,4.284
Croatia,0,87.936,0,4.385
Cuba,2,0,0,5.562
Cyprus,2,0,0,12.559
Czechia,2,31.562,7.003,5.323
Democratic Republic of Congo,2,0,0,0.223
Denmark,2,54.729,15.02,29.177
Djibouti,2,0,0,0
Dominica,2,0,0,0
Dominican Republic,2,0,0,19.266
Ecuador,2,0,0,32.421
Egypt,2,0,0,1.837
El Salvador,2,0,0,2.004
Equatorial Guinea,2,0,0,0
Eritrea,2,0,0,1.128
Estonia,0,92.722,7.538,39.954
Eswatini,2,0,0,5.172
Ethiopia,2,0,0,0.078
Fiji,2,0,0,0
Finland,2,35.916,12.634,34.653
France,1,467.494,87.83,0.031
Gabon,2,0,0,0
Gambia,2,0,0,0
Georgia,2,0,0,4.512
Germany,2,0,0,23.214
Ghana,2,0,0,6.211
Greece,2,0,0,1.055
Grenada,2,0,0,0
Guatemala,2,0,0,1.172
Guinea,2,0,0,3.122
Guinea-Bissau,2,0,0,1.524
Guyana,2,0,0,0
Haiti,2,0,0,0.088
Honduras,2,0,0,1.514
Hungary,0,85.815,0,7.35
Iceland,0,82.051,14.652,17.582
India,2,0,0,0.993
Indonesia,2,0,0,1.188
International,2,0,0,0
Iran,2,0,0,16.359
Iraq,2,0,0,0.771
Ireland,0,164.243,27.138,157.56
Israel,2,0,0,33.62
Italy,1,458.802,45.202,57.739
Jamaica,2,0,0,6.754
Japan,2,0,0,4.665
Jordan,2,0,0,0.588
Kazakhstan,2,0,0,3.675
Kenya,2,0,0,0.298
Kosovo,2,0,0,16.039
Kuwait,2,0,0,21.777
