country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,1.156
Albania,3,0,0,49.691
Algeria,0,0,0,10.695
Andorra,0,0,0,0
Angola,0,0,0,0.822
Antigua and Barbuda,0,0,0,0
Argentina,2,0,0,147.425
Armenia,3,0,0,66.144
Australia,0,0,0,9.882
Austria,1,9.216,2.332,33.643
Azerbaijan,0,0,0,8.778
Bahamas,2,0,0,338.209
Bahrain,2,0,0,222.146
Bangladesh,1,0,0,16.054
Barbados,0,0,0,6.96
Belarus,0,0,0,0
Belgium,3,26.662,7.075,65.231
Belize,3,0,0,80.479
Benin,0,0,0,4.042
Bhutan,0,0,0,0
Bolivia,3,0,0,102.458
Bosnia and Herzegovina,3,0,0,81.077
Botswana,0,0,0,0
Brazil,2,0,0,195.597
Brunei,0,0,0,0
Bulgaria,1,116.717,7.915,12.953
Burkina Faso,0,0,0,0.096
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0,0,0,5.829
Cape Verde,3,0,0,48.562
Central African Republic,0,0,0,0
Chad,0,0,0,0.061
Chile,3,0,0,93.69
China,0,0,0,0.045
Colombia,2,0,0,227.542
Comoros,0,0,0,0
Congo,0,0,0,0
Costa Rica,2,0,0,158.222
Cote d'Ivoire,0,0,0,2.199
Croatia,1,28.744,0,39.461
Cuba,0,0,0,5.562
Cyprus,1,0,0,15.984
Czechia,1,9.711,2.521,18.489
Democratic Republic of Congo,0,0,0,0.368
Denmark,1,2.417,0,18.818
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,3,0,0,97.438
Ecuador,3,0,0,72.493
Egypt,0,0,0,1.134
El Salvador,3,0,0,47.023
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,0,5.277,0.754,5.277
Eswatini,3,0,0,64.646
Ethiopia,1,0,0,14.37
Fiji,0,0,0,0
Finland,0,0,0,3.61
France,1,73.797,5.408,50.71
Gabon,0,0,0,0
Gambia,1,0,0,27.31
Georgia,0,0,0,3.76
Germany,0,0,0,8.319
