country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,3,0,0,1.233
Albania,3,0,0,23.282
Algeria,3,0,0,13.797
Andorra,3,0,0,0
Angola,3,0,0,1.095
Antigua and Barbuda,3,0,0,0
Argentina,1,0,0,106.514
Armenia,0,0,0,129.251
Australia,3,0,0,17.765
Austria,3,9.438,1.777,13.768
Azerbaijan,3,0,0,31.659
Bahamas,3,0,0,25.429
Bahrain,0,0,0,169.842
Bangladesh,3,0,0,15.302
Barbados,3,0,0,0
Belarus,3,0,0,16.509
Belgium,1,18.12,3.797,45.558
Belize,3,0,0,0
Benin,3,0,0,0
Bhutan,3,0,0,0
Bolivia,0,0,0,156.343
Bosnia and Herzegovina,3,0,0,0
Botswana,3,0,0,0
Brazil,0,0,0,240.624
Brunei,3,0,0,0
Bulgaria,2,96.281,4.03,27.2
Burkina Faso,3,0,0,0.526
Burundi,3,0,0,1.346
Cambodia,3,0,0,1.376
Cameroon,3,0,0,0
Canada,3,0,0,9.406
Cape Verde,1,0,0,68.347
Central African Republic,3,0,0,1.035
Chad,3,0,0,0
Chile,0,0,0,119.689
China,3,0,0,0.124
Colombia,0,0,0,142.563
Comoros,3,0,0,0
Congo,3,0,0,0
Costa Rica,0,0,0,182.76
Cote d'Ivoire,3,0,0,9.136
Croatia,2,32.641,0,18.756
Cuba,3,0,0,0.795
Cyprus,3,0,0,6.85
Czechia,3,8.498,1.401,12.233
Democratic Republic of Congo,3,0,0,0.38
Denmark,3,2.935,0.518,0.173
Djibouti,3,0,0,0
Dominica,3,0,0,0
Dominican Republic,0,0,0,167.682
Ecuador,1,0,0,55.943
Egypt,3,0,0,4.993
El Salvador,1,0,0,66.14
Equatorial Guinea,3,0,0,0
Eritrea,3,0,0,0.564
Estonia,3,2.262,0.754,3.769
Eswatini,1,0,0,59.474
Ethiopia,3,0,0,4.828
Fiji,3,0,0,0
Finland,3,0,0,1.444
France,2,86.314,5.638,0.061
Gabon,3,0,0,0
Gambia,3,0,0,25.241
Georgia,3,0,0,3.259
Germany,3,0,0,7.818
Ghana,3,0,0,25.553
Greece,3,0,0,2.974
Grenada,3,0,0,0
Guatemala,1,0,0,67.483
Guinea,3,0,0,4.569
Guinea-Bissau,3,0,0,0
Guyana,3,0,0,10.171
Haiti,3,0,0,3.245
Honduras,1,0,0,88.747
Hungary,3,7.039,0,2.691
Iceland,3,0,0,0
India,3,0,0,35.225
Indonesia,3,0,0,6.829
International,3,0,0,0
Iran,3,0,0,27.574
Iraq,1,0,0,71.154
Ireland,3,2.025,1.013,4.86
Israel,0,0,0,128.473
Italy,3,12.768,0.678,4.532
Jamaica,3,0,0,2.026
Japan,3,0,0,6.333
Jordan,3,0,0,0.784
Kazakhstan,1,0,0,79.567
Kenya,3,0,0,6.974
Kosovo,0,0,0,122.622
Kuwait,0,0,0,160.166
Kyrgyzstan,0,0,0,134.423
Laos,3,0,0,0
Latvia,3,1.59,0,0.53
Lebanon,3,0,0,25.639
Lesotho,3,0,0,28.008
Liberia,3,0,0,3.954
Libya,3,0,0,17.901
Liechtenstein,3,0,0,0
Lithuania,3,0,0,5.51
Luxembourg,0,86.265,6.39,212.468
Madagascar,3,0,0,4.514
Malawi,3,0,0,0
Malaysia,3,0,0,0.711
Maldives,0,0,0,142.45
Mali,3,0,0,0
Malta,3,0,0,0
Marshall Islands,3,0,0,0
Mauritania,3,0,0,7.527
Mauritius,3,0,0,0
Mexico,1,0,0,52.361
Moldova,1,0,0,85.524
Monaco,3,0,0,0
Mongolia,3,0,0,0
Montenegro,0,0,0,130.56
Morocco,3,0,0,21.972
Mozambique,3,0,0,0.832
Myanmar,3,0,0,0.037
Namibia,3,0,0,27.156
Nepal,3,0,0,3.741
Netherlands,3,0,1.284,8.579
New Zealand,3,0,0,0
Nicaragua,3,0,0,0
Niger,3,0,0,0
Nigeria,3,0,0,2.125
North Macedonia,1,0,0,65.759
Norway,3,0,0,3.505
Oman,0,0,0,208.944
Pakistan,3,0,0,5.55
Palestine,1,0,0,41.753
Panama,0,0,0,201.865
Papua New Guinea,3,0,0,0.782
Paraguay,3,0,0,14.581
Peru,3,0,0,0
Philippines,3,0,0,17.959
Poland,2,42.117,0,15.431
Portugal,2,40.209,4.904,25.793
Qatar,0,0,0,138.144
Romania,1,0,16.374,66.744
Russia,1,0,0,39.97
Rwanda,3,0,0,1.776
Saint Kitts and Nevis,3,0,0,0
Saint Lucia,3,0,0,0
Saint Vincent and the Grenadines,3,0,0,0
Samoa,3,0,0,0
San Marino,3,0,0,0
Sao Tome and Principe,3,0,0,9.126
Saudi Arabia,1,0,0,63.222
Senegal,3,0,0,7.764
Serbia,3,0,0,0
Seychelles,1,0,0,61.013
Sierra Leone,3,0,0,0.376
Singapore,1,0,0,87.687
Slovakia,3,2.198,0,4.213
Slovenia,3,9.139,1.924,6.734
Solomon Islands,3,0,0,0
Somalia,3,0,0,0.44
South Africa,0,0,0,205.771
South Korea,3,0,0,1.131
South Sudan,3,0,0,0
Spain,3,0,0,0
Sri Lanka,3,0,0,0.28
Sudan,3,0,0,1.893
Suriname,0,0,0,129.553
