country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,6,1.516,1.42,0
Albania,7,10.077,1.14,0
Algeria,8,2.212,1.09,0
Andorra,5,0,0.59,0
Angola,6,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,8,6.439,1.27,0
Armenia,0,16.873,1.29,0
Australia,6,0.392,0.4,0
Austria,6,8.549,0.51,18.764
Azerbaijan,8,2.959,0.83,0
Bahamas,0,17.8,0,0
Bahrain,2,111.661,1.32,0
Bangladesh,8,2.514,1.61,0
Barbados,8,3.48,0,0
Belarus,2,78.418,1.54,0
Belgium,1,78.346,0.87,83.696
Belize,6,0,0,0
Benin,6,0,0,0
Bhutan,6,1.296,0,0
Bolivia,6,8.053,1.45,0
Bosnia and Herzegovina,7,13.716,1.16,0
Botswana,6,0,0,0
Brazil,3,20.131,1.53,0
Brunei,5,0,0.12,0
Bulgaria,3,10.506,1.28,5.325
Burkina Faso,6,0.335,0.95,0
Burundi,0,0,0,0
Cambodia,5,0,0.06,0
Cameroon,6,6.442,1.27,0
Canada,2,43.347,1.13,0
Cape Verde,3,16.187,0,0
Central African Republic,6,0.414,0,0
Chad,8,0,0,0
Chile,3,26.993,1.36,0
China,5,0.011,0.46,0
Colombia,6,4.029,1.32,0
Comoros,0,0,0,0
Congo,8,0,0.8,0
Costa Rica,6,0.982,0.81,0
Cote d'Ivoire,6,1.971,1.21,0
Croatia,8,7.551,0.65,0
Cuba,6,4.061,0.98,0
Cyprus,8,5.708,0.64,0
Czechia,5,5.136,0.69,7.284
Democratic Republic of Congo,6,0.201,1.13,0
Denmark,3,28.141,0.95,12.776
Djibouti,7,12.146,0.93,0
Dominica,6,0,0,0
Dominican Republic,7,22.401,1.18,0
Ecuador,7,18.874,0.97,0
Egypt,6,2.267,1.31,0
El Salvador,8,2.004,1.18,0
Equatorial Guinea,0,0,0,0
Eritrea,8,0,0,0
Estonia,3,24.877,0.71,8.292
Eswatini,6,0,0,0
Ethiopia,6,0,0.23,0
Fiji,8,0,0,0
Finland,3,27.975,1,10.829
France,1,35.589,1.07,76.095
Gabon,6,0.449,1.15,0
Gambia,6,0,0,0
Georgia,8,2.256,0.93,0
Germany,3,29.612,0.71,0
Ghana,5,0,1.41,0
Greece,6,5.277,0.88,0
Grenada,0,0,0,0
Guatemala,8,3.796,1.31,0
Guinea,6,7.691,1.14,0
Guinea-Bissau,0,0,0,0
Guyana,6,3.814,0,0
Haiti,8,0.877,0,0
Honduras,8,0.909,1.33,0
Hungary,3,12.008,1.06,0
Iceland,5,11.722,0.27,14.652
India,8,1.237,1.47,0
Indonesia,6,1.305,1.14,0
International,0,0,0,0
Iran,5,12.263,0.72,0
Iraq,6,1.144,1.1,0
Ireland,4,189.558,0.96,24.91
Israel,3,31.887,0.8,0
Italy,1,43.763,0.82,37.495
Jamaica,7,8.105,0.96,0
Japan,5,3.416,0.85,0
Jordan,8,0.196,0.73,0
Kazakhstan,7,8.202,1.35,0
Kenya,8,0.316,1.13,0
Kosovo,7,13.452,1.04,0
Kuwait,2,35.358,1.53,0
Kyrgyzstan,8,2.912,1.04,0
Laos,8,0,0,0
Latvia,3,9.013,0.9,0
Lebanon,6,0.879,1.01,0
Lesotho,8,0,0,0
Liberia,8,0,0.93,0
Libya,8,0.146,0,0
Liechtenstein,0,0,0,0
Lithuania,6,10.285,0.81,0
Luxembourg,1,17.573,0.6,38.34
Madagascar,6,0,0.7,0
Malawi,5,0.523,0,0
Malaysia,6,2.194,0.77,0
Maldives,0,40.7,0,0
Mali,6,0.79,1.09,0
Malta,0,2.265,0.51,2.265
Marshall Islands,0,0,0,0
Mauritania,6,0,0,0
Mauritius,6,1.573,0.3,0
Mexico,6,8.446,1.51,0
Moldova,2,36.688,1.17,0
Monaco,6,0,0,0
Mongolia,5,0.305,0,0
Montenegro,0,1.592,0.32,0
Morocco,8,3.305,1.14,0
Mozambique,5,0.16,0,0
Myanmar,6,0.294,0.44,0
Namibia,6,0,0,0
Nepal,8,0.103,0,0
Netherlands,1,51.882,0.8,51.299
New Zealand,8,1.037,0.39,0
Nicaragua,0,0.151,0,0
Niger,5,0.372,0.83,0
Nigeria,6,0.524,1.71,0
North Macedonia,0,19.68,0.83,0
Norway,3,11.621,0.72,0
Oman,7,19.974,1.28,0
Pakistan,8,3.554,1.45,0
Palestine,8,0.196,0.48,0
Panama,2,79.958,1.16,0
Papua New Guinea,6,0,0,0
Paraguay,8,0,1.09,0
Peru,2,50.467,1.57,0
Philippines,8,2.473,1.01,0
Poland,6,9.036,1.01,0
Portugal,2,36.384,0.85,20.006
Qatar,4,216.24,1.62,0
Romania,7,20.065,1.03,12.268
Russia,3,32.713,1.49,0
Rwanda,8,0.077,0.8,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,4,383.051,0.99,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,7,33.263,1.53,0
Senegal,6,2.21,1.8,0
Serbia,7,19.399,0.94,0
Seychelles,8,0,0,0
Sierra Leone,6,0.376,0,0
Singapore,4,177.255,1.5,0
Slovakia,3,14.836,0.87,0
Slovenia,6,6.253,0.61,11.063
Solomon Islands,5,0,0,0
Somalia,5,2.643,0.9,0
South Africa,8,5.362,1.54,0
South Korea,5,0.273,0.49,0
South Sudan,6,0.089,0,0
Spain,2,99.134,0.89,0
Sri Lanka,6,1.775,1.43,0
Sudan,6,0.775,1.37,0
Suriname,6,0,0,0
Sweden,2,75.055,1.22,0
Switzerland,3,26.344,0.61,0
Syria,6,0,0,0
Taiwan,5,0.042,0.41,0
Tajikistan,5,0,0,0
Tanzania,5,0,0.54,0
Thailand,6,0.186,0.7,0
Timor,6,0,0,0
Togo,6,0,0,0
Trinidad and Tobago,6,0,0.12,0
Tunisia,8,0.762,0.76,0
Turkey,3,36.946,0.8,0
Uganda,8,0.24,0,0
Ukraine,7,13.216,1.32,0
United Arab Emirates,2,52.374,1.26,0
United Kingdom,1,76.128,1.09,42.233
United States,1,100.253,1.03,44.543
Uruguay,5,2.303,0.98,0
Uzbekistan,8,1.255,0.93,0
Vanuatu,6,0,0,0
Vatican,0,0,0,0
Venezuela,6,0.809,1.08,0
Vietnam,6,0,0.26,0
Yemen,5,0,0,0
Zambia,5,0.109,0,0
Zimbabwe,8,0,0,0
