country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,17.057,0.99,0
Albania,0,19.807,1.67,0
Algeria,1,2.486,0.96,0
Andorra,6,0,0.35,0
Angola,3,0.061,1.09,0
Antigua and Barbuda,7,0,0,0
Argentina,0,28.365,1.31,0
Armenia,2,223.742,1.13,0
Australia,6,0.588,1.43,0
Austria,6,3.442,1.01,1.332
Azerbaijan,0,38.169,1.19,0
Bahamas,7,0,0.18,0
Bahrain,2,302.072,1.12,0
Bangladesh,1,19.072,1.16,0
Barbados,3,0,0,0
Belarus,8,77.466,0.87,0
Belgium,1,9.578,0.8,7.334
Belize,3,0,0,0
Benin,6,2.475,0.97,0
Bhutan,3,0,0,0
Bolivia,5,52.857,1.24,0
Bosnia and Herzegovina,6,0,1.18,0
Botswana,3,0,0,0
Brazil,5,80.495,1.14,0
Brunei,6,0,0,0
Bulgaria,6,3.454,1.37,2.303
Burkina Faso,6,0.096,0.95,0
Burundi,7,0,0,0
Cambodia,6,0,0.09,0
Cameroon,1,0,1.11,0
Canada,3,9.565,0.76,0
Cape Verde,0,43.166,1.1,0
Central African Republic,1,0,0.96,0
Chad,3,0.122,0.74,0
Chile,2,362.938,1.02,0
China,3,0.034,2.13,0
Colombia,0,43.099,1.27,0
Comoros,7,0,0.72,0
Congo,3,0,0.74,0
Costa Rica,3,10.404,1.44,0
Cote d'Ivoire,1,8.947,1.21,0
Croatia,1,0.244,1.99,0
Cuba,3,0.883,0.78,0
Cyprus,1,3.425,0.82,0
Czechia,6,3.082,1.08,0.934
Democratic Republic of Congo,3,0.603,1.1,0
Denmark,1,9.323,0.95,1.554
Djibouti,1,16.194,0.56,0
Dominica,3,0,0,0
Dominican Republic,0,35.952,1.15,0
Ecuador,0,22.388,1.11,0
Egypt,0,15.811,1.12,0
El Salvador,0,18.038,1.16,0
Equatorial Guinea,7,0,0.3,0
Eritrea,0,8.741,0,0
Estonia,6,0,0.63,0.754
Eswatini,3,3.448,1.36,0
Ethiopia,3,1.557,1.24,0
Fiji,3,0,0,0
Finland,6,3.068,0.69,0.18
France,3,6.235,1.05,12.884
Gabon,3,0,1.09,0
Gambia,3,0,0,0
Georgia,3,3.259,1.31,0
Germany,1,2.996,1.03,0
Ghana,1,27.226,1.21,0
Greece,1,0.863,1.2,0
Grenada,7,0,0,0
Guatemala,0,19.759,1.25,0
Guinea,3,3.655,1.1,0
Guinea-Bissau,7,0,0.8,0
Guyana,3,0,0.67,0
Haiti,3,0,1.11,0
Honduras,0,40.688,1.26,0
Hungary,1,0.518,0.56,0
Iceland,6,5.861,0.83,0
India,3,8.335,1.21,0
Indonesia,3,3.133,1.17,0
International,7,0,0,0
Iran,6,29.431,1.03,0
Iraq,0,31.301,1.39,0
Ireland,3,1.62,0.6,5.468
Israel,0,15.712,1.38,0
Italy,6,5.59,0.9,3.457
Jamaica,3,0.675,1.09,0
Japan,4,0.601,1.22,0
