country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,7,1.952,0.79,0
Albania,3,34.401,1.09,0
Algeria,7,13.341,1.23,0
Andorra,1,194.137,0.75,0
Angola,7,0.943,1.15,0
Antigua and Barbuda,0,0,0,0
Argentina,4,80.472,1.2,0
Armenia,1,186.958,0.89,0
Australia,7,16.588,1.48,0
Austria,2,12.88,1.23,1.221
Azerbaijan,3,48.623,0.93,0
Bahamas,0,12.715,2.72,0
Bahrain,1,307.949,1.01,0
Bangladesh,7,16.595,0.94,0
Barbados,8,0,0.34,0
Belarus,5,19.049,0.75,0
Belgium,2,31.58,1.45,2.416
Belize,7,2.515,0,0
Benin,6,7.011,0.96,0
Bhutan,8,2.592,0,0
Bolivia,4,166.024,1.11,0
Bosnia and Herzegovina,4,82.297,1.17,0
Botswana,3,52.304,0.87,0
Brazil,1,213.601,1.05,0
Brunei,8,0,0,0
Bulgaria,2,38.426,1.16,4.03
Burkina Faso,6,0,0.98,0
Burundi,5,2.859,0.66,0
Cambodia,6,0.299,0.37,0
Cameroon,3,37.068,1,0
Canada,7,11.95,1.1,0
Cape Verde,1,205.04,1.09,0
Central African Republic,8,2.278,0.7,0
Chad,7,0.061,0.8,0
Chile,4,130.413,0.85,0
China,7,0.056,1.66,0
Colombia,4,157.951,1.26,0
Comoros,0,8.05,0.69,0
Congo,3,24.646,0.73,0
Costa Rica,4,109.931,1.32,0
Cote d'Ivoire,8,5.724,0.97,0
Croatia,2,20.949,1.15,0
Cuba,7,0.177,0.83,0
Cyprus,6,6.85,1.38,0
Czechia,2,12.793,1.13,1.961
Democratic Republic of Congo,7,0.402,1.06,0
Denmark,8,5.525,1.22,0.863
Djibouti,8,8.097,0.66,0
Dominica,6,0,0,0
Dominican Republic,4,98.821,1.15,0
Ecuador,3,58.72,1.09,0
Egypt,8,9.068,0.78,0
El Salvador,3,48.102,1.12,0
Equatorial Guinea,0,0,0.25,0
Eritrea,7,5.358,0.29,0
Estonia,5,0,0.97,1.508
Eswatini,3,54.303,1.25,0
Ethiopia,7,2.557,1.4,0
Fiji,8,0,0,0
Finland,6,-0.541,1.14,0
France,6,8.181,1.2,6.986
Gabon,7,0,1.08,0
Gambia,7,5.793,0,0
Georgia,8,0.501,1.15,0
Germany,8,6.684,1.11,0
Ghana,2,22.367,1.11,0
Greece,8,2.782,1.17,0
Grenada,0,0,0,0
Guatemala,3,48.282,1.15,0
Guinea,7,6.32,1.09,0
Guinea-Bissau,0,30.488,0.73,0
Guyana,7,2.543,1.1,0
Haiti,7,10.261,0.92,0
Honduras,4,83.9,1.11,0
Hungary,8,1.656,1.38,0
Iceland,6,2.93,1.18,0
India,3,25.344,1.23,0
Indonesia,8,5.755,1.06,0
International,0,0,0,0
Iran,3,29.764,1.01,0
Iraq,3,56.71,1.01,0
Ireland,6,3.038,1.22,1.62
Israel,1,224.018,1.29,0
Italy,8,3.804,1.02,0.877
Jamaica,7,0.675,1.2,0
Japan,5,2.672,1.55,0
Jordan,8,0.49,1.04,0
Kazakhstan,4,90.911,0.9,0
Kenya,7,7.829,1.28,0
Kosovo,3,68.296,1.16,0
Kuwait,1,185.221,0.96,0
Kyrgyzstan,3,33.108,1.02,0
Laos,5,0,0,0
Latvia,8,0.53,1.16,0
Lebanon,7,8.351,1.32,0
Lesotho,8,0,1.03,0
Liberia,7,2.768,0.95,0
Libya,7,9.169,1.28,0
Liechtenstein,0,0,0,0
Lithuania,5,7.347,1.39,0
Luxembourg,1,260.393,1.43,6.39
Madagascar,7,17.479,1.3,0
Malawi,8,5.123,1.12,0
Malaysia,8,0.093,1.14,0
Maldives,4,125.8,1.21,0
Mali,8,0.346,1.02,0
Malta,0,0,0.29,0
Marshall Islands,0,0,0,0
Mauritania,2,20.432,0.82,0
Mauritius,5,0,0.05,0
Mexico,3,49.685,1.06,0
Moldova,3,55.529,1.04,0
Monaco,0,0,0.38,0
Mongolia,8,0.305,0.36,0
Montenegro,0,0,0.65,0
Morocco,7,7.667,1.11,0
Mozambique,7,1.696,1.12,0
Myanmar,7,0.037,0.86,0
Namibia,3,28.336,1.34,0
Nepal,7,5.732,0.77,0
Netherlands,6,5.894,1.32,1.517
New Zealand,5,0.207,0.94,0
Nicaragua,5,0,0.28,0
Niger,5,0.083,0.71,0
Nigeria,7,2.886,1,0
North Macedonia,0,44.639,1.01,0
Norway,6,0.738,1.02,0
