country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,3,13.923,1.05,0
Albania,3,12.51,1.57,0
Algeria,5,2.668,0.89,0
Andorra,1,0,0.38,0
Angola,5,0.122,0,0
Antigua and Barbuda,7,0,0,0
Argentina,6,25.246,1.31,0
Armenia,0,118.114,1.16,0
Australia,2,0.275,1.02,0
Austria,1,1.221,0.97,2.11
Azerbaijan,6,31.068,1.26,0
Bahamas,7,0,0.08,0
Bahrain,8,184.534,1.14,0
Bangladesh,3,19.254,1.22,0
Barbados,5,0,0,0
Belarus,0,85.932,0.91,0
Belgium,1,7.679,0.78,8.801
Belize,5,2.515,0,0
Benin,1,1.402,0.97,0
Bhutan,5,0,0,0
Bolivia,4,59.539,1.25,0
Bosnia and Herzegovina,2,7.315,1.18,0
Botswana,2,0,0,0
Brazil,8,150.974,1.18,0
Brunei,1,0,0,0
Bulgaria,1,11.369,1.48,2.159
Burkina Faso,1,0.048,0.94,0
Burundi,7,0,0,0
Cambodia,1,0,0.07,0
Cameroon,2,9.493,1.13,0
Canada,3,12.241,0.76,0
Cape Verde,6,32.375,1.1,0
Central African Republic,5,0,0.98,0
Chad,5,0.304,0.76,0
Chile,8,204.695,1.09,0
China,5,0.002,1.49,0
Colombia,6,26.708,1.24,0
Comoros,7,0,0.72,0
Congo,3,8.155,0.76,0
Costa Rica,3,6.478,1.47,0
Cote d'Ivoire,2,4.322,1.23,0
Croatia,1,0,0.93,0
Cuba,5,0.441,0.78,0
Cyprus,2,2.283,0.95,0
Czechia,1,5.042,1.08,0.84
Democratic Republic of Congo,5,1.708,1.1,0
Denmark,2,6.733,0.9,2.59
Djibouti,4,53.644,0.68,0
Dominica,5,0,0,0
Dominican Republic,6,26.641,1.14,0
Ecuador,6,30.55,1.1,0
Egypt,3,13.534,1.18,0
El Salvador,6,13.413,1.16,0
Equatorial Guinea,7,0,0.33,0
Eritrea,5,0,0,0
Estonia,1,5.277,0.88,0
Eswatini,6,26.72,1.52,0
Ethiopia,5,1.566,1.41,0
Fiji,5,0,0,0
Finland,1,4.332,0.71,0.722
France,3,6.189,1.06,14.186
Gabon,4,65.597,1.1,0
Gambia,5,0,0,0
Georgia,2,1.504,1.06,0
Germany,2,4.738,0.89,0
Ghana,2,9.365,1.22,0
Greece,2,0.863,1.25,0
Grenada,7,0,0,0
Guatemala,6,20.318,1.27,0
Guinea,5,3.198,1.1,0
Guinea-Bissau,7,0,0.8,0
Guyana,5,2.543,0.64,0
Haiti,5,10.875,1.18,0
Honduras,4,48.967,1.27,0
Hungary,2,0.311,0.6,0
Iceland,1,0,0.44,0
India,5,7.404,1.22,0
Indonesia,2,3.813,1.24,0
International,7,0,0,0
Iran,1,24.943,0.83,0
Iraq,6,19.566,1.59,0
Ireland,5,1.62,0.52,7.088
Israel,3,19.987,1.59,0
Italy,1,4.681,0.75,4.35
Jamaica,5,2.026,1.01,0
Japan,1,0.403,1.01,0
Jordan,1,1.372,1.37,0
Kazakhstan,5,11.45,1.08,0
Kenya,5,2.176,1.24,0
Kosovo,3,15.004,1.51,0
Kuwait,8,147.522,0.87,0
Kyrgyzstan,5,3.525,1.29,0
Laos,1,0,0,0
Latvia,2,0.53,0.83,0
Lebanon,5,2.637,1.13,0
Lesotho,2,0,0,0
Liberia,5,2.57,1.04,0
Libya,5,3.929,1.22,0
Liechtenstein,7,0,0,0
Lithuania,2,2.571,0.93,0
Luxembourg,1,9.585,1.06,1.598
Madagascar,2,1.589,1.2,0
Malawi,2,0.627,1.25,0
Malaysia,5,0.216,0.7,0
Maldives,0,48.1,0.95,0
Mali,2,1.926,1.05,0
Malta,7,4.53,0.99,0
Marshall Islands,7,0,0,0
Mauritania,3,12.474,1.41,0
Mauritius,2,0,0.06,0
Mexico,6,32.567,1.16,0
Moldova,4,54.041,1.2,0
Monaco,7,0,0,0
Mongolia,2,0,0.57,0
Montenegro,7,0,0.11,0
Morocco,5,3.657,1.2,0
Mozambique,2,0.64,1.13,0
Myanmar,5,0.037,0.79,0
Namibia,2,0,0,0
Nepal,5,11.12,1.48,0
Netherlands,2,9.571,0.97,6.77
New Zealand,1,0,0.26,0
Nicaragua,0,52.23,0.23,0
Niger,1,0.041,0.71,0
Nigeria,5,3.216,1.2,0
North Macedonia,7,41.759,1.46,0
Norway,1,2.767,0.97,0
Oman,8,139.427,1.2,0
Pakistan,3,24.378,1.26,0
Palestine,5,1.568,1.38,0
Panama,4,87.838,1.28,0
Papua New Guinea,2,0,0,0
Paraguay,5,5.889,1.21,0
Peru,4,122.529,1.07,0
Philippines,5,4.727,1.12,0
Poland,2,10.569,1.06,0
Portugal,6,41.288,1.07,6.375
Qatar,8,597.35,0.96,0
Romania,2,7.537,1.09,0
Russia,4,58.841,0.99,0
Rwanda,5,0.926,1.43,0
Saint Kitts and Nevis,7,0,0,0
Saint Lucia,7,0,0,0
Saint Vincent and the Grenadines,7,0,0,0
Samoa,7,0,0,0
San Marino,3,29.465,0.54,0
Sao Tome and Principe,7,4.563,0.46,0
Saudi Arabia,4,94.445,1.18,0
Senegal,2,5.315,1.07,0
Serbia,1,10.14,1.14,0
Seychelles,1,0,0,0
Sierra Leone,2,3.009,0.98,0
Singapore,6,37.263,0.83,0
Slovakia,1,0.183,1.03,0
Slovenia,1,0.481,1.37,0
Solomon Islands,1,0,0,0
Somalia,1,3.02,0.82,0
South Africa,6,35.61,1.29,0
South Korea,2,0.975,1.14,0
South Sudan,5,0,0.8,0
Spain,2,5.326,0.88,0
Sri Lanka,2,0.093,0.8,0
Sudan,5,4.219,1.12,0
Suriname,6,15.342,1.12,0
Sweden,4,92.68,1.09,0
Switzerland,1,1.849,1,0
Syria,2,0.114,0.74,0
Taiwan,1,0,0.22,0
Tajikistan,2,8.493,0.75,0
Tanzania,1,0,0.01,0
Thailand,2,0.029,0.85,0
Timor,1,0,0,0
Togo,2,0.483,1.03,0
Trinidad and Tobago,5,0,0.01,0
Tunisia,1,0,0.74,0
Turkey,3,11.774,1.01,0
Uganda,5,0.24,0.92,0
Ukraine,3,9.192,1.12,0
United Arab Emirates,4,53.385,0.85,0
United Kingdom,3,17.073,0.88,7.233
United States,4,55.471,1,19.507
Uruguay,2,0.288,0.95,0
Uzbekistan,5,2.39,1.3,0
Vanuatu,2,0,0,0
Vatican,7,0,0,0
Venezuela,5,5.592,1.21,0
Vietnam,2,0,0.82,0
Yemen,2,0.939,1.22,0
Zambia,1,0,0.9,0
Zimbabwe,2,1.817,1.1,0
