country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,4,0,0,16.67
Albania,3,0,0,54.63
Algeria,6,0,0,75.93
Andorra,3,0,0,53.7
Angola,3,0,0,71.3
Antigua and Barbuda,4,0,0,0
Argentina,6,0.662,2,87.96
Armenia,4,0,0,0
Australia,1,1.285,1953.1,68.06
Austria,2,2.064,19.4,40.74
Azerbaijan,3,0,0,68.98
Bahamas,4,0,0,0
Bahrain,3,11.97,26,63.89
Bangladesh,6,0.079,8.2,80.09
Barbados,2,0,0,35.19
Belarus,5,0,42.7,16.67
Belgium,2,4.699,13.6,47.22
Belize,3,0,0,69.44
Benin,2,0,0,47.22
Bhutan,6,0,0,77.78
Bolivia,6,0.122,3.9,84.26
Bosnia and Herzegovina,2,0,0,40.74
Botswana,3,0,0,63.89
Brazil,3,0,0,67.13
Brunei,2,0,0,35.19
Bulgaria,2,0.782,14.6,35.19
Burkina Faso,2,0,0,36.11
Burundi,4,0,0,14.81
Cambodia,2,0,0,37.04
Cameroon,2,0,0,47.22
Canada,5,1.961,38.1,60.65
Cape Verde,3,0.887,5.4,67.13
Central African Republic,3,0,0,56.48
Chad,6,0,0,73.15
Chile,6,1.031,19.8,81.94
China,3,0,0,54.17
Colombia,3,0.498,0,71.3
Comoros,4,0,0,0
Congo,3,0,0,56.48
Costa Rica,3,0.306,0,58.33
Cote d'Ivoire,5,0.046,26.2,36.11
Croatia,2,1.304,17,28.7
Cuba,0,0.63,164.7,73.15
Cyprus,0,4.034,150.2,53.7
Czechia,2,2.243,5.5,48.15
Democratic Republic of Congo,2,0.002,9.1,43.52
Denmark,0,8.641,114.3,50.93
Djibouti,2,0,0,47.22
Dominica,2,0,0,28.7
Dominican Republic,3,0.345,6.5,67.59
Ecuador,2,0.296,0,51.39
Egypt,3,0,0,62.96
El Salvador,3,0.37,25.8,52.78
Equatorial Guinea,4,0,0,0
Eritrea,6,0,0,82.41
Estonia,5,3.149,55.6,25.93
Eswatini,3,0,0,59.26
Ethiopia,3,0.072,8.8,65.74
Fiji,2,0,0,49.07
Finland,0,3.177,86.2,32.41
France,3,3.215,11.5,49.54
Gabon,6,0,0,74.07
Gambia,6,0,0,75.93
Georgia,3,0,0,56.48
Germany,2,0,0,49.54
Ghana,5,0.044,49.8,44.44
Greece,5,1.133,28.9,50.46
Grenada,4,0,0,0
Guatemala,2,0.328,6.5,49.54
Guinea,2,0,0,51.85
Guinea-Bissau,4,0,0,0
Guyana,6,0,0,80.56
Haiti,2,0,0,47.22
Honduras,6,0,0,84.26
Hong Kong,2,0,0,51.85
Hungary,2,1.007,9.8,40.74
Iceland,5,7.593,28,40.74
India,6,0.869,15.4,73.61
Indonesia,6,0.118,6.4,72.69
International,4,0,0,0
Iran,3,1.098,7.2,69.44
Iraq,3,0.593,5.4,61.11
Ireland,3,2.945,26.4,61.57
Israel,6,5.688,9.4,85.19
Italy,5,2.073,38.5,55.56
Jamaica,3,0.185,5.6,71.3
Japan,5,0.169,35.3,33.33
Jordan,6,0,0,78.7
Kazakhstan,5,0.915,64.2,78.7
Kenya,3,0.081,15.8,67.59
Kosovo,3,0,0,58.33
Kuwait,3,0.956,6,62.96
Kyrgyzstan,3,0,0,67.13
Laos,2,0,0,36.11
Latvia,5,2.347,56.8,32.41
Lebanon,3,0,0,59.26
Lesotho,2,0,0,47.22
Liberia,3,0,0,60.19
Libya,6,0,0,85.19
Liechtenstein,4,0,0,0
Lithuania,5,2.609,49.1,37.04
Luxembourg,5,11.007,64,47.22
Madagascar,2,0,12.4,44.44
Malawi,5,0.008,55.8,54.63
Malaysia,5,0.622,41.2,54.63
Maldives,4,2.078,28.8,0
Mali,2,0,0,43.52
Malta,4,5.639,41.7,0
Marshall Islands,4,0,0,0
Mauritania,5,0,43.1,17.59
Mauritius,4,0,0,16.67
Mexico,6,0.11,1.4,73.61
Moldova,2,0,0,45.37
Monaco,4,0,0,0
Mongolia,2,0,0,42.59
Montenegro,4,0,0,0
Morocco,3,0.663,9.6,60.19
Mozambique,3,0.035,13.3,62.04
Myanmar,6,0,6.3,81.02
Namibia,2,0.424,16.6,37.96
Nepal,6,0.488,5.6,76.85
Netherlands,3,0,0,62.04
New Zealand,1,1.276,2034.6,22.22
Nicaragua,4,0,0,8.33
Niger,2,0,0,21.3
Nigeria,5,0,34.9,54.63
North Macedonia,4,1.027,7.9,0
Norway,0,2.651,88,32.41
Oman,6,0,0,86.11
Pakistan,5,0.125,52.3,67.13
Palestine,6,0.84,9.5,82.41
Panama,6,1.44,8.1,87.04
Papua New Guinea,2,0,0,45.37
Paraguay,3,0.443,3.4,67.59
Peru,6,0.243,0,82.41
Philippines,3,0.342,13.7,68.98
Poland,2,0.857,11.6,23.15
Portugal,3,2.871,25,56.94
Qatar,3,1.618,24,64.81
Romania,2,0,9.9,45.37
Russia,5,3.009,38.2,47.69
Rwanda,7,0.249,358,75.93
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,0,0,0
Samoa,4,0,0,0
San Marino,2,0,0,29.63
Sao Tome and Principe,4,0,0,0
Saudi Arabia,0,1.389,108,57.41
Senegal,5,0.062,40.5,40.74
Serbia,5,0.985,61.3,54.63
Seychelles,2,0,0,39.81
Sierra Leone,2,0,0,25.93
Singapore,1,0,2609.5,52.78
Slovakia,2,1.743,11.3,43.52
Slovenia,2,1.757,13.5,47.22
Solomon Islands,2,0,0,36.11
Somalia,3,0,0,52.78
South Africa,2,0.398,12.1,39.81
South Korea,0,0.258,100.4,60.19
South Sudan,5,0.032,62.5,35.19
Spain,3,0,12,64.35
Sri Lanka,2,0.262,18,34.26
Sudan,2,0,0,51.85
Suriname,3,0,0,57.41
Sweden,5,1.972,35.2,55.56
Switzerland,2,1.777,17.3,31.94
Syria,2,0,0,47.69
Taiwan,0,0.018,197.5,23.15
Tajikistan,2,0,0,36.11
Tanzania,4,0,0,8.33
Thailand,7,0.061,528.9,47.22
Timor,2,0,0,29.63
Togo,5,0.113,61.9,50.93
Trinidad and Tobago,6,0.107,4.9,80.56
Tunisia,2,0,0,49.07
Turkey,5,1.383,74.5,71.76
Uganda,6,0,16.3,73.15
Ukraine,3,0.74,5.7,58.8
United Arab Emirates,0,11.312,95,50.93
United Kingdom,3,3.513,18.5,67.59
United States,3,3.982,0,62.5
Uruguay,0,0.812,112,43.52
Uzbekistan,2,0,0,43.52
Vanuatu,2,0,0,22.22
Vatican,4,0,0,0
Venezuela,6,0,0,84.26
Vietnam,1,0,4348.7,55.56
Yemen,2,0,0,45.37
Zambia,5,0.286,36.3,45.37
Zimbabwe,5,0.051,61.2,71.3
