country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,2,0,0,78.7
Albania,2,0,0,71.3
Algeria,2,0,0,76.85
Andorra,3,0,0,42.59
Angola,2,0,0,75.93
Antigua and Barbuda,1,0,0,0
Argentina,2,0.147,5.1,88.89
Armenia,1,0,0,0
Australia,0,1.226,3926,60.19
Austria,7,0.684,179.2,47.22
Azerbaijan,2,0,0,77.78
Bahamas,1,0,0,0
Bahrain,2,4.57,14.4,75
Bangladesh,5,0.096,4.8,62.96
Barbados,2,0,0,75
Belarus,3,0,16.3,16.67
Belgium,7,1.203,91.8,51.85
Belize,2,0,0,73.15
Benin,3,0,0,41.67
Bhutan,2,0,0,83.33
Bolivia,2,0.146,2.2,84.26
Bosnia and Herzegovina,5,0,0,54.63
Botswana,5,0,0,57.41
Brazil,2,0,0,77.31
Brunei,3,0,0,49.07
Bulgaria,3,0.332,19.9,38.89
Burkina Faso,3,0,0,45.37
Burundi,1,0,0,13.89
Cambodia,3,0,0,40.74
Cameroon,5,0,0,60.19
Canada,5,1.04,61,70.83
Cape Verde,2,0.577,8.9,79.17
Central African Republic,5,0,0,64.81
Chad,2,0,0,74.07
Chile,2,1.045,3,78.24
China,2,0,0,78.24
Colombia,2,0.263,0,87.04
Comoros,1,0,0,0
Congo,2,0,0,73.15
Costa Rica,2,0.075,0,72.22
Cote d'Ivoire,5,0.03,4.4,64.81
Croatia,0,0.063,804.2,50.93
Cuba,7,0.185,146.6,100
Cyprus,0,2.875,671.9,62.96
Czechia,7,0.349,70.6,41.67
Democratic Republic of Congo,2,0.006,0,80.56
Denmark,6,2.512,390.1,57.41
Djibouti,5,0,0,59.26
Dominica,2,0,0,72.22
Dominican Republic,2,0.232,4.8,87.04
Ecuador,2,0.124,0,83.33
Egypt,2,0,0,71.3
El Salvador,2,0.379,28.5,96.3
Equatorial Guinea,1,0,0,0
Eritrea,2,0,0,93.52
Estonia,7,0.875,103.7,41.67
Eswatini,2,0,0,84.26
Ethiopia,5,0.058,38.3,80.56
Fiji,2,0,0,78.7
Finland,7,0.537,104.9,44.44
France,7,0.594,76.9,72.22
Gabon,2,0,0,80.56
Gambia,2,0,0,74.07
Georgia,2,0,0,69.44
Germany,5,0,0,59.72
Ghana,5,0.069,12.6,56.48
Greece,6,0,318.7,54.63
Grenada,1,0,0,0
Guatemala,2,0.028,2.4,96.3
Guinea,2,0,0,78.7
Guinea-Bissau,1,0,0,0
Guyana,2,0,0,83.33
Haiti,2,0,0,80.56
Honduras,2,0,0,96.3
Hungary,6,0.472,310.1,61.11
Iceland,0,0.202,811.2,39.81
India,2,0.11,13.7,76.85
Indonesia,5,0.026,6.6,68.06
International,1,0,0,0
Iran,3,0,9.7,44.44
Iraq,2,0.232,8.6,92.59
Ireland,7,0.859,212.5,72.22
Israel,7,1.826,95,75
Italy,7,1.033,185.2,50
Jamaica,7,0.108,92.4,73.15
Japan,7,0.036,103.9,28.7
Jordan,3,0,0,48.15
Kazakhstan,7,1.421,87.5,81.02
Kenya,2,0.061,21.2,88.89
Kosovo,5,0,0,59.26
Kuwait,2,0.649,4.7,85.19
Kyrgyzstan,2,0,0,76.39
Laos,3,0,0,39.81
Latvia,0,0.838,742.7,50
Lebanon,2,0,0,74.07
Lesotho,5,0,0,62.04
Liberia,2,0,0,79.63
Libya,2,0.166,25.3,96.3
Liechtenstein,1,0,0,0
Lithuania,6,1.861,439.4,56.48
Luxembourg,0,6.43,742.4,41.67
Madagascar,5,0,8.8,70.37
Malawi,5,0.004,10.3,60.19
Malaysia,6,0.18,402.6,57.41
Maldives,1,1.215,55.2,0
Mali,5,0,0,52.78
Malta,6,2.559,351.2,0
Marshall Islands,1,0,0,0
Mauritania,2,0.213,5.7,77.78
Mauritius,2,0,0,65.74
Mexico,2,0.089,2.4,72.69
Moldova,2,0,0,80.56
Monaco,1,0,0,0
Mongolia,2,0,0,71.3
Montenegro,1,0,0,0
Morocco,7,0.448,209,76.85
Mozambique,5,0.016,28.5,62.04
Myanmar,6,0.037,514.1,80.56
Namibia,7,0.085,180.9,62.96
Nepal,2,0.178,16.1,92.59
Netherlands,5,0,0,62.96
New Zealand,3,0.604,0,25.93
Nicaragua,3,0,0,18.52
Niger,3,0,0,25.93
Nigeria,2,0.012,4.6,84.26
North Macedonia,1,0.466,7.4,0
Norway,7,0.898,246.6,43.52
Oman,2,0.538,3.4,86.11
Pakistan,5,0.12,4.5,61.11
Palestine,2,0,0,80.56
Panama,2,0.514,3.4,83.33
Papua New Guinea,5,0,0,56.02
Paraguay,5,0.223,62.9,83.33
