country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,67.59
Albania,6,0,0,84.26
Algeria,6,0,0,86.57
Andorra,0,0,0,48.15
Angola,7,0,0,90.74
Antigua and Barbuda,1,0,0,0
Argentina,7,0.024,8.3,100
Armenia,1,0,0,0
Australia,5,0,43.6,73.15
Austria,6,0.643,17.5,81.48
Azerbaijan,7,0,0,88.89
Bahamas,1,0,0,0
Bahrain,5,0.74,38.4,78.7
Bangladesh,4,0.002,78.6,87.04
Barbados,6,0,0,83.33
Belarus,1,0,26,12.96
Belgium,6,0.463,4,81.48
Belize,6,0,0,75
Benin,6,0,0,70.83
Bhutan,6,0,0,83.33
Bolivia,6,0,10.8,84.26
Bosnia and Herzegovina,7,0,0,89.81
Botswana,6,0,0,86.11
Brazil,6,0,0,74.54
Brunei,0,0,0,52.78
Bulgaria,6,0,0,71.3
Burkina Faso,6,0,0,84.26
Burundi,1,0,0,13.89
Cambodia,0,0,0,57.41
Cameroon,0,0,0,68.52
Canada,6,0.448,16.8,72.69
Cape Verde,6,0,0,79.63
Central African Republic,0,0,0,68.52
Chad,0,0,0,33.33
Chile,6,0.235,9.4,73.15
China,6,0,0,69.91
Colombia,7,0.024,0,87.96
Comoros,1,0,0,0
Congo,7,0,0,97.22
Costa Rica,6,0.038,0,75
Cote d'Ivoire,6,0,0,80.56
Croatia,7,0.142,9.9,96.3
Cuba,5,0.106,28,66.67
Cyprus,7,0.797,17.1,92.59
Czechia,5,0.545,22.1,74.07
Democratic Republic of Congo,6,0,0,77.78
Denmark,6,0.638,14.4,72.22
Djibouti,7,0,0,94.44
Dominica,6,0,0,79.63
Dominican Republic,7,0.059,3.4,92.59
Ecuador,7,0.01,0,93.52
Egypt,6,0,0,84.26
El Salvador,7,0,0,88.89
Equatorial Guinea,1,0,0,0
Eritrea,7,0,0,93.52
Estonia,5,1.065,28.2,77.78
Eswatini,7,0,0,89.81
Ethiopia,5,0.001,24.8,68.52
Fiji,7,0,16,88.89
Finland,5,0.582,16.3,67.59
France,7,0,0,87.96
Gabon,0,0,0,66.67
Gambia,6,0,0,78.7
Georgia,7,0,0,100
Germany,6,0,0,76.85
Ghana,4,0,110.2,86.11
Greece,6,0.086,14.7,84.26
Grenada,1,0,0,0
Guatemala,7,0.001,10.4,93.52
Guinea,6,0,0,78.7
Guinea-Bissau,1,0,0,0
Guyana,6,0,0,85.19
Haiti,6,0,0,82.41
Honduras,7,0,0,100
Hungary,5,0.171,27.2,76.85
Iceland,5,5.14,21.8,53.7
India,7,0.008,23.3,100
Indonesia,0,0.001,2.4,50.93
International,1,0,0,0
Iran,0,0,0,57.41
Iraq,7,0,0,96.3
Ireland,6,0.374,5.8,85.19
Israel,7,0.734,13.8,87.96
Italy,7,0.618,7.1,91.67
Jamaica,6,0,15.2,78.7
Japan,0,0.002,7.7,43.52
Jordan,7,0,0,100
Kazakhstan,4,0.128,95.5,92.13
Kenya,5,0.007,25.6,87.04
Kosovo,7,0,0,92.59
Kuwait,6,0,0,81.48
Kyrgyzstan,7,0,0,92.13
Laos,7,0,0,96.3
Latvia,5,0.627,32.5,69.44
Lebanon,6,0,0,85.19
Lesotho,7,0,0,90.74
Liberia,6,0,0,79.63
Libya,7,0.004,0,90.74
Liechtenstein,1,0,0,0
Lithuania,5,0.854,36,81.48
Luxembourg,6,1.316,7.6,79.63
Madagascar,7,0,0,91.67
Malawi,0,0.002,0,56.48
Malaysia,6,0.045,9.9,73.15
Maldives,3,0.191,202.8,0
Mali,6,0,0,72.22
Malta,1,1.481,72.2,0
Marshall Islands,1,0,0,0
Mauritania,6,0,0,77.78
Mauritius,6,0,0,82.41
Mexico,6,0.008,9.7,82.41
Moldova,6,0,0,87.04
Monaco,6,0,0,85.19
Mongolia,0,0,0,62.96
Montenegro,1,0,0,0
Morocco,7,0.011,4.5,93.52
Mozambique,5,0.001,69.9,56.48
Myanmar,6,0.001,0,69.44
Namibia,0,0,0,66.67
Nepal,4,0.007,161.1,96.3
Netherlands,6,0,0,79.63
New Zealand,5,0.54,39.4,96.3
Nicaragua,1,0,0,15.74
Niger,0,0,0,61.11
Nigeria,6,0,0,82.87
North Macedonia,1,0.199,0,0
Norway,6,0.256,13.2,79.63
Oman,6,0,0,85.19
Pakistan,7,0.009,13.2,96.3
Palestine,7,0,0,96.3
Panama,7,0.13,3.9,90.74
Papua New Guinea,6,0,0,74.07
Paraguay,7,0.027,20.8,93.52
Peru,7,0.039,0,94.44
Philippines,7,0.022,0,100
Poland,6,0,0,81.48
Portugal,6,0.888,10.7,82.41
Qatar,6,1.228,20.9,86.11
Romania,6,0.231,7.6,87.04
Russia,4,0.393,124.9,87.04
Rwanda,7,0,0,90.74
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,6,0,0,83.33
Sao Tome and Principe,1,0,0,0
Saudi Arabia,5,0.223,52.6,89.81
Senegal,6,0.011,11.1,77.78
Serbia,7,0.095,4.5,100
Seychelles,0,0,0,52.78
Sierra Leone,0,0,0,57.41
Singapore,0,0,0,48.15
Slovakia,5,0.279,44.8,75
Slovenia,7,0.315,23.9,89.81
Solomon Islands,0,0,0,44.44
Somalia,0,0,0,52.78
South Africa,5,0.06,55.2,87.96
South Korea,4,0,90.9,78.7
South Sudan,6,0,0,73.15
Spain,6,0,0,85.19
Sri Lanka,7,0.014,30,100
Sudan,6,0,0,76.85
Suriname,6,0,0,71.3
Sweden,0,0,0,64.81
Switzerland,6,0.601,6.2,73.15
Syria,6,0,0,87.04
Taiwan,4,0.036,88.3,31.48
Tajikistan,1,0,0,19.44
Tanzania,0,0,0,47.22
Thailand,5,0.046,22.8,76.85
Timor,6,0,0,75
Togo,5,0.018,50.3,73.15
Trinidad and Tobago,6,0,0,79.63
Tunisia,7,0.056,14,90.74
Turkey,6,0.233,6.4,75.93
Uganda,7,0,0,93.52
Ukraine,7,0,0,88.89
United Arab Emirates,4,4.039,139.4,89.81
United Kingdom,6,0.234,0,79.63
United States,6,0.445,4.6,72.69
Uruguay,5,0.08,22,72.22
Uzbekistan,7,0,0,90.74
Vanuatu,6,0,0,83.33
Vatican,1,0,0,0
Venezuela,6,0,0,82.41
Vietnam,3,0,581.7,96.3
Yemen,0,0,0,38.89
Zambia,5,0,50.9,47.22
Zimbabwe,7,0,0,87.96
