country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,1,0,0,27.78
Albania,5,0,0,8.33
Algeria,4,0,0,5.56
Andorra,4,0,0,0
Angola,5,0,0,8.33
Antigua and Barbuda,4,0,0,0
Argentina,5,0,5.2,11.11
Armenia,4,0,0,0
Australia,5,0,0,19.44
Austria,6,0.034,38,11.11
Azerbaijan,1,0,0,30.56
Bahamas,4,0,0,0
Bahrain,1,0,0,30.56
Bangladesh,5,0,0,13.89
Barbados,5,0,0,16.67
Belarus,4,0,0,0
Belgium,5,0.041,0,13.89
Belize,5,0,0,11.11
Benin,5,0,0,13.89
Bhutan,1,0,0,31.48
Bolivia,3,0,0,62.04
Bosnia and Herzegovina,5,0,0,11.11
Botswana,5,0,0,13.89
Brazil,5,0,0,11.11
Brunei,5,0,0,19.44
Bulgaria,1,0,0,21.3
Burkina Faso,4,0,0,0
Burundi,5,0,0,11.11
Cambodia,5,0,0,19.44
Cameroon,4,0,0,0
Canada,4,0,0,2.78
Cape Verde,5,0,0,19.44
Central African Republic,4,0,0,0
Chad,5,0,0,11.11
Chile,4,0,0,0
China,2,0,0,81.02
Colombia,5,0.001,0,12.04
Comoros,4,0,0,0
Congo,4,0,0,5.56
Costa Rica,5,0,0,11.11
Cote d'Ivoire,4,0,0,0
Croatia,5,0.004,0,13.89
Cuba,5,0,0,13.89
Cyprus,5,0,0,11.11
Czechia,6,0.018,31,19.44
Democratic Republic of Congo,4,0,0,5.56
Denmark,6,0.019,29.7,25.93
Djibouti,4,0,0,0
Dominica,4,0,0,0
Dominican Republic,5,0,0,11.11
Ecuador,5,0,0,8.33
Egypt,4,0,0,0
El Salvador,5,0,0,19.44
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0
Estonia,6,0.022,26.4,0
Eswatini,5,0,0,13.89
Ethiopia,4,0,0,2.78
Fiji,5,0,0,19.44
Finland,6,0.004,32.1,19.44
France,3,0,0,43.98
Gabon,5,0,0,13.89
Gambia,5,0,0,11.11
Georgia,3,0,0,41.67
Germany,1,0,0,25
Ghana,4,0,0,2.78
Greece,1,0,0,28.7
Grenada,4,0,0,0
Guatemala,1,0,0,25
Guinea,5,0,0,13.89
Guinea-Bissau,4,0,0,0
Guyana,5,0,0,13.89
Haiti,5,0,0,8.33
Honduras,5,0,0,11.11
Hungary,5,0.005,0,11.11
Iceland,5,0.17,7.6,16.67
India,1,0,0,26.85
Indonesia,1,0,0,37.04
International,4,0,0,0
Iran,3,0,0,42.59
Iraq,3,0,0,52.78
Ireland,5,0,0,11.11
Israel,6,0.039,36.7,33.33
Italy,2,0.094,4.9,74.54
Jamaica,5,0,0,19.44
Japan,3,0.001,25.6,43.52
Jordan,5,0,0,11.11
Kazakhstan,5,0,0,8.33
Kenya,5,0,0,13.89
Kosovo,4,0,0,0
Kuwait,1,0,0,36.11
Kyrgyzstan,1,0,0,22.22
Laos,4,0,0,0
Latvia,0,0.007,202.8,8.33
Lebanon,1,0,0,37.96
Lesotho,5,0,0,11.11
Liberia,4,0,0,5.56
Libya,4,0,0,5.56
Liechtenstein,4,0,0,0
Lithuania,5,0,0,11.11
Luxembourg,6,0.01,21,11.11
Madagascar,4,0,0,0
Malawi,5,0,0,11.11
Malaysia,1,0,11.6,22.22
Maldives,4,0,0,0
Mali,4,0,0,0
Malta,6,0.222,88.6,0
Marshall Islands,4,0,0,0
Mauritania,4,0,0,5.56
Mauritius,4,0,0,0
Mexico,7,0.001,688.8,2.78
Moldova,5,0,0,8.33
Monaco,1,0,0,27.78
Mongolia,3,0,0,57.41
Montenegro,4,0,0,0
Morocco,4,0,17.5,5.56
Mozambique,5,0,0,8.33
Myanmar,4,0,0,2.78
Namibia,4,0,0,2.78
Nepal,1,0,0,22.22
Netherlands,4,0,0,1.85
New Zealand,5,0.009,0,19.44
