country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,1,0,0,27.78
Albania,5,0,0,8.33
Algeria,3,0,0,0
Andorra,3,0,0,0
Angola,5,0,0,8.33
Antigua and Barbuda,3,0,0,0
Argentina,5,0,0,11.11
Armenia,3,0,0,0
Australia,5,0,0,19.44
Austria,5,0,0,11.11
Azerbaijan,5,0,0,19.44
Bahamas,3,0,0,0
Bahrain,1,0,0,30.56
Bangladesh,5,0,0,13.89
Barbados,5,0,0,13.89
Belarus,3,0,0,0
Belgium,5,0.007,0,11.11
Belize,5,0,0,11.11
Benin,5,0,0,13.89
Bhutan,5,0,0,13.89
Bolivia,1,0,0,62.04
Bosnia and Herzegovina,5,0,0,11.11
Botswana,5,0,0,13.89
Brazil,3,0,0,5.56
Brunei,5,0,0,19.44
Bulgaria,5,0,0,13.89
Burkina Faso,3,0,0,0
Burundi,3,0,0,5.56
Cambodia,3,0,0,0
Cameroon,3,0,0,0
Canada,3,0,0,2.78
Cape Verde,5,0,0,19.44
Central African Republic,3,0,0,0
Chad,3,0,0,0
Chile,3,0,0,0
China,1,0,0,81.02
Colombia,5,0,0,12.04
Comoros,3,0,0,0
Congo,3,0,0,0
Costa Rica,5,0,0,11.11
Cote d'Ivoire,3,0,0,0
Croatia,5,0,0,13.89
Cuba,5,0,0,13.89
Cyprus,3,0,0,0
Czechia,5,0.001,42,19.44
Democratic Republic of Congo,3,0,0,2.78
Denmark,2,0.008,84.1,11.11
Djibouti,3,0,0,0
Dominica,3,0,0,0
Dominican Republic,3,0,0,0
Ecuador,3,0,0,5.56
Egypt,3,0,0,0
El Salvador,5,0,0,19.44
Equatorial Guinea,3,0,0,0
Eritrea,3,0,0,0
Estonia,3,0.014,0,0
Eswatini,5,0,0,13.89
Ethiopia,3,0,0,2.78
Fiji,5,0,0,19.44
Finland,5,0.003,0,19.44
France,1,0,0,34.72
Gabon,5,0,0,13.89
Gambia,5,0,0,11.11
Georgia,1,0,0,30.56
Germany,1,0,0,25
Ghana,3,0,0,2.78
Greece,5,0,0,19.44
Grenada,3,0,0,0
Guatemala,5,0,0,11.11
Guinea,5,0,0,11.11
Guinea-Bissau,3,0,0,0
Guyana,5,0,0,13.89
Haiti,3,0,0,2.78
Honduras,3,0,0,0
Hungary,5,0,0,11.11
Iceland,5,0.064,0,16.67
India,5,0,0,10.19
Indonesia,1,0,0,28.7
International,3,0,0,0
Iran,5,0,0,20.37
Iraq,1,0,0,52.78
Ireland,5,0,0,11.11
Israel,2,0.022,154,19.44
Italy,1,0.041,0,69.91
Jamaica,5,0,0,19.44
Japan,1,0.001,7.9,34.26
Jordan,3,0,0,0
Kazakhstan,5,0,0,8.33
Kenya,5,0,0,13.89
Kosovo,3,0,0,0
Kuwait,1,0,0,27.78
Kyrgyzstan,5,0,0,22.22
Laos,3,0,0,0
Latvia,5,0.005,0,8.33
Lebanon,1,0,0,25
Lesotho,3,0,0,0
Liberia,3,0,0,5.56
Libya,3,0,0,5.56
Liechtenstein,3,0,0,0
Lithuania,5,0,0,11.11
Luxembourg,3,0,0,0
Madagascar,3,0,0,0
Malawi,3,0,0,5.56
Malaysia,2,0,92,19.44
Maldives,3,0,0,0
Mali,3,0,0,0
Malta,3,0.018,0,0
Marshall Islands,3,0,0,0
Mauritania,3,0,0,5.56
Mauritius,3,0,0,0
Mexico,2,0.001,260.5,2.78
Moldova,5,0,0,8.33
Monaco,5,0,0,18.52
Mongolia,1,0,0,65.74
Montenegro,3,0,0,0
Morocco,3,0,0,0
Mozambique,5,0,0,8.33
Myanmar,3,0,0,2.78
Namibia,3,0,0,2.78
Nepal,5,0,0,22.22
Netherlands,3,0,0,0
New Zealand,5,0,0,19.44
Nicaragua,5,0,0,8.33
Niger,3,0,0,0
Nigeria,5,0,0,11.11
North Macedonia,3,0,0,0
