country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,3,0,0,84.26
Albania,3,0,0,89.81
Algeria,3,0,0,76.85
Andorra,1,0,0,52.78
Angola,3,0,0,75.93
Antigua and Barbuda,4,0,0,0
Argentina,7,0.067,18.2,88.89
Armenia,4,0,0,0
Australia,2,1.498,1313.4,69.44
Austria,6,0.846,153,64.81
Azerbaijan,3,0,0,85.19
Bahamas,4,0,0,0
Bahrain,7,3.641,26.9,75
Bangladesh,3,0.033,7.1,89.81
Barbados,3,0,0,81.48
Belarus,4,1.23,9.1,16.67
Belgium,7,1.813,48,78.7
Belize,3,0,0,76.85
Benin,1,0,0,70.83
Bhutan,3,0,0,83.33
Bolivia,3,0,3.6,84.26
Bosnia and Herzegovina,3,0,0,90.74
Botswana,3,0,0,80.56
Brazil,3,0,0,81.02
Brunei,1,0,0,58.33
Bulgaria,7,0.256,25.9,60.19
Burkina Faso,1,0,0,67.59
Burundi,4,0,0,13.89
Cambodia,1,0,0,57.41
Cameroon,1,0,0,63.89
Canada,7,0.968,18.7,72.69
Cape Verde,3,0.21,0,79.63
Central African Republic,3,0,0,75.93
Chad,3,0,0,88.89
Chile,3,0.625,6.2,75.93
China,1,0,0,56.94
Colombia,3,0.102,0,87.04
Comoros,4,0,0,0
Congo,3,0,0,97.22
Costa Rica,1,0.088,0,72.22
Cote d'Ivoire,1,0.022,9.3,69.91
Croatia,5,0.205,75.7,89.81
Cuba,5,0.161,96.4,85.19
Cyprus,0,2.258,445.8,92.59
Czechia,6,0.354,132.3,57.41
Democratic Republic of Congo,3,0,0,80.56
Denmark,5,1.424,96.4,65.74
Djibouti,3,0,0,94.44
Dominica,3,0,0,75.93
Dominican Republic,3,0.187,4.6,100
Ecuador,3,0.049,0,86.11
Egypt,3,0,0,84.26
El Salvador,7,0.31,37,100
Equatorial Guinea,4,0,0,0
Eritrea,3,0,0,93.52
Estonia,0,0.57,281.9,66.67
Eswatini,3,0,0,84.26
Ethiopia,6,0.021,166.6,80.56
Fiji,3,0.048,0,88.89
Finland,7,0.507,29.8,60.19
France,3,0,0,87.96
Gabon,3,0,0,79.63
Gambia,3,0,0,78.7
Georgia,3,0,0,96.3
Germany,1,0,0,64.35
Ghana,1,0,13.6,62.04
Greece,6,0.297,213.1,72.22
Grenada,4,0,0,0
Guatemala,3,0.037,8.7,96.3
Guinea,3,0,0,78.7
Guinea-Bissau,4,0,0,0
Guyana,3,0,0,87.04
Haiti,3,0,0,89.81
Honduras,3,0,0,100
Hungary,5,0.435,87.5,66.67
Iceland,2,2.74,1261.1,50
India,7,0.062,23.7,81.94
Indonesia,1,0.02,10.3,74.54
International,4,0,0,0
Iran,1,0,9,50.93
Iraq,5,0.049,58,85.19
Ireland,7,1.551,32.9,90.74
Israel,6,0.447,199.5,77.78
Italy,7,1.144,45.3,62.96
Jamaica,5,0,54.7,87.04
Japan,7,0.018,33.9,47.22
Jordan,3,0,0,87.04
Kazakhstan,5,0.744,91.5,89.35
Kenya,7,0.03,38,88.89
Kosovo,3,0,0,92.59
Kuwait,3,0,0,88.89
Kyrgyzstan,3,0,0,85.65
Laos,3,0,0,82.41
Latvia,6,1.355,211.3,69.44
Lebanon,3,0,0,77.78
Lesotho,1,0,0,62.04
Liberia,3,0,0,87.96
Libya,2,0.018,937.1,100
Liechtenstein,4,0,0,0
Lithuania,2,2.083,1097.1,77.78
Luxembourg,6,1.166,113.1,66.67
Madagascar,7,0,15,67.59
Malawi,7,0.003,21,60.19
Malaysia,6,0,155.1,69.44
Maldives,4,1.088,11.5,0
Mali,1,0,0,69.44
Malta,0,2.507,345.2,0
Marshall Islands,4,0,0,0
Mauritania,3,0,0,77.78
Mauritius,3,0,0,82.41
Mexico,3,0.027,3.1,82.41
Moldova,3,0,0,84.26
Monaco,1,0,0,72.22
Mongolia,1,0,0,71.3
Montenegro,4,0,0,0
Morocco,7,0.086,20.1,93.52
Mozambique,6,0.013,176.7,56.48
Myanmar,5,0.007,97.7,84.26
Namibia,1,0,0,66.67
Nepal,5,0.028,63,92.59
Netherlands,3,0,0,79.63
New Zealand,2,0.712,5818,83.33
Nicaragua,4,0,0,18.52
Niger,1,0,0,61.11
Nigeria,3,0,5,84.26
North Macedonia,4,0.197,15.8,0
Norway,5,0.24,80.8,67.59
Oman,3,0,0,87.96
Pakistan,3,0.058,7.4,89.81
Palestine,3,0,0,96.3
Panama,3,0.293,6.6,93.52
Papua New Guinea,1,0,0,64.35
Paraguay,3,0.112,12.2,94.44
Peru,3,0.072,0,96.3
Philippines,7,0.065,23.6,96.3
Poland,7,0.42,38.6,83.33
Portugal,7,1.326,43.9,75
Qatar,3,1.422,3.5,83.33
Romania,7,0.56,24,87.04
Russia,7,1.552,18.1,85.19
Rwanda,0,0.092,323.4,73.15
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,0,0,0
Samoa,4,0,0,0
San Marino,1,0,0,66.67
Sao Tome and Principe,4,0,0,0
Saudi Arabia,3,0.464,8.3,89.81
Senegal,3,0.051,12,77.78
Serbia,5,0.842,56.6,93.52
Seychelles,1,0,0,66.67
Sierra Leone,1,0,0,70.37
Singapore,3,0,13.8,85.19
