location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,38572,28,40.571,1421,0,1.571,990.846,0.719,1.042,36.503,0,0.04,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,10860,156,145.143,324,2,3.286,3773.716,54.208,50.435,112.586,0.695,1.142,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,47488,272,288.429,1591,10,8.857,1082.939,6.203,6.577,36.282,0.228,0.202,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,1301,0,14.571,53,0,0,16838.154,0,188.59,685.951,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.37,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,3217,125,58.857,130,4,2.429,97.882,3.803,1.791,3.955,0.122,0.074,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.02,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,95,0,0,3,0,0,970.1,0,0,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,524198,11905,10428.571,10907,249,220.857,11598.385,263.41,230.742,241.328,5.509,4.887,1.09,0,0,0,0,0,0,0,0,25568,1451811,32.123,0.566,22096,0.489,0.472,2.1,87.96,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,45326,174,150.714,906,1,2.714,15296.126,58.72,50.861,305.747,0.337,0.916,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,26564,40,61.143,797,9,8.571,1041.73,1.569,2.398,31.255,0.353,0.336,0.58,0,0,0,0,0,0,0,0,60098,6849431,268.606,2.357,65522,2.57,0.001,1071.6,75.46,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,31247,664,410.714,748,1,1.857,3469.422,73.725,45.602,83.052,0.111,0.206,1.44,39,4.33,166,18.431,0,0,0,0,14971,1303030,144.678,1.662,11110,1.234,0.037,27.1,36.11,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,37874,142,139.286,556,1,2.143,3735.412,14.005,13.737,54.837,0.099,0.211,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,2721,0,47.857,63,0,1.857,6919.298,0,121.697,160.204,0,4.723,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,58207,757,682,207,4,2.429,34207.558,444.88,400.803,121.651,2.351,1.427,1.04,0,0,0,0,0,0,0,0,0,0,0,0,12845,7.549,0.053,18.8,60.19,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,332970,1892,1897.714,4634,41,35.857,2021.806,11.488,11.523,28.138,0.249,0.218,0.88,0,0,0,0,0,0,0,0,15559,1692974,10.28,0.094,13996,0.085,0.136,7.4,80.09,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,180,0,0.429,7,0,0,626.368,0,1.491,24.359,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,73591,189,184.143,732,6,5.143,7787.967,20.001,19.487,77.466,0.635,0.544,1.12,0,0,0,0,0,0,0,0,0,0,0,0,9098,0.963,0.02,49.4,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,90568,877,574.857,9917,0,2.571,7814.582,75.671,49.601,855.68,0,0.222,1.29,65,5.608,249,21.485,0,0,0,0,36232,2580660,222.67,3.126,26688,2.303,0.022,46.4,52.78,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,1365,0,37.714,18,0,0.714,3432.917,0,94.85,45.269,0,1.796,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.22,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
Benin,2242,0,6.857,40,0,0,184.935,0,0.566,3.299,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
Bhutan,238,4,1.571,0,0,0,308.445,5.184,2.037,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.35,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,0,0,79.807,1.7,71.78,0.612
Bolivia,124205,860,774.857,7193,47,272.143,10640.34,73.674,66.38,616.207,4.026,23.314,0.86,0,0,0,0,0,0,0,0,3985,263901,22.608,0.341,2664,0.228,0.291,3.4,84.26,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,0,0,25.383,1.1,71.51,0.693
Bosnia and Herzegovina,22544,286,248.571,680,5,6.286,6871.463,87.173,75.765,207.266,1.524,1.916,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.74,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
Botswana,2252,126,75.429,10,1,0.571,957.636,53.58,32.075,4.252,0.425,0.243,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.78,2351625,4.044,25.8,3.941,2.242,15807.374,0,237.372,4.81,5.7,34.4,0,1.8,69.59,0.717
Brazil,4238446,40557,28115.429,129522,983,701.143,19940.054,190.803,132.271,609.345,4.625,3.299,0.94,0,0,0,0,0,0,0,0,0,0,0,0,54398,0.256,0,0,69.91,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,0,2.2,75.88,0.759
