location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,36773,36,59.286,1290,0,2.571,944.633,0.925,1.523,33.138,0,0.066,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,5750,130,107.571,176,4,4,1998.054,45.173,37.38,61.158,1.39,1.39,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,32504,532,555.571,1248,9,10.571,741.237,12.132,12.67,28.46,0.205,0.241,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,939,2,4.571,52,0,0,12152.98,25.885,59.166,673.008,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.37,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,1344,64,49.143,59,1,1.714,40.893,1.947,1.495,1.795,0.03,0.052,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.17,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,92,0,0.857,3,0,0,939.466,0,8.753,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,213535,6792,5740,3979,166,114.286,4724.667,150.28,127.003,88.039,3.673,2.529,1.15,0,0,0,0,0,0,0,0,16926,754678,16.698,0.375,14452,0.32,0.397,2.5,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,39298,196,238.429,768,6,7,13261.862,66.144,80.462,259.176,2.025,2.362,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,19445,715,551.857,247,15,10.143,762.553,28.039,21.642,9.686,0.588,0.398,1.07,0,0,0,0,0,0,0,0,94706,4481617,175.751,3.714,62707,2.459,0.009,113.6,79.17,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,21481,96,114.857,719,1,0.857,2385.082,10.659,12.753,79.832,0.111,0.095,0.98,23,2.554,84,9.327,0,0,0,0,7124,923902,102.583,0.791,7614,0.845,0.015,66.3,35.19,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
