country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,5,0,0,8.477
Albania,5,0,0,5.907
Algeria,5,0,0,4.333
Andorra,1,0,0,12.942
Angola,5,0,0,0.03
Antigua and Barbuda,5,0,0,0
Argentina,5,0,0,2.943
Armenia,1,0,0,37.797
Australia,5,0,0,1.098
Austria,0,34.864,11.547,3.22
Azerbaijan,5,0,0,7.496
Bahamas,1,0,0,15.258
Bahrain,3,0,0,109.898
Bangladesh,5,0,0,4.773
Barbados,5,0,0,0
Belarus,3,0,0,91.118
Belgium,6,247.463,50.217,20.881
Belize,5,0,0,0
Benin,5,0,0,0
Bhutan,5,0,0,0
Bolivia,5,0,0,10.366
Bosnia and Herzegovina,5,0,0,6.096
Botswana,5,0,0,0
Brazil,1,0,0,32.156
Brunei,5,0,0,0
Bulgaria,0,45.478,5.325,7.484
Burkina Faso,5,0,0,0.765
Burundi,5,0,0,0
Cambodia,5,0,0,0
Cameroon,5,0,0,0
Canada,1,0,0,33.331
Cape Verde,1,0,0,19.785
Central African Republic,5,0,0,0
Chad,5,0,0,3.227
Chile,3,0,0,71.824
China,5,0,0,0.001
Colombia,1,0,0,12.578
Comoros,5,0,0,0
Congo,5,0,0,0
Costa Rica,5,0,0,2.552
Cote d'Ivoire,5,0,0,1.213
Croatia,0,52.859,0,2.679
Cuba,5,0,0,1.501
Cyprus,5,0,0,4.567
Czechia,5,20.824,4.389,7.19
Democratic Republic of Congo,5,0,0,0.257
Denmark,0,39.363,8.46,26.07
Djibouti,5,0,0,4.049
Dominica,5,0,0,0
Dominican Republic,1,0,0,22.585
Ecuador,5,0,0,0
Egypt,5,0,0,3.791
El Salvador,5,0,0,4.934
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,0,49.754,7.538,6.031
Eswatini,5,0,0,2.586
Ethiopia,5,0,0,0.043
Fiji,5,0,0,0
Finland,0,35.194,8.663,15.341
France,6,378.423,51.706,16.913
Gabon,1,0,0,13.479
Gambia,5,0,0,0
Georgia,5,0,0,2.757
Germany,5,0,0,10.205
Ghana,5,0,0,0
Greece,5,0,0,0.959
Grenada,5,0,0,0
Guatemala,5,0,0,1.842
Guinea,5,0,0,7.691
Guinea-Bissau,5,0,0,0
Guyana,5,0,0,1.271
Haiti,5,0,0,0.088
Honduras,5,0,0,9.289
Hungary,2,101.653,0,3.105
Iceland,5,8.791,0,0
India,5,0,0,2.147
Indonesia,5,0,0,1.769
International,5,0,0,0
Iran,1,0,0,15.751
Iraq,5,0,0,2.113
Ireland,2,137.713,18.227,42.732
Israel,5,0,0,3.697
Italy,6,292.697,23.602,17.78
Jamaica,5,0,0,0.675
Japan,5,0,0,0.988
Jordan,5,0,0,0.588
Kazakhstan,5,0,0,8.308
Kenya,5,0,0,0.837
Kosovo,5,0,0,2.07
Kuwait,3,0,0,123.169
Kyrgyzstan,5,0,0,1.993
Laos,5,0,0,0
Latvia,5,17.495,0,0
Lebanon,5,0,0,0.147
Lesotho,5,0,0,0
Liberia,5,0,0,0.791
Libya,5,0,0,0
Liechtenstein,5,0,0,0
Lithuania,5,0,0,1.469
Luxembourg,2,161.348,31.95,19.17
Madagascar,5,0,0,0.072
Malawi,5,0,0,0
Malaysia,5,0,0,0.927
Maldives,3,0,0,59.2
Mali,5,0,0,1.58
Malta,5,4.53,0,4.53
Marshall Islands,5,0,0,0
Mauritania,5,0,0,0
Mauritius,5,0,0,0
Mexico,5,0,0,8.687
Moldova,1,0,0,28.508
Monaco,5,0,0,0
Mongolia,5,0,0,0.305
Montenegro,5,0,0,1.592
Morocco,5,0,0,4.497
Mozambique,5,0,0,0.032
Myanmar,5,0,0,0
Namibia,5,0,0,0
Nepal,5,0,0,0.24
Netherlands,1,0,33.441,18.559
New Zealand,5,0,0,0.415
Nicaragua,5,0,0,0.151
Niger,5,0,0,0.33
Nigeria,5,0,0,0.718
North Macedonia,5,0,0,3.84
Norway,5,13.097,0,9.407
Oman,1,0,0,19.191
Pakistan,5,0,0,9.163
Palestine,5,0,0,1.764
Panama,3,0,0,75.554
Papua New Guinea,5,0,0,0
Paraguay,5,0,0,2.243
Peru,3,0,0,115.765
Philippines,5,0,0,1.816
Poland,0,72.345,0,11.23
Portugal,0,80.222,13.141,17.457
Qatar,4,0,0,330.087
Romania,1,0,12.683,16.894
Russia,3,0,0,69.223
Rwanda,5,0,0,0
Saint Kitts and Nevis,5,0,0,0
Saint Lucia,5,0,0,0
Saint Vincent and the Grenadines,5,0,0,0
Samoa,5,0,0,0
San Marino,3,0,0,206.258
Sao Tome and Principe,4,0,0,688.991
Saudi Arabia,1,0,0,45.815
Senegal,5,0,0,3.464
Serbia,1,0,0,17.635
Seychelles,5,0,0,0
Sierra Leone,5,0,0,2.633
Singapore,3,0,0,108.028
Slovakia,5,6.411,0,1.465
Slovenia,0,26.456,7.696,2.886
Solomon Islands,5,0,0,0
Somalia,5,0,0,4.971
South Africa,5,0,0,5.935
South Korea,5,0,0,0.039
South Sudan,5,0,0,0.536
Spain,1,0,0,28.19
Sri Lanka,5,0,0,0.934
Sudan,5,0,0,2.281
Suriname,5,0,0,0
Sweden,3,0,0,65.054
Switzerland,5,0,0,3.235
Syria,5,0,0,0
Taiwan,5,0,0,0
Tajikistan,5,0,0,6.605
Tanzania,5,0,0,0
Thailand,5,0,0,0.014
Timor,5,0,0,0
Togo,5,0,0,0.242
