country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,1,0,0,10.635
Albania,1,0,0,6.255
Algeria,1,0,0,4.264
Andorra,1,0,0,0
Angola,1,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,1,0,0,7.633
Armenia,2,0,0,62.094
Australia,1,0,0,0.627
Austria,1,18.32,5.219,5.663
Azerbaijan,1,0,0,9.961
Bahamas,1,0,0,0
Bahrain,4,0,0,226.26
Bangladesh,1,0,0,7.299
Barbados,1,0,0,0
Belarus,2,0,0,101.383
Belgium,3,150.997,31.407,30.717
Belize,1,0,0,0
Benin,1,0,0,0
Bhutan,1,0,0,1.296
Bolivia,1,0,0,17.562
Bosnia and Herzegovina,1,0,0,5.486
Botswana,1,0,0,0
Brazil,2,0,0,80.57
Brunei,1,0,0,0
Bulgaria,5,46.197,7.052,5.469
Burkina Faso,1,0,0,0.335
Burundi,1,0,0,0
Cambodia,1,0,0,0
Cameroon,1,0,0,5.688
Canada,0,0,0,31.212
Cape Verde,0,0,0,19.785
Central African Republic,0,0,0,32.714
Chad,1,0,0,1.766
Chile,2,0,0,130.884
China,1,0,0,0.006
Colombia,1,0,0,11.91
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,1,0,0,2.552
Cote d'Ivoire,1,0,0,1.744
Croatia,5,34.59,0,0.244
Cuba,1,0,0,0.883
Cyprus,1,0,0,3.425
Czechia,1,11.019,3.268,5.136
Democratic Republic of Congo,1,0,0,0.625
Denmark,5,23.652,5.525,13.466
Djibouti,0,0,0,25.304
Dominica,1,0,0,0
Dominican Republic,0,0,0,38.625
Ecuador,0,0,0,54.696
Egypt,1,0,0,3.899
El Salvador,1,0,0,15.109
Equatorial Guinea,1,0,0,7.84
Eritrea,1,0,0,0
Estonia,5,29.4,4.523,6.031
Eswatini,1,0,0,2.586
Ethiopia,1,0,0,0.13
Fiji,1,0,0,0
Finland,1,21.297,5.775,14.98
France,6,303.354,33.122,9.744
Gabon,0,0,0,47.176
Gambia,1,0,0,0
Georgia,1,0,0,1.003
Germany,1,0,0,9.011
Ghana,1,0,0,3.476
Greece,1,0,0,3.838
Grenada,1,0,0,8.887
Guatemala,1,0,0,6.977
Guinea,1,0,0,0
Guinea-Bissau,1,0,0,0
Guyana,1,0,0,3.814
Haiti,1,0,0,3.245
Honduras,1,0,0,14.337
Hungary,5,63.559,0,3.83
Iceland,1,0,0,0
India,1,0,0,2.744
Indonesia,1,0,0,1.791
International,1,0,0,0
Iran,0,0,0,25.026
Iraq,1,0,0,1.243
Ireland,5,84.856,11.341,26.125
Israel,1,0,0,1.386
Italy,3,191.857,13.364,13.05
Jamaica,1,0,0,0.675
Japan,1,0,0,0.411
Jordan,1,0,0,0.98
Kazakhstan,1,0,0,6.284
Kenya,1,0,0,0.428
Kosovo,1,0,0,9.313
Kuwait,4,0,0,207.233
Kyrgyzstan,1,0,0,4.445
Laos,1,0,0,0
Latvia,1,14.845,0,4.241
Lebanon,1,0,0,0.733
Lesotho,1,0,0,0
Liberia,1,0,0,0.791
Libya,1,0,0,0
Liechtenstein,1,0,0,0
Lithuania,1,0,0,4.408
Luxembourg,3,103.838,23.963,12.78
Madagascar,1,0,0,0.289
Malawi,1,0,0,0
Malaysia,1,0,0,1.112
Maldives,2,0,0,90.65
Mali,1,0,0,1.333
Malta,0,2.265,0,22.648
Marshall Islands,1,0,0,0
Mauritania,1,0,0,1.936
Mauritius,1,0,0,0
Mexico,0,0,0,18.901
Moldova,0,0,0,47.596
Monaco,1,0,0,0
Mongolia,1,0,0,0
Montenegro,1,0,0,0
Morocco,1,0,0,1.219
Mozambique,1,0,0,0.128
Myanmar,1,0,0,0.018
Namibia,1,0,0,0
Nepal,1,0,0,0.618
Netherlands,1,0,20.134,11.672
New Zealand,1,0,0,0
Nicaragua,1,0,0,0
Niger,1,0,0,0.372
Nigeria,1,0,0,1.397
North Macedonia,1,0,0,8.16
Norway,1,10.699,0,4.243
Oman,0,0,0,55.614
Pakistan,1,0,0,0
Palestine,1,0,0,0
Panama,0,0,0,34.764
Papua New Guinea,1,0,0,0
Paraguay,1,0,0,0.701
Peru,2,0,0,118.01
Philippines,1,0,0,1.962
Poland,5,68.143,0,10.595
Portugal,5,66.002,10.984,25.891
Qatar,4,0,0,400.2
Romania,1,0,11.384,9.876
Russia,2,0,0,72.622
Rwanda,1,0,0,0
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,2,0,0,117.862
Sao Tome and Principe,1,0,0,0
Saudi Arabia,2,0,0,66.267
Senegal,1,0,0,7.226
Serbia,1,0,0,9.405
Seychelles,1,0,0,0
Sierra Leone,1,0,0,4.889
Singapore,2,0,0,135.548
Slovakia,1,3.846,0,0.549
Slovenia,1,13.949,3.367,0.481
Solomon Islands,1,0,0,0
Somalia,1,0,0,0
South Africa,1,0,0,13.236
South Korea,1,0,0,0.371
South Sudan,1,0,0,2.948
Spain,1,0,0,13.753
Sri Lanka,1,0,0,0.467
Sudan,1,0,0,3.33
Suriname,1,0,0,0
Sweden,2,0,0,68.124
Switzerland,1,0,0,5.893
Syria,1,0,0,0.114
Taiwan,1,0,0,0
Tajikistan,0,0,0,22.123
Tanzania,1,0,0,0
Thailand,1,0,0,0.1
Timor,1,0,0,0
Togo,1,0,0,3.02
Trinidad and Tobago,1,0,0,0
Tunisia,1,0,0,0.254
Turkey,0,0,0,20.252
Uganda,1,0,0,0.94
Ukraine,1,0,0,11.044
United Arab Emirates,2,0,0,75.528
United Kingdom,3,140.058,19.179,37.136
United States,3,134.594,31.673,76.298
Uruguay,1,0,0,2.303
Uzbekistan,1,0,0,1.225
Vanuatu,1,0,0,0
Vatican,1,0,0,0
Venezuela,1,0,0,0.141
Vietnam,1,0,0,0.021
Yemen,1,0,0,0.704
Zambia,1,0,0,0
Zimbabwe,1,0,0,0.336
