country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,0,0,0,1.105
Albania,4,0,0,52.818
Algeria,0,0,0,5.427
Andorra,0,0,0,0
Angola,0,0,0,3.955
Antigua and Barbuda,0,0,0,0
Argentina,6,0,0,263.122
Armenia,4,0,0,50.62
Australia,0,0,0,1.529
Austria,4,27.092,5.441,84.829
Azerbaijan,0,0,0,11.244
Bahamas,4,0,0,61.03
Bahrain,6,0,0,398.452
Bangladesh,0,0,0,10.468
Barbados,0,0,0,3.48
Belarus,3,0,0,20.319
Belgium,4,27.18,5.781,42.193
Belize,4,0,0,67.904
Benin,0,0,0,0
Bhutan,0,0,0,1.296
Bolivia,4,0,0,57.14
Bosnia and Herzegovina,2,0,0,89.612
Botswana,0,0,0,0
Brazil,6,0,0,172.436
Brunei,0,0,0,0
Bulgaria,1,105.635,6.62,22.307
Burkina Faso,0,0,0,0.765
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,1.62
Canada,3,0,0,21.249
Cape Verde,2,0,0,116.909
Central African Republic,0,0,0,0
Chad,0,0,0,0.122
Chile,2,0,0,81.083
China,0,0,0,0.011
Colombia,2,0,0,131.636
Comoros,0,0,0,11.5
Congo,0,0,0,0
Costa Rica,6,0,0,152.333
Cote d'Ivoire,0,0,0,1.289
Croatia,1,72.833,0,36.782
Cuba,0,0,0,6.798
Cyprus,0,0,0,6.85
Czechia,6,36.231,7.564,156.317
Democratic Republic of Congo,0,0,0,0.123
Denmark,4,9.668,0.518,58.527
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,4,0,0,63.883
Ecuador,3,0,0,36.388
Egypt,0,0,0,1.593
El Salvador,0,0,0,12.18
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0.846
Estonia,3,14.323,1.508,18.092
Eswatini,3,0,0,20.687
Ethiopia,0,0,0,6.089
Fiji,0,0,0,0
Finland,3,0,0,17.687
France,1,86.712,11.521,123.097
Gabon,0,0,0,0
Gambia,0,0,0,9.517
Georgia,3,0,0,42.615
Germany,3,0,0,21.388
Ghana,0,0,0,1.738
Greece,3,0,0,29.742
Grenada,0,0,0,0
Guatemala,3,0,0,28.578
Guinea,0,0,0,3.807
Guinea-Bissau,0,0,0,0
Guyana,2,0,0,94.081
Haiti,0,0,0,2.719
Honduras,0,0,0,0
Hong Kong,0,0,0,0
Hungary,4,31.676,0,75.153
Iceland,3,2.93,0,17.582
India,4,0,0,65.306
Indonesia,0,0,0,12.822
International,0,0,0,0
Iran,3,0,0,32.205
Iraq,2,0,0,105.016
Ireland,4,13.771,2.633,72.299
Israel,5,0,0,639.937
Italy,1,40.075,3.324,20.327
Jamaica,3,0,0,36.81
Japan,0,0,0,4.206
Jordan,0,0,0,14.603
Kazakhstan,0,0,0,3.888
Kenya,0,0,0,1.785
Kosovo,3,0,0,36.735
Kuwait,6,0,0,194.12
Kyrgyzstan,0,0,0,10.883
Laos,0,0,0,0
Latvia,0,5.302,0,2.651
Lebanon,0,0,0,7.033
Lesotho,3,0,0,38.277
Liberia,0,0,0,1.186
Libya,2,0,0,91.54
Liechtenstein,0,0,0,0
Lithuania,0,0,0,4.041
Luxembourg,4,35.145,0,63.9
Madagascar,0,0,0,1.228
Malawi,0,0,0,0.209
Malaysia,0,0,0,0.711
Maldives,6,0,0,157.25
Mali,0,0,0,0.247
Malta,2,0,0,110.975
Marshall Islands,0,0,0,0
Mauritania,0,0,0,5.162
Mauritius,0,0,0,3.145
Mexico,3,0,0,37.004
Moldova,2,0,0,130.641
Monaco,3,0,0,25.482
Mongolia,0,0,0,0
Montenegro,6,0,0,256.344
Morocco,4,0,0,57.463
Mozambique,0,0,0,7.391
Myanmar,0,0,0,8.105
Namibia,3,0,0,32.665
Nepal,4,0,0,50.074
Netherlands,2,0,4.319,86.315
New Zealand,0,0,0,0.207
Nicaragua,3,0,0,21.586
Niger,0,0,0,0.083
Nigeria,0,0,0,0.437
North Macedonia,4,0,0,47.039
Norway,3,3.32,0,21.582
Oman,2,0,0,85.771
Pakistan,0,0,0,3.011
Palestine,6,0,0,174.069
Panama,2,0,0,145.547
Papua New Guinea,0,0,0,0
Paraguay,2,0,0,130.529
Peru,2,0,0,128.625
Philippines,3,0,0,32.113
Poland,1,52.739,0,15.986
Portugal,1,46.878,5.786,41.68
Qatar,2,0,0,82.956
Romania,4,0,23.911,57.751
Russia,3,0,0,37.243
Rwanda,0,0,0,1.699
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,3,0,0,29.465
Sao Tome and Principe,0,0,0,4.563
Saudi Arabia,3,0,0,19.303
Senegal,0,0,0,13.318
Serbia,0,0,0,10.875
Seychelles,0,0,0,0
Sierra Leone,0,0,0,1.88
Singapore,0,0,0,5.812
Slovakia,3,17.034,0,34.434
Slovenia,4,24.051,4.81,39.443
Solomon Islands,0,0,0,0
Somalia,0,0,0,0.063
South Africa,0,0,0,13.017
South Korea,0,0,0,2.204
South Sudan,0,0,0,0.447
Spain,6,208.578,27.227,201.84
Sri Lanka,0,0,0,0.42
Sudan,0,0,0,0
