country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,3,0,0.077,4.264
Albania,1,0,2.78,195.636
Algeria,3,0,0.342,17.172
Andorra,0,0,0,517.699
Angola,3,0,0,4.138
Antigua and Barbuda,3,0,0,0
Argentina,1,0.567,6.107,265.003
Armenia,0,0,9.787,412.05
Australia,3,1.309,0,0.078
Austria,2,2.947,4.996,679.517
Azerbaijan,1,0,1.479,132.752
Bahamas,1,0,0,122.06
Bahrain,1,6.053,1.175,105.196
Bangladesh,3,0.082,0.097,10.316
Barbados,3,0,0,0
Belarus,1,0,0.529,109.849
Belgium,0,3.382,29.768,370.418
Belize,0,0,5.03,462.752
Benin,3,0,0,0
Bhutan,3,0,0,0
Bolivia,3,0.074,0.514,8.824
Bosnia and Herzegovina,0,0,14.021,489.208
Botswana,3,0,0,0
Brazil,1,0,0.819,112.783
Brunei,3,0,0,0
Bulgaria,0,1.27,11.513,631.796
Burkina Faso,3,0,0,0.048
Burundi,3,0,0,0.084
Cambodia,3,0,0,0
Cameroon,3,0,0,0
Canada,1,1.556,1.934,117.773
Cape Verde,1,0.75,1.799,143.888
Central African Republic,3,0,0,0.828
Chad,3,0,0,0.609
Chile,3,1.252,1.203,53.776
China,3,0,0.001,0.018
Colombia,1,0.545,3.027,123.657
Comoros,3,0,0,6.9
Congo,3,0,0,0
Costa Rica,1,0,2.159,192.183
Cote d'Ivoire,3,0.013,0,0.455
Croatia,0,1.901,8.038,357.346
Cuba,3,0.777,0,3.796
Cyprus,1,4.73,1.142,226.053
Czechia,2,3.481,27.547,1185.827
Democratic Republic of Congo,3,0.002,0,0.38
Denmark,1,13.903,0.518,184.041
Djibouti,3,0,0,6.073
Dominica,3,0,0,0
Dominican Republic,3,0,0.184,48.673
Ecuador,3,0.111,0.567,25.052
Egypt,3,0,0.137,2.267
El Salvador,3,0,0.925,0
Equatorial Guinea,3,0,0,7.128
Eritrea,3,0,0,0
Estonia,1,3.635,0,94.984
Eswatini,3,0,0,9.481
Ethiopia,3,0.038,0.061,3.001
Fiji,3,0.337,0,0
Finland,3,3.013,0,39.706
France,0,5.347,18.737,344.259
Gabon,3,0,0,0
Gambia,3,0,0,0
Georgia,2,0,5.515,744.515
Germany,0,0,4.452,316.851
Ghana,3,0.083,0,3.218
Greece,1,2.419,3.934,228.628
Grenada,3,0,0,0
Guatemala,3,0.259,0.502,42.924
Guinea,3,0,0,1.904
Guinea-Bissau,3,0,0,0
Guyana,3,0,0,7.628
Haiti,3,0,0,0
Honduras,3,0,1.514,23.322
Hungary,0,1.353,10.662,428.556
