country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,4,0,0.103,2.672
Albania,3,0,1.042,100.076
Algeria,4,0,0.182,6.294
Andorra,0,0,38.827,3714.489
Angola,4,0,0.061,8.002
Antigua and Barbuda,4,0,0,0
Argentina,6,0.577,8.961,259.139
Armenia,6,0,5.4,328.357
Australia,4,1.223,0,0.549
Austria,6,2.578,1.443,272.695
Azerbaijan,1,0,0.789,51.977
Bahamas,4,0,0,0
Bahrain,5,11.543,2.351,163.377
Bangladesh,4,0.067,0.091,8.719
Barbados,2,0,0,20.879
Belarus,3,0,0.423,93.552
Belgium,7,4.328,7.679,1094.687
Belize,4,0,0,0
Benin,4,0,0,0
Bhutan,4,0,0,0
Bolivia,4,0.061,1.114,8.481
Bosnia and Herzegovina,5,0,5.486,214.276
Botswana,5,0,0,153.086
Brazil,1,0,1.237,73.984
Brunei,4,0,0,0
Bulgaria,6,0.325,6.045,322.806
Burkina Faso,4,0,0.096,0.383
Burundi,4,0,0,0
Cambodia,4,0,0,0.06
Cameroon,4,0,0.038,8.401
Canada,3,1.256,0.821,108.605
Cape Verde,1,0.597,0,48.562
Central African Republic,4,0,0,0.207
Chad,4,0,0,0.244
Chile,1,1.979,3.086,80.298
China,4,0,0,0.017
Colombia,5,0.591,3.813,180.159
Comoros,4,0,0,0
Congo,4,0,0,0
Costa Rica,6,0,5.889,269.33
Cote d'Ivoire,4,0.026,0,0.607
Croatia,5,0.968,3.654,201.692
Cuba,4,0.697,0,2.56
Cyprus,3,2.609,0,103.893
Czechia,7,3.324,15.314,959.288
Democratic Republic of Congo,4,0.001,0,0.346
Denmark,5,11.383,1.036,182.314
Djibouti,4,0,0,5.061
Dominica,4,0,0,0
Dominican Republic,2,0.162,0.184,29.13
Ecuador,2,0.081,1.134,30.777
Egypt,4,0,0.117,1.632
El Salvador,1,0.378,0.617,52.419
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0
Estonia,4,1.97,0,12.815
Eswatini,4,0,0,7.758
Ethiopia,4,0.04,0.096,3.166
Fiji,4,0,0,0
Finland,2,2.147,0.18,22.019
France,0,6.407,7.905,1913.563
Gabon,4,0,0,8.087
Gambia,4,0,0,2.069
Georgia,6,0,3.509,469.27
Germany,5,0,0.346,149.909
Ghana,4,0.127,0,2.735
Greece,1,1.149,0.672,68.502
Grenada,4,0,0,0
Guatemala,4,0.291,0.391,5.972
Guinea,4,0,0,0
Guinea-Bissau,4,0,0,0
Guyana,4,0,0,3.814
Haiti,4,0,0,0
Honduras,1,0,1.01,75.924
Hong Kong,4,0,0,0
Hungary,5,1.036,4.865,239.743
Iceland,5,6.699,0,164.103
India,2,0.681,0.354,26.427
Indonesia,4,0.069,0.409,11.78
International,4,0,0,0
Iran,1,0,4.012,70.958
Iraq,3,0.473,1.193,91.765
Ireland,5,2.889,0.608,190.166
Israel,3,4.738,3.235,102.131
Italy,6,2.062,2.332,281.285
Jamaica,4,0.154,1.351,11.82
Japan,4,0.179,0.04,3.226
Jordan,5,0,4.41,192.882
Kazakhstan,4,0.866,0.053,8.841
Kenya,4,0,0.335,5.133
Kosovo,4,0,0,0
Kuwait,5,1.272,0.702,159.698
Kyrgyzstan,1,0,0,64.376
Laos,4,0,0,0
Latvia,2,1.186,2.121,41.883
Lebanon,3,0,2.051,116.622
Lesotho,4,0,0,1.4
