country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,1,0,0.026,0.411
Albania,6,0,0.695,3.822
Algeria,7,0,0.068,1.026
Andorra,5,0,0,530.641
Angola,1,0,0,0.03
Antigua and Barbuda,1,0,0,0
Argentina,7,0.009,0.111,2.235
Armenia,2,0,0,26.323
Australia,0,0,0.039,19.49
Austria,3,0.355,1.11,68.174
Azerbaijan,7,0,0.099,1.677
Bahamas,1,0,0,0
Bahrain,6,0,0,5.877
Bangladesh,1,0.001,0,0
Barbados,6,0,0,6.96
Belarus,1,0,0,0
Belgium,4,0.332,5.522,159.626
Belize,1,0,0,0
Benin,1,0,0,0
Bhutan,1,0,0,0
Bolivia,7,0,0,1.114
Bosnia and Herzegovina,6,0,0.305,6.401
Botswana,1,0,0,0
Brazil,7,0,0.089,2.291
Brunei,0,0,2.286,11.429
Bulgaria,6,0,0.576,5.469
Burkina Faso,7,0,0.096,1.292
Burundi,1,0,0,0
Cambodia,1,0,0,0
Cameroon,1,0,0,0
Canada,2,0.445,0.185,23.687
Cape Verde,1,0,0,0
Central African Republic,1,0,0,0
Chad,1,0,0,0
Chile,0,0.185,0.052,18.309
China,1,0,0.002,0.071
Colombia,7,0.027,0,1.356
Comoros,1,0,0,0
Congo,1,0,0,0
Costa Rica,6,0.031,0,6.282
Cote d'Ivoire,1,0,0,0
Croatia,0,0.106,0.487,17.295
Cuba,7,0.026,0.088,3.443
Cyprus,0,0,0,19.409
Czechia,2,0.394,0.187,32.87
Democratic Republic of Congo,1,0,0.033,0.156
Denmark,2,0.239,2.244,28.659
Djibouti,7,0,0,2.024
Dominica,1,0,0,0
Dominican Republic,0,0.04,0.737,12.721
Ecuador,0,0.021,0.68,12.923
Egypt,1,0,0.059,0.391
El Salvador,7,0,0,0.925
Equatorial Guinea,1,0,0,0
Eritrea,1,0,0,0
Estonia,3,0.801,0,52.769
Eswatini,1,0,0,0
Ethiopia,1,0,0,0
Fiji,1,0.026,0,0
Finland,2,0.217,0.361,22.741
France,3,0,4.902,72.051
Gabon,1,0,0,0
Gambia,1,0,0,0
Georgia,7,0,0,1.755
Germany,3,0,1.086,81.448
Ghana,1,0,0.032,0.129
Greece,6,0.085,0.384,9.114
Grenada,1,0,0,0
Guatemala,1,0.004,0,0.335
Guinea,1,0,0,0
Guinea-Bissau,1,0,0,0
Guyana,7,0,0,3.814
Haiti,1,0,0,0
Honduras,7,0,0,2.726
Hungary,6,0.106,0.104,4.451
Iceland,4,2.488,0,213.919
India,1,0,0.003,0.072
Indonesia,1,0.005,0.055,0.399
International,1,0,0,0
Iran,2,0,1.655,36.622
Iraq,7,0,0.05,1.193
Ireland,3,0.447,2.835,59.541
Israel,3,0.663,0.116,55.456
Italy,3,0.586,14.703,98.806
Jamaica,7,0,0,1.351
Japan,7,0.002,0.024,1.566
Jordan,7,0,0,1.078
Kazakhstan,6,0.079,0,4.154
Kenya,1,0,0,0.13
Kosovo,7,0,0,1.035
Kuwait,7,0,0,2.342
Kyrgyzstan,1,0,0,0
Laos,1,0,0,0.275
Latvia,0,0.555,0,13.254
Lebanon,7,0,0,3.077
Lesotho,1,0,0,0
Liberia,1,0,0,0
Libya,1,0.002,0,0.291
Liechtenstein,1,0,0,0
Lithuania,0,0.366,0.735,13.224
Luxembourg,5,1.316,4.793,361.036
Madagascar,1,0,0,0
Malawi,1,0,0,0
Malaysia,6,0.164,0.031,4.913
Maldives,1,0.105,0,0
Mali,1,0,0,0.346
Malta,2,1.357,0,22.648
Marshall Islands,1,0,0,0
Mauritania,1,0,0,0.43
Mauritius,6,0,0,6.29
Mexico,7,0.006,0.031,1.016
Moldova,6,0,0,7.933
Monaco,1,0,0,0
Mongolia,1,0,0,0.305
Montenegro,7,0,0,3.184
Morocco,7,0.006,0.054,1.544
Mozambique,1,0,0,0.032
Myanmar,1,0,0,0
Namibia,1,0,0,0
Nepal,1,0.003,0,0.034
Netherlands,3,0,5.428,68.399
New Zealand,0,0.283,0,17.212
Nicaragua,1,0,0,0.302
Niger,1,0,0,0
Nigeria,1,0,0,0.092
North Macedonia,0,0,0.48,10.56
Norway,2,0.332,0.738,47.959
Oman,6,0,0,4.112
Pakistan,1,0.005,0.009,0.462
Palestine,7,0,0,1.372
Panama,2,0.125,1.159,25.957
Papua New Guinea,1,0,0,0
Paraguay,1,0.008,0,0.561
Peru,7,0.029,0.152,1.092
Philippines,7,0,0.128,2.482
Poland,6,0,0.053,6.579
Portugal,3,0.676,2.354,88.46
Qatar,0,0.603,0.347,9.719
Romania,6,0.115,0.572,8.317
Russia,7,0.141,0,1.562
Rwanda,1,0,0,0.463
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,1,0,0,0
Samoa,1,0,0,0
San Marino,2,0,29.465,29.465
Sao Tome and Principe,1,0,0,0
Saudi Arabia,7,0.171,0.029,2.844
Senegal,1,0.006,0,0.657
Serbia,2,0.055,1.323,29.686
Seychelles,0,0,0,10.169
Sierra Leone,1,0,0,0
Singapore,0,0,0,11.965
Slovakia,6,0.132,0,4.213
Slovenia,2,0.48,0,25.013
Solomon Islands,1,0,0,0
Somalia,1,0,0,0
South Africa,1,0.058,0,0.287
South Korea,7,0.188,0.098,2.848
South Sudan,1,0,0,0
Spain,4,0,18.052,160.754
Sri Lanka,1,0.005,0.047,0.327
Sudan,1,0,0,0.046
Suriname,1,0,0,0
Sweden,2,0,3.763,29.705
Switzerland,4,0.666,3.813,132.646
Syria,1,0,0,0
Taiwan,1,0.022,0,0.672
Tajikistan,1,0,0,0
Tanzania,1,0,0,0.017
Thailand,7,0.038,0.014,1.562
Timor,1,0,0,0
Togo,1,0.005,0,0
Trinidad and Tobago,6,0,0.715,5.716
Tunisia,6,0.045,0.169,4.315
Turkey,0,0.091,0.19,20.204
Uganda,1,0,0,0.153
Ukraine,7,0,0.091,1.052
United Arab Emirates,6,0.831,0,6.37
United Kingdom,2,0,4.301,41.879
United States,3,0.365,1.912,59.235
Uruguay,6,0,0.288,8.348
Uzbekistan,1,0,0.03,0.478
Vanuatu,1,0,0,0
Vatican,5,0,0,2472.188
Venezuela,1,0,0.035,0.422
Vietnam,1,0.035,0,0.113
Yemen,1,0,0,0
Zambia,1,0.004,0,0.326
Zimbabwe,1,0,0,0.135
