country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,4,0,0.077,2.44
Albania,5,0,0,5.212
Algeria,4,0,0.182,2.737
Andorra,6,0,38.827,103.54
Angola,1,0,0,0
Antigua and Barbuda,1,0,0,0
Argentina,5,0.055,0.243,3.806
Armenia,2,0,1.012,24.635
Australia,1,0.616,0.157,0.588
Austria,3,0.761,0.888,7.661
Azerbaijan,5,0,0.099,4.34
Bahamas,4,0,0,2.543
Bahrain,6,3.135,0,176.894
Bangladesh,4,0.02,0.024,3.054
Barbados,5,0,0,3.48
Belarus,6,0.876,0.317,79.477
Belgium,6,1.645,16.308,129.081
Belize,1,0,0,0
Benin,1,0,0,0
Bhutan,1,0,0,0
Bolivia,3,0.026,0.086,8.909
Bosnia and Herzegovina,4,0,0.305,2.438
Botswana,1,0,0,0
Brazil,2,0,1.755,18.851
Brunei,1,0,0,0
Bulgaria,2,0,0.288,19.717
Burkina Faso,1,0,0,0.622
Burundi,1,0,0,0
Cambodia,1,0,0,0
Cameroon,5,0,0,3.616
Canada,7,0.667,4.266,42.923
Cape Verde,3,0,0,10.792
Central African Republic,1,0,0,0
Chad,1,0,0,0.426
Chile,2,0.372,0.314,25.842
China,1,0,0,0.01
Colombia,5,0.061,0.197,6.289
Comoros,1,0,0,0
Congo,4,0,0,2.537
Costa Rica,1,0.02,0,0.196
Cote d'Ivoire,4,0.022,0,2.767
Croatia,5,0.331,0.244,6.821
Cuba,5,0.164,0.53,4.414
Cyprus,3,3.08,1.142,10.275
Czechia,3,0.666,0.374,8.031
Democratic Republic of Congo,1,0.002,0,0.19
Denmark,2,2.558,1.554,23.652
Djibouti,3,0,0,13.158
Dominica,1,0,0,0
Dominican Republic,2,0.093,0.184,18.99
Ecuador,0,0,0.907,653.855
Egypt,4,0,0.068,1.964
El Salvador,5,0.155,0,3.7
Equatorial Guinea,6,0,0,92.66
Eritrea,1,0,0,0
Estonia,3,0.926,0.754,9.8
Eswatini,5,0,0,4.31
Ethiopia,1,0.008,0,0.009
Fiji,1,0.002,0,0
Finland,2,0.772,0.902,20.034
France,2,0,5.975,25.263
Gabon,4,0,0.449,2.246
Gambia,1,0,0,0
Georgia,5,0,0,4.763
Germany,2,0,2.208,22.319
Ghana,5,0,0.032,4.023
Greece,4,0.208,0.48,2.59
Grenada,1,0,0,0
Guatemala,4,0.004,0,2.568
Guinea,5,0,0,7.005
Guinea-Bissau,1,0,0,1.016
Guyana,5,0,0,3.814
Haiti,1,0,0,0
Honduras,5,0,0.808,7.269
Hungary,2,0.296,2.381,16.459
Iceland,1,2.007,0,0
India,1,0.03,0.043,1.053
Indonesia,4,0.007,0.154,1.594
International,1,0,0,0
Iran,3,0.124,1.107,13.906
Iraq,1,0.06,0.075,0.771
Ireland,6,1.13,44.554,116.854
Israel,2,1.459,0.347,28.652
Italy,7,1.033,6.947,49.965
Jamaica,3,0.13,0.338,10.469
Japan,4,0.041,0.071,3.044
Jordan,1,0,0,0.392
Kazakhstan,3,0.587,0.266,10.279
Kenya,1,0.012,0,0.298
Kosovo,2,0,0.517,20.178
Kuwait,7,0,0.234,50.345
Kyrgyzstan,5,0,0,5.211
Laos,1,0,0,0
Latvia,4,1.081,0.53,3.181
Lebanon,4,0,0,1.172
Lesotho,1,0,0,0
Liberia,4,0,0,3.164
Libya,1,0.012,0,0.146
Liechtenstein,1,0,0,0
Lithuania,5,2.729,0,4.408
Luxembourg,7,2.098,3.195,47.925
Madagascar,1,0,0,0.036
Malawi,1,0.003,0,0
Malaysia,4,0.133,0.031,2.719
Maldives,7,1.016,0,38.85
Mali,1,0,0,0.79
Malta,5,1.257,0,4.53
Marshall Islands,1,0,0,0
Mauritania,1,0.038,0,0
Mauritius,1,0,0,0
Mexico,3,0.031,1.179,9.61
Moldova,7,0,0.992,45.613
Monaco,1,0,0,0
Mongolia,1,0,0,0.305
Montenegro,5,0,1.592,4.777
Morocco,5,0.054,0.081,5.148
Mozambique,1,0.004,0,0.608
Myanmar,1,0.006,0,0.092
Namibia,1,0.012,0,0
Nepal,1,0.007,0,0.034
Netherlands,7,0,6.536,47.155
New Zealand,1,1.357,0.207,1.037
Nicaragua,1,0,0,0
Niger,1,0,0,0.413
Nigeria,1,0,0.005,0.553
North Macedonia,3,0.196,0.48,12.48
Norway,3,0.605,0.922,11.436
Oman,3,0,0.196,14.491
Pakistan,5,0.031,0.072,3.545
Palestine,1,0,0,0.784
Panama,7,0.176,1.854,39.863
Papua New Guinea,1,0,0,0
Paraguay,4,0.057,0,1.402
Peru,2,0.064,1.88,22.261
Philippines,4,0.038,0.137,1.926
Poland,3,0,1.057,10.067
Portugal,7,1.445,3.334,43.543
Qatar,0,0.844,0,264.139
Romania,2,0.43,1.144,16.686
Russia,7,1.161,0.411,40.08
Rwanda,4,0.081,0,1.699
Saint Kitts and Nevis,1,0,0,0
Saint Lucia,1,0,0,0
Saint Vincent and the Grenadines,3,0,0,9.013
Samoa,1,0,0,0
San Marino,0,0,0,353.586
Sao Tome and Principe,1,0,0,0
Saudi Arabia,7,0.293,0.172,33.665
Senegal,5,0.032,0.06,3.942
Serbia,2,0.524,0.735,30.421
Seychelles,1,0,0,0
Sierra Leone,4,0,0.125,2.256
Singapore,6,0,0,153.324
Slovakia,5,0.884,0.366,6.411
Slovenia,5,0.558,0.481,3.367
Solomon Islands,1,0,0,0
Somalia,1,0,0,0
South Africa,5,0.149,0.067,4.502
South Korea,1,0.119,0,0.195
South Sudan,1,0,0,0
Spain,1,0,7.849,-214.609
Sri Lanka,4,0.041,0,2.428
Sudan,1,0,0,0
Suriname,1,0,0,0
Sweden,6,0,7.228,77.134
Switzerland,2,0.553,4.622,20.914
Syria,1,0,0,0
Taiwan,1,0.035,0,0.042
Tajikistan,1,0,0,0
Tanzania,1,0,0,0.251
Thailand,1,0.094,0.014,0.974
Timor,1,0,0,0.758
Togo,1,0.027,0,0.242
Trinidad and Tobago,1,0,0,0
Tunisia,1,0.035,0,0.338
Turkey,7,0.455,1.292,37.017
Uganda,1,0,0,0.022
Ukraine,3,0,0.32,10.907
United Arab Emirates,7,2.657,0.809,53.082
United Kingdom,6,0.416,14.996,73.373
United States,6,0.798,6.526,101.966
Uruguay,4,0.176,0,1.727
Uzbekistan,4,0,0.03,1.374
Vanuatu,1,0,0,0
Vatican,1,0,0,0
Venezuela,1,0,0,0.246
Vietnam,1,0.225,0,0.021
Yemen,1,0,0,0
Zambia,1,0.023,0,0.435
Zimbabwe,1,0,0,0.067
