country,cluster,reproduction_rate,positive_rate,stringency_index
Afghanistan,3,0,0.81,78.7
Albania,2,0,1.13,62.96
Algeria,3,0,0.93,79.63
Andorra,1,0,1.17,45.37
Angola,3,0,1.14,79.17
Antigua and Barbuda,5,0,0,0
Argentina,3,0.396,1.15,88.89
Armenia,5,0,0.78,0
Australia,3,0.009,1.09,79.17
Austria,0,0.015,0.97,35.19
Azerbaijan,3,0,0.68,93.52
Bahamas,5,0,1.29,0
Bahrain,2,0.045,0.99,69.44
Bangladesh,3,0.23,0.86,80.09
Barbados,1,0,0.61,48.15
Belarus,0,0.014,0.87,16.67
Belgium,2,0.026,1.31,62.96
Belize,2,0,0,69.44
Benin,1,0,0.95,41.67
Bhutan,2,0,0.65,62.96
Bolivia,3,0.534,1.01,84.26
Bosnia and Herzegovina,4,0,1.17,59.26
Botswana,4,0,0.81,58.8
Brazil,2,0,1.02,72.69
Brunei,1,0,0,39.81
Bulgaria,1,0.046,0.97,41.67
Burkina Faso,4,0,0.99,56.48
Burundi,5,0,0.68,11.11
Cambodia,1,0,0.37,42.59
Cameroon,4,0,1.01,60.19
Canada,2,0.008,0.99,67.13
Cape Verde,2,0.105,1.08,65.28
Central African Republic,4,0,0.6,54.63
Chad,2,0,0.85,64.81
Chile,3,0.09,0.92,87.5
China,3,0,1,78.24
Colombia,3,0,1.14,87.04
Comoros,5,0,0.67,0
Congo,2,0,0.64,62.04
Costa Rica,2,0,1.14,62.96
Cote d'Ivoire,0,0.081,0.88,31.94
Croatia,0,0.045,0.81,35.19
Cuba,2,0.006,1.65,66.67
Cyprus,1,0.006,1.6,47.22
Czechia,0,0.032,1.1,36.11
Democratic Republic of Congo,4,0.11,1.05,59.26
Denmark,4,0.003,1.39,50.93
Djibouti,4,0,1.04,50.93
Dominica,1,0,0,44.44
Dominican Republic,3,0.335,0.96,78.7
Ecuador,3,0,1.04,76.39
Egypt,2,0,0.56,62.96
El Salvador,3,0.164,1.07,89.81
Equatorial Guinea,5,0,0.29,0
Eritrea,3,0,0.28,89.81
Estonia,0,0.01,1.6,23.15
Eswatini,3,0,1.05,80.56
Ethiopia,3,0.086,1.04,80.56
Fiji,4,0,0,54.63
Finland,0,0.002,1.29,35.19
France,1,0.015,1.33,46.3
Gabon,2,0,1.06,66.67
Gambia,0,0,1.49,35.65
Georgia,4,0,0.82,51.85
Germany,4,0,1.23,57.87
Ghana,4,0.207,1.03,52.78
Greece,1,0.004,1.44,46.3
