country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,8,0,0,1.901
Albania,3,0,0,53.166
Algeria,5,0,0,6.682
Andorra,8,0,0,0
Angola,8,0,0,0.913
Antigua and Barbuda,8,0,0,0
Argentina,7,0,0,154.572
Armenia,3,0,0,45.221
Australia,8,0,0,1.686
Austria,0,12.769,3.109,20.43
Azerbaijan,0,0,0,13.512
Bahamas,4,0,0,76.288
Bahrain,7,0,0,378.471
Bangladesh,5,0,0,9.667
Barbados,8,0,0,0
Belarus,0,0,0,20.742
Belgium,3,19.241,4.573,46.766
Belize,8,0,0,0
Benin,8,0,0,0
Bhutan,8,0,0,0
Bolivia,3,0,0,45.232
Bosnia and Herzegovina,1,0,0,36.881
Botswana,8,0,0,0
Brazil,3,0,0,68.315
Brunei,8,0,0,0
Bulgaria,2,110.24,7.772,5.613
Burkina Faso,8,0,0,2.105
Burundi,8,0,0,0.168
Cambodia,8,0,0,0
Cameroon,8,0,0,0
Canada,5,0,0,10.042
Cape Verde,4,0,0,98.923
Central African Republic,8,0,0,0
Chad,8,0,0,0.304
Chile,4,0,0,108.599
China,8,0,0,0.023
Colombia,7,0,0,158.501
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,8,0,0,0
Cote d'Ivoire,8,0,0,4.398
Croatia,2,72.102,0,54.808
Cuba,8,0,0,0.971
Cyprus,8,0,0,2.283
Czechia,6,19.983,5.042,37.725
Democratic Republic of Congo,8,0,0,0.357
Denmark,1,4.661,0.691,25.379
Djibouti,8,0,0,1.012
Dominica,8,0,0,0
Dominican Republic,3,0,0,51.346
Ecuador,8,0,0,0
Egypt,8,0,0,1.476
El Salvador,0,0,0,15.726
Equatorial Guinea,8,0,0,0
Eritrea,8,0,0,0
Estonia,0,5.277,0,18.846
Eswatini,1,0,0,29.306
Ethiopia,5,0,0,10.49
Fiji,8,0,0,0
Finland,5,0,0,5.414
France,6,71.959,7.354,0.015
Gabon,8,0,0,0
Gambia,0,0,0,19.448
Georgia,5,0,0,7.27
Germany,5,0,0,7.997
Ghana,8,0,0,0
Greece,0,0,0,13.24
Grenada,8,0,0,0
Guatemala,5,0,0,11.275
Guinea,5,0,0,11.346
Guinea-Bissau,8,0,0,0
Guyana,5,0,0,11.442
Haiti,8,0,0,2.105
Honduras,3,0,0,41.597
Hong Kong,8,0,0,0
Hungary,3,15.631,0,51.24
Iceland,0,0,0,14.652
India,3,0,0,65.798
Indonesia,5,0,0,12.591
International,8,0,0,0
Iran,1,0,0,23.716
Iraq,4,0,0,90.77
