country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,8,0,0,0.411
Albania,0,0,0,42.741
Algeria,1,0,0,6.933
Andorra,5,0,0,207.08
Angola,8,0,0,2.16
Antigua and Barbuda,8,0,0,0
Argentina,5,0,0,236.394
Armenia,3,0,0,64.119
Australia,1,0,0,2.784
Austria,0,14.212,3.109,39.638
Azerbaijan,6,0,0,13.019
Bahamas,8,0,0,0
Bahrain,2,0,0,389.049
Bangladesh,6,0,0,11.713
Barbados,1,0,0,3.48
Belarus,4,0,0,19.366
Belgium,0,18.551,4.487,54.359
Belize,5,0,0,128.263
Benin,8,0,0,0
Bhutan,8,0,0,1.296
Bolivia,3,0,0,68.448
Bosnia and Herzegovina,3,0,0,103.023
Botswana,3,0,0,118.216
Brazil,5,0,0,235.995
Brunei,8,0,0,0
Bulgaria,7,109.809,8.059,25.761
Burkina Faso,8,0,0,1.579
Burundi,8,0,0,0.252
Cambodia,8,0,0,0
Cameroon,8,0,0,0
Canada,6,0,0,16.268
Cape Verde,5,0,0,134.895
Central African Republic,8,0,0,0
Chad,8,0,0,0.304
Chile,3,0,0,102.949
China,8,0,0,0.015
Colombia,5,0,0,166.834
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,5,0,0,239.885
Cote d'Ivoire,8,0,0,2.313
Croatia,7,68.936,0,81.359
Cuba,1,0,0,4.591
Cyprus,1,0,0,4.567
Czechia,3,18.396,4.669,74.424
Democratic Republic of Congo,8,0,0,0.268
Denmark,4,3.108,0.518,30.04
Djibouti,8,0,0,0
Dominica,8,0,0,0
Dominican Republic,8,0,0,0
Ecuador,0,0,0,46.194
Egypt,8,0,0,1.534
El Salvador,6,0,0,15.263
Equatorial Guinea,1,0,0,4.989
Eritrea,8,0,0,0
Estonia,6,5.277,0,11.308
Eswatini,0,0,0,51.717
Ethiopia,6,0,0,11.334
Fiji,8,0,0,0
Finland,1,2.527,0.18,4.512
France,5,71.285,7.155,138.601
Gabon,4,0,0,28.305
Gambia,1,0,0,7.862
Georgia,1,0,0,7.019
Germany,4,0,0,17.223
Ghana,8,0,0,2.06
Greece,4,0,0,19.38
Grenada,8,0,0,0
Guatemala,0,0,0,38.067
Guinea,1,0,0,5.33
Guinea-Bissau,4,0,0,20.325
Guyana,8,0,0,0
Haiti,8,0,0,2.192
Honduras,3,0,0,64.616
Hong Kong,8,0,0,0
Hungary,0,12.422,0,47.514
Iceland,4,0,0,20.513
India,3,0,0,62.632
Indonesia,6,0,0,11.951
International,8,0,0,0
Iran,4,0,0,24.121
Iraq,3,0,0,125.204
Ireland,4,8.911,1.418,19.644
Israel,2,0,0,303.043
Italy,4,28.58,2.001,28.646
Jamaica,4,0,0,22.964
Japan,1,0,0,4.649
Jordan,1,0,0,6.665
Kazakhstan,4,0,0,30.357
Kenya,1,0,0,3.329
Kosovo,3,0,0,61.57
Kuwait,5,0,0,202.549
Kyrgyzstan,6,0,0,9.81
Laos,8,0,0,0
Latvia,1,3.181,0,3.181
Lebanon,3,0,0,77.211
Lesotho,4,0,0,29.408
Liberia,8,0,0,0
Libya,3,0,0,97.798
Liechtenstein,8,0,0,0
Lithuania,6,0,0,9.551
Luxembourg,3,15.975,0,68.693
Madagascar,1,0,0,2.925
Malawi,8,0,0,0.784
Malaysia,8,0,0,0.34
Maldives,5,0,0,148
Mali,8,0,0,0.346
Malta,0,0,0,43.031
Marshall Islands,8,0,0,0
Mauritania,1,0,0,4.301
Mauritius,8,0,0,0
Mexico,0,0,0,48.056
Moldova,5,0,0,132.376
Monaco,3,0,0,101.926
Mongolia,8,0,0,0
Montenegro,5,0,0,175.142
Morocco,0,0,0,47.412
Mozambique,8,0,0,1.856
Myanmar,8,0,0,1.103
Namibia,3,0,0,94.848
Nepal,0,0,0,46.642
Netherlands,0,0,2.801,47.681
New Zealand,8,0,0,0.622
Nicaragua,8,0,0,0
Niger,8,0,0,0
Nigeria,8,0,0,0.752
North Macedonia,0,0,0,52.319
Norway,4,2.951,0,20.475
Oman,8,0,0,0
Pakistan,8,0,0,2.322
Palestine,5,0,0,131.532
Panama,5,0,0,158.062
Papua New Guinea,8,0,0,0.894
Paraguay,3,0,0,97.441
Peru,2,0,0,394.761
Philippines,0,0,0,33.482
Poland,7,57.575,0,18.258
Portugal,7,33.246,3.923,39.817
Qatar,3,0,0,75.32
Romania,3,0,25.211,69.603
Russia,0,0,0,34.701
Rwanda,1,0,0,3.783
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
San Marino,8,0,0,0
Sao Tome and Principe,8,0,0,0
Saudi Arabia,4,0,0,23.611
Senegal,1,0,0,3.285
Serbia,6,0,0,14.108
Seychelles,8,0,0,0
Sierra Leone,8,0,0,0.752
Singapore,1,0,0,6.837
Slovakia,4,12.089,0,25.093
Slovenia,4,11.544,1.443,22.608
Solomon Islands,8,0,0,0
Somalia,8,0,0,1.384
South Africa,0,0,0,34.784
South Korea,1,0,0,3.277
South Sudan,8,0,0,0.268
Spain,5,158.101,20.875,224.063
Sri Lanka,8,0,0,0.187
Sudan,8,0,0,0
Suriname,3,0,0,63.072
Sweden,4,0,0,25.348
Switzerland,0,0,0,46.796
Syria,1,0,0,3.886
Taiwan,8,0,0,0.042
Tajikistan,1,0,0,3.565
Tanzania,8,0,0,0
Thailand,8,0,0,0
Timor,8,0,0,0
Togo,8,0,0,1.691
Trinidad and Tobago,0,0,0,40.015
Tunisia,6,0,0,12.523
Turkey,4,0,0,19.113
Uganda,8,0,0,1.421
Ukraine,3,0,0,63.315
United Arab Emirates,3,0,0,61.878
United Kingdom,4,11.667,1.016,29.137
United States,5,103.295,20.918,151.446
Uruguay,1,0,0,4.894
Uzbekistan,6,0,0,9.262
Vanuatu,8,0,0,0
Vatican,8,0,0,0
Venezuela,0,0,0,38.543
Vietnam,8,0,0,0.031
Yemen,8,0,0,0.134
Zambia,1,0,0,6.31
Zimbabwe,6,0,0,10.698
