country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,8,0,0.077,0
Albania,3,0,0.695,0
Algeria,4,0,0.205,0
Andorra,8,0,0,0
Angola,8,0,0.122,0
Antigua and Barbuda,8,0,0,0
Argentina,5,0,6.107,0
Armenia,3,0,1.012,0
Australia,8,0,0.431,0
Austria,6,15.767,0.111,3.109
Azerbaijan,2,0,0.099,0
Bahamas,0,0,2.543,0
Bahrain,1,0,1.175,0
Bangladesh,4,0,0.219,0
Barbados,8,0,0,0
Belarus,2,0,0.529,0
Belgium,7,22.434,0.259,5.091
Belize,0,0,0,0
Benin,8,0,0,0
Bhutan,8,0,0,0
Bolivia,6,0,3.684,0
Bosnia and Herzegovina,6,0,1.524,0
Botswana,8,0,0,0
Brazil,6,0,2.371,0
Brunei,8,0,0,0
Bulgaria,7,109.665,2.159,8.203
Burkina Faso,8,0,0,0
Burundi,8,0,0,0
Cambodia,8,0,0,0
Cameroon,4,0,0,0
Canada,3,0,0.185,0
Cape Verde,6,0,0,0
Central African Republic,8,0,0,0
Chad,8,0,0,0
Chile,6,0,1.569,0
China,8,0,0.001,0
Colombia,0,0,3.97,0
Comoros,4,0,0,0
Congo,8,0,2.175,0
Costa Rica,5,0,4.122,0
Cote d'Ivoire,8,0,0,0
Croatia,7,73.808,0.487,0
Cuba,8,0,0.177,0
Cyprus,8,0,0,0
Czechia,0,22.785,0.374,5.323
Democratic Republic of Congo,8,0,0,0
Denmark,3,4.834,0,0.518
Djibouti,8,0,0,0
Dominica,8,0,0,0
Dominican Republic,2,0,2.305,0
Ecuador,3,0,2.891,0
Egypt,8,0,0.186,0
El Salvador,2,0,0.154,0
Equatorial Guinea,8,0,0,0
Eritrea,8,0,0,0
Estonia,2,5.277,0,0.754
Eswatini,2,0,1.724,0
Ethiopia,4,0,0.139,0
Fiji,8,0,0,0
Finland,8,0,0,0
France,7,75.712,0.582,8.702
Gabon,8,0,0,0
Gambia,3,0,0,0
Georgia,4,0,0,0
Germany,2,0,0.06,0
Ghana,4,0,0,0
Greece,2,0,0.096,0
Grenada,8,0,0,0
Guatemala,3,0,1.563,0
Guinea,8,0,0.076,0
Guinea-Bissau,8,0,0,0
Guyana,6,0,1.271,0
Haiti,8,0,0,0
Honduras,3,0,1.111,0
Hong Kong,8,0,0,0
Hungary,7,19.875,0.104,0
Iceland,2,2.93,0,2.93
India,6,0,0.808,0
Indonesia,4,0,0.366,0
International,8,0,0,0
Iran,2,0,1.572,0
Iraq,0,0,1.691,0
Ireland,6,9.923,0.203,1.215
Israel,1,0,2.311,0
Italy,7,31.474,0.165,2.365
Jamaica,3,0,0.675,0
Japan,8,0,0.166,0
Jordan,4,0,0.196,0
Kazakhstan,8,0,0.053,0
Kenya,8,0,0,0
Kosovo,3,0,0,0
Kuwait,5,0,0.468,0
Kyrgyzstan,8,0,0,0
Laos,8,0,0,0
Latvia,8,4.771,0,0
Lebanon,6,0,1.026,0
Lesotho,8,0,0,0
Liberia,8,0,0,0
Libya,0,0,2.62,0
Liechtenstein,8,0,0,0
Lithuania,4,0,0,0
Luxembourg,7,36.743,0,0
Madagascar,8,0,0.144,0
Malawi,8,0,0,0
Malaysia,8,0,0,0
Maldives,0,0,0,0
Mali,8,0,0,0
Malta,3,0,0,0
Marshall Islands,8,0,0,0
Mauritania,8,0,0,0
Mauritius,8,0,0,0
Mexico,3,0,5.452,0
Moldova,0,0,3.223,0
Monaco,6,0,0,0
Mongolia,8,0,0,0
Montenegro,1,0,4.777,0
Morocco,3,0,0.894,0
Mozambique,8,0,0.032,0
Myanmar,4,0,0.074,0
Namibia,3,0,0,0
Nepal,3,0,0.206,0
Netherlands,6,0,0.058,2.918
New Zealand,8,0,0,0
Nicaragua,2,0,0.453,0
Niger,8,0,0,0
Nigeria,8,0,0.029,0
North Macedonia,3,0,3.84,0
Norway,2,2.029,0,0
Oman,3,0,1.567,0
Pakistan,8,0,0.041,0
Palestine,0,0,1.176,0
Panama,5,0,1.854,0
Papua New Guinea,8,0,0,0
Paraguay,0,0,1.963,0
Peru,3,0,4.185,0
Philippines,2,0,0.237,0
Poland,7,53.955,0.317,0
Portugal,7,38.64,0.294,4.904
Qatar,6,0,0,0
Romania,6,0,2.131,23.911
Russia,3,0,0.829,0
Rwanda,8,0,0.077,0
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
San Marino,8,0,0,0
Sao Tome and Principe,8,0,0,0
Saudi Arabia,2,0,0.862,0
Senegal,8,0,0.06,0
Serbia,4,0,0.294,0
Seychelles,8,0,0,0
Sierra Leone,8,0,0.125,0
Singapore,4,0,0,0
Slovakia,2,16.668,0,0
Slovenia,2,13.468,0,1.924
Solomon Islands,8,0,0,0
Somalia,8,0,0,0
South Africa,2,0,1.383,0
South Korea,8,0,0.059,0
South Sudan,8,0,0.089,0
Spain,5,170.507,1.668,22.479
Sri Lanka,8,0,0,0
Sudan,8,0,0,0
Suriname,0,0,0,0
Sweden,2,0,0.099,0
Switzerland,2,0,0.462,0
Syria,8,0,0.171,0
Taiwan,8,0,0,0
Tajikistan,8,0,0,0
Tanzania,8,0,0,0
Thailand,8,0,0,0
Timor,8,0,0,0
Togo,8,0,0.121,0
Trinidad and Tobago,6,0,1.429,0
Tunisia,2,0,0.169,0
Turkey,2,0,0.617,0
Uganda,8,0,0.044,0
Ukraine,6,0,1.326,0
United Arab Emirates,6,0,0.101,0
United Kingdom,3,12.845,0.471,1.178
United States,7,97.718,1.344,19.764
Uruguay,4,0,0,0
Uzbekistan,4,0,0.179,0
Vanuatu,8,0,0,0
Vatican,8,0,0,0
Venezuela,3,0,0.281,0
Vietnam,8,0,0,0
Yemen,8,0,0.101,0
Zambia,4,0,0.109,0
Zimbabwe,4,0,0.538,0
