country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,8,0,0,0
Albania,7,0,1.737,0
Algeria,4,0,0,0
Andorra,8,0,0,0
Angola,2,0,0.03,0
Antigua and Barbuda,8,0,0,0
Argentina,3,0,9.315,0
Armenia,3,0,2.362,0
Australia,8,0,0,0
Austria,5,60.513,0.555,13.213
Azerbaijan,0,0,0.296,0
Bahamas,3,0,7.629,0
Bahrain,5,0,1.175,0
Bangladesh,2,0,0.091,0
Barbados,2,0,0,0
Belarus,0,0,0.529,0
Belgium,1,168.34,4.228,28.215
Belize,5,0,2.515,0
Benin,8,0,0,0
Bhutan,8,0,0,0
Bolivia,2,0,2.57,0
Bosnia and Herzegovina,5,0,4.267,0
Botswana,5,0,0,0
Brazil,7,0,3.354,0
Brunei,8,0,0,0
Bulgaria,7,205.226,2.159,10.65
Burkina Faso,8,0,0.096,0
Burundi,8,0,0,0
Cambodia,8,0,0,0
Cameroon,8,0,0,0
Canada,0,0,0.98,0
Cape Verde,7,0,0,0
Central African Republic,8,0,0,0
Chad,8,0,0,0
Chile,0,0,0.994,0
China,8,0,0,0
Colombia,7,0,2.968,0
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,5,0,4.908,0
Cote d'Ivoire,8,0,0,0
Croatia,5,106.936,2.436,0
Cuba,4,0,0,0
Cyprus,7,0,0,0
Czechia,1,291.344,5.416,51.452
Democratic Republic of Congo,8,0,0,0
Denmark,0,17.955,0.345,2.935
Djibouti,4,0,0,0
Dominica,2,0,0,0
Dominican Republic,0,0,0.277,0
Ecuador,0,0,2.381,0
Egypt,8,0,0.107,0
El Salvador,0,0,0.617,0
Equatorial Guinea,8,0,0,0
Eritrea,4,0,0,0
Estonia,6,27.892,0,2.262
Eswatini,2,0,0.862,0
Ethiopia,4,0,0.113,0
Fiji,8,0,0,0
Finland,0,0,0,0
France,3,146.828,1.348,26.672
Gabon,8,0,0,0
Gambia,8,0,0,0
Georgia,5,0,1.003,0
Germany,7,0,0.275,0
Ghana,8,0,0,0
Greece,0,0,1.247,0
Grenada,8,0,0,0
Guatemala,0,0,1.284,0
Guinea,4,0,0,0
Guinea-Bissau,8,0,0,0
Guyana,0,0,1.271,0
Haiti,8,0,0,0
Honduras,0,0,1.918,0
Hong Kong,8,0,0,0
Hungary,7,160.967,3.002,0
Iceland,5,76.19,0,0
India,0,0,0.649,0
Indonesia,6,0,0.409,0
International,8,0,0,0
Iran,0,0,3.048,0
Iraq,7,0,1.616,0
Ireland,5,48.2,0.608,5.873
Israel,5,0,3.582,0
Italy,7,105.554,1.373,9.692
Jamaica,6,0,3.039,0
Japan,4,0,0.032,0
Jordan,5,0,2.45,0
Kazakhstan,4,0,0,0
Kenya,2,0,0.149,0
Kosovo,0,0,0,0
Kuwait,5,0,1.873,0
Kyrgyzstan,0,0,0.766,0
Laos,8,0,0,0
Latvia,0,37.112,0,0
Lebanon,5,0,0.293,0
Lesotho,8,0,0,0
Liberia,8,0,0,0
Libya,7,0,1.746,0
Liechtenstein,5,0,0,0
Lithuania,7,63.917,0.367,0
Luxembourg,3,65.498,0,6.39
Madagascar,8,0,0,0
Malawi,8,0,0,0
Malaysia,6,0,0.093,0
Maldives,7,0,0,0
Mali,8,0,0,0
Malta,5,0,2.265,0
Marshall Islands,8,0,0,0
Mauritania,4,0,0,0
Mauritius,4,0,0,0
Mexico,0,0,3.002,0
Moldova,5,0,3.966,0
Monaco,7,0,0,0
Mongolia,8,0,0,0
Montenegro,3,0,6.369,0
Morocco,7,0,1.246,0
Mozambique,4,0,0,0
Myanmar,6,0,0.607,0
Namibia,2,0,0,0
Nepal,7,0,0.652,0
Netherlands,3,0,1.692,21.127
New Zealand,8,0,0,0
Nicaragua,8,0,0,0
Niger,8,0,0,0
Nigeria,8,0,0,0
North Macedonia,5,0,2.88,0
Norway,6,4.427,0.184,0
Oman,7,0,1.958,0
Pakistan,4,0,0.032,0
