country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,8,0,0,0
Albania,6,0,0.347,0
Algeria,4,0,0.182,0
Andorra,7,0,0,0
Angola,4,0,0.122,0
Antigua and Barbuda,6,0,0,0
Argentina,7,0,6.881,0
Armenia,1,0,1.012,0
Australia,8,0,0.118,0
Austria,0,41.304,0.111,11.103
Azerbaijan,5,0,0.099,0
Bahamas,7,0,0,0
Bahrain,7,0,0.588,0
Bangladesh,5,0,0.2,0
Barbados,8,0,0,0
Belarus,6,0,0.529,0
Belgium,7,68.078,1.208,14.064
Belize,1,0,2.515,0
Benin,8,0,0,0
Bhutan,8,0,0,0
Bolivia,6,0,3.769,0
Bosnia and Herzegovina,0,0,3.048,0
Botswana,8,0,0,0
Brazil,8,0,0,0
Brunei,8,0,0,0
Bulgaria,2,127.654,1.871,7.196
Burkina Faso,8,0,0.048,0
Burundi,8,0,0,0
Cambodia,8,0,0,0
Cameroon,4,0,0.075,0
Canada,0,0,2.597,0
Cape Verde,1,0,1.799,0
Central African Republic,8,0,0,0
Chad,8,0,0,0
Chile,0,0,2.354,0
China,8,0,0,0
Colombia,1,0,3.95,0
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,1,0,2.552,0
Cote d'Ivoire,8,0,0,0
Croatia,0,69.667,1.705,0
Cuba,4,0,0,0
Cyprus,3,0,0,0
Czechia,7,111.869,1.961,22.878
Democratic Republic of Congo,8,0,0,0
Denmark,0,18.3,0.173,2.244
Djibouti,8,0,0,0
Dominica,8,0,0,0
Dominican Republic,0,0,0.83,0
Ecuador,6,0,3.514,0
Egypt,8,0,0.098,0
El Salvador,8,0,0.771,0
Equatorial Guinea,8,0,0,0
Eritrea,8,0,0,0
Estonia,6,27.892,0.754,1.508
Eswatini,3,0,0,0
Ethiopia,5,0,0.026,0
Fiji,8,0,0,0
Finland,3,3.79,0.18,0.722
France,2,103.258,2.099,19.457
Gabon,5,0,0,0
Gambia,8,0,0.828,0
Georgia,1,0,1.253,0
Germany,3,0,0.107,0
Ghana,8,0,0,0
Greece,6,0,0.48,0
Grenada,8,0,0,0
Guatemala,6,0,0.335,0
Guinea,4,0,0,0
Guinea-Bissau,3,0,0,0
Guyana,6,0,3.814,0
Haiti,8,0,0,0
Honduras,0,0,0.606,0
Hong Kong,8,0,0,0
Hungary,2,76.602,1.76,0
Iceland,1,0,0,0
India,0,0,0.775,0
Indonesia,5,0,0.424,0
International,8,0,0,0
Iran,6,0,2.226,0
Iraq,1,0,1.666,0
Ireland,0,23.695,-1.013,4.253
Israel,7,0,2.888,0
Italy,6,56.829,0.38,4.863
Jamaica,6,0,1.689,0
Japan,4,0,0.087,0
Jordan,6,0,0.98,0
Kazakhstan,5,0,0.107,0
Kenya,4,0,0.26,0
Kosovo,3,0,0,0
Kuwait,0,0,0.702,0
Kyrgyzstan,3,0,0,0
Laos,8,0,0,0
Latvia,6,11.664,0.53,0
Lebanon,1,0,1.758,0
Lesotho,3,0,0.467,0
Liberia,8,0,0,0
Libya,0,0,1.601,0
Liechtenstein,3,0,0,0
