country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,8,0,0.154,0
Albania,1,0,3.127,0
Algeria,8,0,0.16,0
Andorra,3,0,0,0
Angola,8,0,0.091,0
Antigua and Barbuda,8,0,0,0
Argentina,6,0,10.687,0
Armenia,7,0,9.449,0
Australia,8,0,0,0
Austria,7,202.634,3.22,37.307
Azerbaijan,5,0,1.282,0
Bahamas,5,0,5.086,0
Bahrain,1,0,0.588,0
Bangladesh,8,0,0.152,0
Barbados,8,0,0,0
Belarus,1,0,0.423,0
Belgium,4,624.007,10.44,112.342
Belize,1,0,0,0
Benin,8,0,0,0
Bhutan,8,0,0,0
Bolivia,8,0,0.857,0
Bosnia and Herzegovina,6,0,9.754,0
Botswana,8,0,0,0
Brazil,0,0,0.842,0
Brunei,8,0,0,0
Bulgaria,4,408.868,7.34,25.905
Burkina Faso,8,0,0,0
Burundi,8,0,0,0
Cambodia,8,0,0,0
Cameroon,8,0,0,0
Canada,1,0,0.848,0
Cape Verde,5,0,0,0
Central African Republic,8,0,0,0
Chad,8,0,0,0
Chile,5,0,2.877,0
China,8,0,0,0
Colombia,6,0,2.712,0
Comoros,8,0,0,0
Congo,8,0,0,0
Costa Rica,6,0,3.73,0
Cote d'Ivoire,8,0,0,0
Croatia,4,274.525,7.795,0
Cuba,8,0,0.088,0
Cyprus,6,0,1.142,0
Czechia,4,690.635,21.01,105.892
Democratic Republic of Congo,8,0,0,0
Denmark,6,30.04,0.173,3.971
Djibouti,8,0,0,0
Dominica,8,0,0,0
Dominican Republic,0,0,0.092,0
Ecuador,0,0,0.453,0
Egypt,8,0,0.127,0
El Salvador,8,0,0.617,0
Equatorial Guinea,8,0,0,0
Eritrea,8,0,0,0
Estonia,5,34.677,0,3.015
Eswatini,8,0,0,0
Ethiopia,8,0,0.096,0
Fiji,8,0,0,0
Finland,0,12.634,0.18,2.346
France,3,384.842,6.557,57.006
Gabon,8,0,0,0
Gambia,8,0,0,0
Georgia,7,0,1.755,0
Germany,7,0,1.862,0
Ghana,8,0,0,0
Greece,1,0,0.672,0
Grenada,8,0,0,0
Guatemala,8,0,0,0
Guinea,8,0,0,0
Guinea-Bissau,8,0,0,0
Guyana,0,0,2.543,0
Haiti,8,0,0,0
Honduras,0,0,1.313,0
Hungary,4,457.23,7.246,0
Iceland,6,216.85,0,0
India,0,0,0.355,0
Indonesia,8,0,0.369,0
International,8,0,0,0
Iran,1,0,5.239,0
Iraq,5,0,1.268,0
Ireland,6,66.224,0.405,8.911
Israel,1,0,1.849,0
Italy,4,361.584,3.854,33.443
Jamaica,5,0,0.675,0
Japan,8,0,0.087,0
Jordan,7,0,4.606,0
Kazakhstan,0,0,0,0
Kenya,0,0,0.26,0
Kosovo,7,0,5.174,0
Kuwait,6,0,0.937,0
Kyrgyzstan,6,0,1.686,0
Laos,8,0,0,0
Latvia,5,125.649,1.59,0
Lebanon,6,0,1.319,0
Lesotho,8,0,0,0
Liberia,8,0,0,0
Libya,1,0,1.31,0
Liechtenstein,3,0,0,0
Lithuania,7,0,1.469,0
Luxembourg,2,324.294,12.78,46.328
Madagascar,8,0,0,0
Malawi,8,0,0,0
Malaysia,0,0,0.062,0
Maldives,5,0,0,0
Mali,8,0,0,0
Malta,7,0,4.53,0
Marshall Islands,8,0,0,0
Mauritania,8,0,0,0
Mauritius,8,0,0,0
Mexico,0,0,1.59,0
Moldova,5,0,4.462,0
Monaco,6,0,0,0
Mongolia,8,0,0,0
Montenegro,3,0,11.145,0
Morocco,5,0,1.734,0
Mozambique,8,0,0.032,0
Myanmar,0,0,0.441,0
Namibia,8,0,0,0
Nepal,1,0,0.824,0
Netherlands,7,0,1.692,38.343
New Zealand,8,0,0,0
Nicaragua,8,0,0,0
Niger,8,0,0,0
Nigeria,8,0,0.005,0
North Macedonia,6,0,10.08,0
Norway,1,11.805,0,0
Oman,5,0,1.958,0
Pakistan,8,0,0.063,0
Palestine,1,0,0.784,0
Panama,1,0,3.245,0
Papua New Guinea,8,0,0,0
Paraguay,5,0,1.542,0
Peru,8,0,0,0
Philippines,0,0,0.283,0
Poland,4,455.074,2.431,0
Portugal,6,221.15,4.511,28.833
Qatar,5,0,0,0
Romania,6,0,4.47,47.615
Russia,1,0,1.631,0
Rwanda,8,0,0,0
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
San Marino,8,0,0,0
Sao Tome and Principe,8,0,0,0
Saudi Arabia,8,0,0.488,0
Senegal,8,0,0,0
Serbia,1,0,1.029,0
Seychelles,8,0,0,0
Sierra Leone,8,0,0,0
Singapore,8,0,0,0
Slovakia,7,0,0,0
Slovenia,4,417.522,12.025,67.342
Solomon Islands,8,0,0,0
Somalia,8,0,0,0
South Africa,0,0,0.91,0
South Korea,8,0,0.078,0
South Sudan,8,0,0,0
Spain,3,410.012,8.106,56.679
Sri Lanka,8,0,0,0
Sudan,8,0,0,0
Suriname,8,0,0,0
Sweden,8,0,0.693,0
Switzerland,2,0,9.013,0
Syria,8,0,0.171,0
Taiwan,8,0,0,0
Tajikistan,8,0,0,0
Tanzania,8,0,0,0
Thailand,8,0,0,0
Timor,8,0,0,0
Togo,8,0,0,0
Trinidad and Tobago,8,0,0,0
Tunisia,5,0,2.792,0
Turkey,0,0,0.901,0
Uganda,8,0,0.044,0
Ukraine,6,0,1.578,0
United Arab Emirates,1,0,0.101,0
United Kingdom,6,184.162,2.003,15.835
United States,6,147.349,1.607,30.121
Uruguay,8,0,0.288,0
Uzbekistan,8,0,0.03,0
Vanuatu,8,0,0,0
Vatican,8,0,0,0
Venezuela,0,0,0.176,0
Vietnam,8,0,0,0
Yemen,8,0,0.034,0
Zambia,8,0,0,0
Zimbabwe,8,0,0.135,0
