country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,4,0,0.077,0
Albania,5,0,0.347,0
Algeria,5,0,0.137,0
Andorra,3,0,0,0
Angola,7,0,0,0
Antigua and Barbuda,7,0,0,0
Argentina,5,0,0.089,0
Armenia,1,0,0.675,0
Australia,7,0,0.078,0
Austria,8,41.304,0.444,14.212
Azerbaijan,5,0,0.099,0
Bahamas,5,0,0,0
Bahrain,0,0,0,0
Bangladesh,5,0,0.03,0
Barbados,5,0,0,0
Belarus,0,0,0.529,0
Belgium,2,292.158,8.024,64.627
Belize,7,0,0,0
Benin,7,0,0,0
Bhutan,7,0,0,0
Bolivia,4,0,0.257,0
Bosnia and Herzegovina,3,0,1.219,0
Botswana,7,0,0,0
Brazil,1,0,2.319,0
Brunei,7,0,0,0
Bulgaria,8,45.622,0.288,5.757
Burkina Faso,7,0,0,0
Burundi,7,0,0,0
Cambodia,7,0,0,0
Cameroon,7,0,0,0
Canada,1,0,4.107,0
Cape Verde,3,0,0,0
Central African Republic,7,0,0,0
Chad,7,0,0.183,0
Chile,1,0,0.575,0
China,7,0,0,0
Colombia,4,0,0.295,0
Comoros,7,0,0,0
Congo,5,0,0.181,0
Costa Rica,7,0,0,0
Cote d'Ivoire,7,0,0,0
Croatia,8,63.577,0.487,0
Cuba,5,0,0.265,0
Cyprus,4,0,0,0
Czechia,4,25.493,0.84,5.603
Democratic Republic of Congo,7,0,0.011,0
Denmark,8,44.025,1.554,10.704
Djibouti,3,0,0,0
Dominica,7,0,0,0
Dominican Republic,1,0,0.737,0
Ecuador,3,0,0.964,0
Egypt,5,0,0.117,0
El Salvador,5,0,0.154,0
Equatorial Guinea,7,0,0,0
Eritrea,7,0,0,0
Estonia,8,54.277,1.508,6.785
Eswatini,4,0,0,0
Ethiopia,7,0,0,0
Fiji,7,0,0,0
Finland,8,33.75,0.902,8.663
France,2,401.265,4.428,60.469
Gabon,7,0,0,0
Gambia,7,0,0,0
Georgia,4,0,0,0
Germany,3,0,1.862,0
Ghana,3,0,0.032,0
Greece,7,0,0.096,0
Grenada,7,0,0,0
Guatemala,5,0,0,0
Guinea,3,0,0,0
Guinea-Bissau,7,0,0,0
Guyana,4,0,1.271,0
Haiti,7,0,0.175,0
Honduras,5,0,0.505,0
Hong Kong,7,0,0,0
Hungary,8,103.309,1.242,0
Iceland,7,14.652,0,0
India,7,0,0.054,0
Indonesia,7,0,0.029,0
International,7,0,0,0
Iran,3,0,0.845,0
Iraq,5,0,0.025,0
Ireland,2,149.054,8.506,21.467
Israel,3,0,0.693,0
Italy,2,328.191,4.714,28.018
Jamaica,4,0,0.338,0
Japan,5,0,0.213,0
Jordan,7,0,0,0
Kazakhstan,3,0,0,0
Kenya,7,0,0.037,0
Kosovo,4,0,0,0
Kuwait,1,0,0.468,0
Kyrgyzstan,5,0,0,0
Laos,7,0,0,0
Latvia,4,22.267,0,0
Lebanon,7,0,0,0
Lesotho,7,0,0,0
Liberia,7,0,0,0
Libya,7,0,0.146,0
Liechtenstein,7,0,0,0
Lithuania,5,0,0,0
Luxembourg,2,145.373,1.598,38.34
Madagascar,7,0,0,0
Malawi,7,0,0,0
Malaysia,5,0,0.062,0
Maldives,6,0,0,0
Mali,7,0,0.049,0
Malta,4,9.059,0,4.53
Marshall Islands,7,0,0,0
Mauritania,7,0,0,0
Mauritius,7,0,0,0
Mexico,3,0,0.985,0
Moldova,1,0,1.239,0
Monaco,7,0,0,0
Mongolia,7,0,0,0
Montenegro,7,0,0,0
