country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,6,0,0.411,0
Albania,3,0,1.39,0
Algeria,5,0,0.16,0
Andorra,6,0,0,0
Angola,6,0,0.091,0
Antigua and Barbuda,6,0,0,0
Argentina,0,0,0.774,0
Armenia,4,0,2.025,0
Australia,5,0,0,0
Austria,5,8.105,0.222,1.11
Azerbaijan,0,0,0.789,0
Bahamas,6,0,0,0
Bahrain,4,0,2.351,0
Bangladesh,3,0,0.285,0
Barbados,6,0,0,0
Belarus,3,0,0.529,0
Belgium,3,11.217,0,2.33
Belize,6,0,0,0
Benin,6,0,0,0
Bhutan,6,0,0,0
Bolivia,2,0,4.54,0
Bosnia and Herzegovina,0,0,0.61,0
Botswana,0,0,0,0
Brazil,2,0,2.969,0
Brunei,6,0,0,0
Bulgaria,1,76.996,0.144,4.749
Burkina Faso,6,0,0,0
Burundi,6,0,0,0
Cambodia,6,0,0,0
Cameroon,6,0,0,0
Canada,5,0,0.291,0
Cape Verde,6,0,0,0
Central African Republic,6,0,0,0
Chad,6,0,0.061,0
Chile,4,0,5.127,0
China,6,0,0,0
Colombia,2,0,3.695,0
Comoros,6,0,0,0
Congo,6,0,0,0
Costa Rica,0,0,0.393,0
Cote d'Ivoire,5,0,0.076,0
Croatia,1,32.154,0.244,0
Cuba,6,0,0,0
Cyprus,5,0,0,0
Czechia,5,5.976,0,1.401
Democratic Republic of Congo,6,0,0,0
Denmark,6,3.108,0,1.036
Djibouti,6,0,0,0
Dominica,6,0,0,0
Dominican Republic,2,0,1.567,0
Ecuador,0,0,0.907,0
Egypt,5,0,0.87,0
El Salvador,0,0,0.925,0
Equatorial Guinea,6,0,0,0
Eritrea,6,0,0,0
Estonia,6,3.015,0,1.508
Eswatini,3,0,1.724,0
Ethiopia,6,0,0.026,0
Fiji,6,0,0,0
Finland,6,0,0,0
France,1,107.103,0,7.246
Gabon,6,0,0,0
Gambia,6,0,0,0
Georgia,6,0,0,0
Germany,6,0,0.012,0
Ghana,5,0,0.129,0
Greece,6,0,0,0
Grenada,6,0,0,0
Guatemala,0,0,2.623,0
Guinea,5,0,0,0
Guinea-Bissau,6,0,0,0
Guyana,5,0,0,0
Haiti,6,0,0,0
Honduras,0,0,0.303,0
Hungary,6,13.25,0,0
Iceland,6,0,0,0
India,3,0,0.363,0
Indonesia,5,0,0.26,0
International,6,0,0,0
Iran,3,0,2.31,0
Iraq,0,0,2.362,0
Ireland,6,2.43,0,2.228
Israel,2,0,0.809,0
Italy,6,13.959,0.149,1.125
Jamaica,6,0,0,0
Japan,6,0,0.008,0
Jordan,6,0,0,0
Kazakhstan,6,0,5.912,0
Kenya,5,0,0.019,0
Kosovo,2,0,2.07,0
Kuwait,4,0,0.937,0
Kyrgyzstan,2,0,2.759,0
Laos,6,0,0,0
Latvia,6,1.59,0,0
Lebanon,3,0,0,0
Lesotho,3,0,0.467,0
Liberia,6,0,0.791,0
Libya,5,0,0.146,0
Liechtenstein,6,0,0,0
Lithuania,6,0,0,0
Luxembourg,2,60.705,1.598,6.39
Madagascar,5,0,0.036,0
Malawi,5,0,0.261,0
Malaysia,6,0,0,0
Maldives,2,0,0,0
Mali,6,0,0,0
Malta,6,0,0,0
Marshall Islands,6,0,0,0
Mauritania,3,0,0,0
