country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,6,0,0,78.7
Albania,3,0,0,62.96
Algeria,8,0,0,74.07
Andorra,9,0,0,45.37
Angola,6,0,0,76.39
Antigua and Barbuda,2,0,0,0
Argentina,1,0.253,2.8,90.74
Armenia,2,0,0,0
Australia,4,2.273,191.4,68.06
Austria,4,5.526,123,35.19
Azerbaijan,1,0,0,96.3
Bahamas,2,0,0,0
Bahrain,6,4.947,17.3,69.44
Bangladesh,6,0.081,4.3,80.09
Barbados,3,0,0,54.63
Belarus,5,0,51.7,16.67
Belgium,5,1.027,63.8,50
Belize,8,0,0,69.44
Benin,9,0,0,41.67
Bhutan,3,0,0,62.96
Bolivia,1,0.173,1.6,84.26
Bosnia and Herzegovina,3,0,0,56.48
Botswana,3,0,0,57.41
Brazil,6,0,0,81.02
Brunei,3,0,0,49.07
Bulgaria,9,0.454,19.9,36.11
Burkina Faso,9,0,0,45.37
Burundi,2,0,0,13.89
Cambodia,9,0,0,38.89
Cameroon,3,0,0,60.19
Canada,5,1.407,107,67.13
Cape Verde,3,0.669,8.7,68.06
Central African Republic,3,0,0,53.7
Chad,8,0,0,67.59
Chile,6,0.855,7.2,84.72
China,6,0,0,78.24
Colombia,1,0.521,0,87.04
Comoros,2,0,0,0
Congo,8,0,0,73.15
Costa Rica,8,0.219,0,73.61
Cote d'Ivoire,3,0.063,5.6,60.65
Croatia,3,0.25,16.7,46.3
Cuba,7,0.242,1149,66.67
Cyprus,0,1.787,670.2,47.22
Czechia,5,0.54,33.6,37.5
Democratic Republic of Congo,6,0.007,10.3,80.56
Denmark,0,3.144,448.8,54.63
Djibouti,3,0,0,50.93
Dominica,9,0,0,44.44
Dominican Republic,6,0.216,2.9,78.7
Ecuador,6,0.092,0,79.63
Egypt,3,0,0,60.19
El Salvador,1,0.393,7.8,89.81
Equatorial Guinea,2,0,0,0
Eritrea,1,0,0,89.81
Estonia,0,0.363,410,25.93
Eswatini,6,0,0,80.56
Ethiopia,6,0.044,17.4,80.56
Fiji,0,0.015,454.5,51.85
