country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,0,0,0,8.33
Albania,4,0,0,50.93
Algeria,8,0,0,71.3
Andorra,4,0,0,62.96
Angola,4,0,0,60.19
Antigua and Barbuda,0,0,0,0
Argentina,7,0.48,2.4,79.17
Armenia,0,0,0,0
Australia,3,1.138,4600.4,52.31
Austria,8,2.929,4.5,75
Azerbaijan,4,0,0,64.35
Bahamas,0,0,0,0
Bahrain,6,5.778,49.4,58.33
Bangladesh,7,0.085,8.7,80.09
Barbados,5,0,0,40.74
Belarus,0,0,25.2,22.22
Belgium,8,1.93,4.5,65.74
Belize,8,0,0,66.67
Benin,5,0,0,40.74
Bhutan,7,0,0,77.78
Bolivia,7,0.06,9.8,84.26
Bosnia and Herzegovina,5,0,0,40.74
Botswana,4,0,0,56.48
Brazil,4,0,0,57.87
Brunei,5,0,0,35.19
Bulgaria,5,0.31,3,48.15
Burkina Faso,0,0,0,22.22
Burundi,0,0,0,14.81
Cambodia,5,0,0,34.26
Cameroon,5,0,0,45.37
Canada,4,1.347,13.5,60.65
Cape Verde,8,0.847,6.5,71.3
Central African Republic,0,0,0,24.07
Chad,8,0,0,70.37
Chile,1,1.953,24.1,81.94
China,4,0,0,63.43
Colombia,8,0.714,0,65.74
Comoros,0,0,0,0
Congo,5,0,0,47.22
Costa Rica,4,0,0,55.56
Cote d'Ivoire,6,0.011,58.7,25
Croatia,5,1.381,3.6,31.48
Cuba,2,0.726,159.8,59.26
Cyprus,1,2.41,18,69.44
Czechia,8,2.845,3.7,73.15
Democratic Republic of Congo,0,0.002,6.2,22.22
Denmark,6,13.977,63.1,54.63
Djibouti,5,0,0,43.52
Dominica,5,0,0,37.04
Dominican Republic,8,0.32,7.9,67.59
Ecuador,4,0.088,0,52.78
Egypt,4,0,0,60.19
El Salvador,4,0,15,52.78
Equatorial Guinea,0,0,0,0
Eritrea,7,0,0,82.41
Estonia,5,3.367,24,25.93
Eswatini,5,0,0,48.15
Ethiopia,4,0.034,12.2,57.41
Fiji,5,0,0,49.07
Finland,6,2.121,61.3,40.74
France,7,5.968,7.6,78.7
Gabon,8,0,0,69.44
Gambia,4,0,0,56.48
Georgia,8,0,0,64.81
Germany,4,0,0,62.04
Ghana,5,0.026,13.3,38.89
Greece,7,1.025,9.2,78.7
Grenada,0,0,0,0
Guatemala,4,0.278,7.3,49.54
Guinea,5,0,0,35.65
Guinea-Bissau,0,0,0,0
Guyana,8,0,0,72.22
Haiti,5,0,0,47.22
Honduras,7,0,0,87.04
Hungary,4,1.682,4,57.41
Iceland,6,3.707,49.7,52.78
India,1,0.605,24.2,61.57
Indonesia,4,0.09,7.4,50.46
International,0,0,0,0
Iran,8,0.463,4.4,68.06
Iraq,4,0.426,5.5,51.85
Ireland,1,2.007,27,81.48
Israel,6,4.07,49.3,65.74
Italy,7,2.443,6.2,76.85
Jamaica,1,0.124,12.6,67.59
Japan,5,0.201,19.8,38.89
Jordan,7,2.714,4.6,78.7
Kazakhstan,6,1.366,39.5,68.06
Kenya,4,0,6.5,62.96
Kosovo,8,0,0,74.07
Kuwait,4,1.325,8.6,62.96
Kyrgyzstan,4,0,0,57.87
Laos,5,0,0,33.33
Latvia,1,1.271,20.8,53.7
Lebanon,4,0,0,57.41
Lesotho,5,0,0,47.22
Liberia,4,0,0,57.41
Libya,7,0.614,4.2,79.63
Liechtenstein,0,0,0,0
