country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,6,0,0,16.67
Albania,9,0,0,54.63
Algeria,7,0,0,75
Andorra,7,0,0,62.96
Angola,7,0,0,65.74
Antigua and Barbuda,4,0,0,0
Argentina,3,0.701,2,82.87
Armenia,4,0,0,0
Australia,8,0,2282.7,65.28
Austria,7,3.112,11.1,60.19
Azerbaijan,7,0,0,64.35
Bahamas,4,0,0,0
Bahrain,5,6.438,31.7,63.89
Bangladesh,3,0.086,9.2,80.09
Barbados,0,0,0,29.63
Belarus,6,0,31.7,16.67
Belgium,9,5.967,5.5,54.63
Belize,7,0,0,66.67
Benin,9,0,0,43.52
Bhutan,3,0,0,77.78
Bolivia,3,0,6.2,84.26
Bosnia and Herzegovina,0,0,0,40.74
Botswana,7,0,0,63.89
Brazil,7,0,0,57.87
Brunei,0,0,0,35.19
Bulgaria,0,1.301,5.9,39.35
Burkina Faso,6,0,0,22.22
Burundi,6,0,0,14.81
Cambodia,0,0,0,34.26
Cameroon,9,0,0,45.37
Canada,5,1.934,26,60.65
Cape Verde,7,1.394,5.9,71.3
Central African Republic,0,0,0,31.48
Chad,7,0,0,74.07
Chile,3,1.954,20.7,81.94
China,7,0,0,61.57
Colombia,7,0.706,0,65.74
Comoros,4,0,0,0
Congo,9,0,0,47.22
Costa Rica,7,0,0,58.33
Cote d'Ivoire,5,0.053,53.7,36.11
Croatia,0,1.781,5.5,28.7
Cuba,1,0.627,135.3,64.81
Cyprus,5,4.94,29.5,63.89
Czechia,7,4.226,3.3,67.59
Democratic Republic of Congo,9,0.002,0,49.07
Denmark,1,8.704,71,37.04
Djibouti,9,0,0,43.52
Dominica,0,0,0,31.48
Dominican Republic,7,0,9.7,67.59
Ecuador,9,0.534,0,52.78
Egypt,3,0,0,75.93
El Salvador,5,0.374,14.8,52.78
Equatorial Guinea,4,0,0,0
Eritrea,3,0,0,77.78
Estonia,1,1.594,54,25.93
Eswatini,9,0,0,48.15
Ethiopia,7,0.057,10.6,58.33
Fiji,2,0.03,447.6,49.07
Finland,1,2.955,73.8,36.57
France,9,5.796,7.1,49.54
Gabon,7,0,0,72.22
Gambia,7,0,0,60.19
Georgia,7,0,0,59.26
Germany,7,0,0,60.65
Ghana,5,0.047,28.5,44.44
Greece,5,1.962,26.3,59.72
Grenada,4,0,0,0
Guatemala,9,0.264,6.5,49.54
Guinea,0,0,0,35.65
Guinea-Bissau,4,0,0,0
Guyana,7,0,0,72.22
Haiti,9,0,0,47.22
Honduras,3,0,0,87.04
Hong Kong,9,0,0,51.85
Hungary,0,1.411,6.9,40.74
Iceland,5,4.612,26.9,45.37
India,5,1.045,20.6,64.35
Indonesia,9,0.119,7,50.46
International,4,0,0,0
Iran,7,0.356,5.9,58.8
Iraq,9,0.457,5.3,51.85
Ireland,3,3.594,14.9,81.48
Israel,3,3.525,33.3,81.48
Italy,7,3.011,11.6,66.67
Jamaica,7,0.186,8,71.3
Japan,5,0.181,31.6,38.89
Jordan,3,0,0,78.7
Kazakhstan,1,1.396,80.1,74.07
Kenya,7,0.114,8,68.52
Kosovo,9,0,0,52.78
Kuwait,7,1.839,8.8,62.96
Kyrgyzstan,7,0,0,57.87
Laos,0,0,0,36.11
Latvia,5,3.036,30.8,33.33
Lebanon,7,0,0,59.26
Lesotho,9,0,0,47.22
Liberia,9,0,0,57.41
Libya,3,0,0,78.7
Liechtenstein,4,0,0,0
Lithuania,5,3.741,25.7,54.17
Luxembourg,5,19.427,24.7,52.78
Madagascar,5,0,40.2,40.74
Malawi,5,0,49.7,50.93
Malaysia,5,0.549,23.3,62.04
Maldives,4,2.904,44,0
Mali,0,0,0,37.96
Malta,4,7.121,19.7,0
Marshall Islands,4,0,0,0
Mauritania,6,0,32.4,17.59
Mauritius,6,0,0,16.67
Mexico,7,0.138,2.6,71.76
Moldova,9,0,0,48.15
Monaco,4,0,0,0
Mongolia,0,0,0,40.74
Montenegro,4,0,0,0
Morocco,7,0.615,6.9,65.74
Mozambique,7,0.045,11.4,62.96
Myanmar,3,0,0,81.02
Namibia,5,0.407,22.5,44.44
Nepal,7,0.579,4.2,63.89
Netherlands,7,0,0,62.04
New Zealand,2,1.597,686.7,22.22
Nicaragua,6,0,0,8.33
Niger,6,0,0,14.81
